time (s)	coil I (A)	last det (V)	int current (uC)
3642.302906	1.437063	0.820128	607.877625
3642.303900	1.885276	0.820128	2481.841797
3642.304947	1.830872	0.820128	4398.764648
3642.305858	1.771963	0.820128	6013.022949
3642.306726	1.717185	0.820128	7503.539551
3642.307826	1.656910	0.820128	9326.140625
3642.308794	1.604440	0.820128	10879.238281
3642.309664	0.838033	0.820128	11608.327148
3642.310717	0.091022	0.820128	11704.172852
3642.311744	0.090502	0.820128	11797.118164
3642.312629	0.090410	0.820128	11877.130859
3642.313567	0.090568	0.820128	11962.083008
3642.314638	0.090531	0.820128	12059.041992
3642.315577	0.090476	0.820128	12143.999023
3642.316435	0.090465	0.820128	12221.618164
3642.317462	0.090498	0.820128	12314.559570
3642.318478	0.090494	0.820128	12406.501953
3642.319369	0.090443	0.820128	12487.086914
3643.347249	1.576176	0.818484	843.253906
3643.348297	1.880328	0.818484	2813.838135
3643.349190	1.828513	0.818484	4446.700195
3643.350129	1.768997	0.818484	6107.788086
3643.351200	1.704379	0.818484	7933.177734
3643.352155	1.650417	0.818484	9509.326172
3643.353029	1.602638	0.818484	10910.031250
3643.354088	0.546043	0.818484	11488.290039
3643.355105	0.090344	0.818484	11580.169922
3643.356000	0.090399	0.818484	11661.077148
3643.356972	0.090531	0.818484	11749.073242
3643.358020	0.090546	0.818484	11843.964844
3643.358942	0.090520	0.818484	11927.423828
3643.359804	0.090428	0.818484	12005.373047
3643.360877	0.090560	0.818484	12102.543945
3643.361868	0.090476	0.818484	12192.206055
3643.362751	0.090560	0.818484	12272.170898
3643.363748	0.090590	0.818484	12362.488281
3644.394268	1.530242	0.822496	778.893005
3644.395238	1.884386	0.822496	2606.747314
3644.396107	1.836727	0.822496	4202.863281
3644.397146	1.770179	0.822496	6042.079590
3644.398191	1.707517	0.822496	7826.435059
3644.399091	1.655859	0.822496	9316.708984
3644.400025	1.605743	0.822496	10816.473633
3644.401082	0.616743	0.822496	11468.371094
3644.402024	0.090311	0.822496	11553.444336
3644.402890	0.090487	0.822496	11631.805664
3644.403947	0.090531	0.822496	11727.497070
3644.404965	0.090513	0.822496	11819.638672
3644.405858	0.090370	0.822496	11900.338867
3644.406820	0.090549	0.822496	11987.447266
3644.407863	0.090483	0.822496	12081.821289
3644.408789	0.090439	0.822496	12165.568359
3644.409655	0.090458	0.822496	12243.904297
3644.410733	0.090593	0.822496	12341.563477
3645.438195	1.511298	0.814085	720.888977
3645.439079	1.888246	0.814085	2390.098389
3645.440052	1.838774	0.814085	4179.226074
3645.441112	1.770428	0.814085	6055.880371
3645.442036	1.714307	0.814085	7639.899414
3645.442910	1.663246	0.814085	9093.576172
3645.443986	1.605934	0.814085	10821.560547
3645.444983	0.685774	0.814085	11505.277344
3645.445874	0.090502	0.814085	11585.914062
3645.446841	0.090557	0.814085	11673.482422
3645.447885	0.090560	0.814085	11768.027344
3645.448797	0.090524	0.814085	11850.584961
3645.449659	0.090505	0.814085	11928.600586
3645.450742	0.090553	0.814085	12026.669922
3645.451730	0.090571	0.814085	12116.154297
3645.452616	0.090520	0.814085	12196.355469
3645.453617	0.090590	0.814085	12287.036133
3645.454674	0.090472	0.814085	12382.665039
3646.486842	1.572253	0.844036	869.456116
3646.487904	1.879237	0.844036	2865.206055
3646.488796	1.826697	0.844036	4494.619629
3646.489687	1.768579	0.844036	6070.423828
3646.490793	1.703807	0.844036	7954.834961
3646.491743	1.650571	0.844036	9522.877930
3646.492615	1.602971	0.844036	10920.668945
3646.493674	0.537920	0.844036	11490.326172
3646.494700	0.090256	0.844036	11582.928711
3646.495590	0.090483	0.844036	11663.458984
3646.496557	0.090509	0.844036	11750.981445
3646.497603	0.090494	0.844036	11845.638672
3646.498527	0.090476	0.844036	11929.238281
3646.499386	0.090432	0.844036	12006.919922
3646.500432	0.090531	0.844036	12101.615234
3646.501437	0.090527	0.844036	12192.595703
3646.502314	0.090524	0.844036	12271.985352
3646.503270	0.090623	0.844036	12358.620117
3647.526339	1.447855	0.827016	621.129883
3647.527293	1.885950	0.827016	2420.325928
3647.528289	1.836083	0.827016	4249.064453
3647.529220	1.776786	0.827016	5903.251953
3647.530094	1.723004	0.827016	7409.157715
3647.531142	1.664560	0.827016	9153.617187
3647.532017	1.615012	0.827016	10566.752930
3647.532886	1.171842	0.827016	11585.083984
3647.533915	0.096405	0.827016	11684.285156
3647.534895	0.090406	0.827016	11772.883789
3647.535767	0.090516	0.827016	11851.814453
3647.536626	0.090542	0.827016	11929.589844
3647.537746	0.090513	0.827016	12030.963867
3647.538655	0.090396	0.827016	12113.133789
3647.539518	0.090432	0.827016	12191.176758
3647.540598	0.090630	0.827016	12289.056641
3647.541585	0.090505	0.827016	12378.385742
3647.542455	0.090505	0.827016	12457.125000
3648.581133	1.528055	0.798383	762.499634
3648.582020	1.887389	0.798383	2436.613525
3648.582954	1.838291	0.798383	4153.577148
3648.584042	1.770062	0.798383	6079.404785
3648.584967	1.713358	0.798383	7664.261230
3648.585839	1.662997	0.798383	9114.394531
3648.586886	1.606256	0.798383	10796.144531
3648.587909	0.662827	0.798383	11474.216797
3648.588798	0.090476	0.798383	11554.650391
3648.589760	0.090538	0.798383	11641.748047
3648.590814	0.090560	0.798383	11737.198242
3648.591739	0.090476	0.798383	11820.888672
3648.592604	0.090480	0.798383	11899.153320
3648.593677	0.090564	0.798383	11996.328125
3648.594669	0.090458	0.798383	12086.062500
3648.595559	0.090469	0.798383	12166.580078
3648.596541	0.090535	0.798383	12255.485352
3648.597580	0.090458	0.798383	12349.470703
3649.616062	1.442611	0.822710	610.224487
3649.616989	1.886660	0.822710	2359.158691
3649.617997	1.836654	0.822710	4210.505859
3649.618891	1.779302	0.822710	5801.201660
3649.619766	1.725879	0.822710	7311.345703
3649.620771	1.668409	0.822710	8988.097656
3649.621687	1.616862	0.822710	10469.142578
3649.622613	1.167953	0.822710	11550.666992
3649.623490	0.103293	0.822710	11641.254883
3649.624550	0.090458	0.822710	11737.139648
3649.625437	0.090520	0.822710	11817.430664
3649.626300	0.090582	0.822710	11895.603516
3649.627389	0.090571	0.822710	11994.235352
3649.628312	0.090439	0.822710	12077.710937
3649.629184	0.090505	0.822710	12156.631836
3649.630187	0.090604	0.822710	12247.507812
3649.631176	0.090531	0.822710	12337.042969
3649.632060	0.090458	0.822710	12417.007812
3650.673420	1.518168	0.816361	766.674683
3650.674428	1.882998	0.816361	2664.736816
3650.675327	1.832999	0.816361	4312.603516
3650.676314	1.770996	0.816361	6060.576660
3650.677363	1.707847	0.816361	7852.107910
3650.678270	1.655929	0.816361	9354.035156
3650.679132	1.607384	0.816361	10739.600586
3650.680230	0.678702	0.816361	11484.815430
3650.681226	0.090330	0.816361	11574.784180
3650.682104	0.090494	0.816361	11654.238281
3650.683116	0.090597	0.816361	11745.922852
3650.684145	0.090535	0.816361	11839.083008
3650.685020	0.090461	0.816361	11918.236328
3650.685878	0.090494	0.816361	11995.880859
3650.686976	0.090553	0.816361	12095.307617
3650.687938	0.090461	0.816361	12182.331055
3650.688802	0.090450	0.816361	12260.480469
3650.689839	0.090648	0.816361	12354.482422
