time (s)	det(V)
3634.672739	-0.490656	
3634.674266	-0.493540	
3634.676005	-0.521839	
3634.677489	-0.539733	
3634.679242	-0.560257	
3634.680728	-0.574082	
3634.682492	-0.610490	
3634.683984	-0.623945	
3634.685788	-0.648086	
3634.687270	-0.668635	
3634.689043	-0.699375	
3634.690541	-0.708318	
3634.692298	-0.741072	
3634.693802	-0.765758	
3634.695522	-0.790270	
3634.697056	-0.812236	
3634.698796	-0.845603	
3634.700326	-0.870744	
3634.702041	-0.894849	
3634.703574	-0.922564	
3634.705099	-0.949441	
3634.706695	-0.976298	
3634.708200	-0.996894	
3634.709818	-1.027981	
3634.711344	-1.050685	
3634.712987	-1.079612	
3634.714465	-1.101047	
3634.716104	-1.139098	
3634.717585	-1.157931	
3634.719224	-1.183837	
3634.720701	-1.208708	
3634.722336	-1.232318	
3634.723837	-1.244471	
3634.725507	-1.272794	
3634.727035	-1.297577	
3634.728662	-1.318177	
3634.730232	-1.339950	
3634.731829	-1.362368	
3634.733417	-1.384532	
3634.734999	-1.398937	
3634.736616	-1.418507	
3634.738171	-1.433818	
3634.739806	-1.450705	
3634.741433	-1.456494	
3634.743115	-1.473920	
3634.744702	-1.483230	
3634.746375	-1.490980	
3634.747957	-1.495939	
3634.749649	-1.511001	
3634.751239	-1.508958	
3634.752925	-1.509639	
3634.754501	-1.511130	
3634.756224	-1.513869	
3634.757777	-1.497341	
3634.759475	-1.497139	
3634.761024	-1.490634	
3634.762744	-1.478307	
3634.764286	-1.462665	
3634.766003	-1.462419	
3634.767523	-1.441649	
3634.769289	-1.422954	
3634.770768	-1.407566	
3634.772565	-1.392995	
3634.774042	-1.355616	
3634.775815	-1.339568	
3634.777303	-1.319905	
3634.779063	-1.290966	
3634.780542	-1.262409	
3634.782312	-1.243714	
3634.783824	-1.218186	
3634.785551	-1.186765	
3634.787064	-1.160606	
3634.788772	-1.127839	
3634.790307	-1.095085	
3634.792009	-1.059402	
3634.793552	-1.032634	
3634.795238	-0.995718	
3634.796804	-0.962916	
3634.798475	-0.927603	
3634.800054	-0.897866	
3634.801733	-0.857515	
3634.803306	-0.821389	
3634.804961	-0.785593	
3634.806573	-0.752605	
3634.808195	-0.705067	
3634.809820	-0.670593	
3634.811431	-0.634579	
3634.813106	-0.595420	
3634.814702	-0.552651	
3634.816344	-0.522983	
3634.817947	-0.480899	
3634.819633	-0.440986	
3634.821192	-0.404772	
3634.822890	-0.374958	
3634.824447	-0.323557	
3634.826150	-0.288406	
3634.827631	-0.252038	
3634.829208	-0.211731	
3634.830718	-0.170581	
3634.832323	-0.140929	
3634.833849	-0.099405	
3634.835427	-0.058276	
3634.836982	-0.020784	
3634.838498	0.019306	
3634.840109	0.062497	
3634.841612	0.106579	
3634.843283	0.141557	
3634.844843	0.182062	
3634.846493	0.226289	
3634.848000	0.265609	
3634.849700	0.298279	
3634.851192	0.342470	
3634.852915	0.386959	
3634.854388	0.421509	
3634.856107	0.450992	
3634.857657	0.507482	
3634.859364	0.541751	
3634.860878	0.582437	
3634.862640	0.626555	
3634.864125	0.670838	
3634.865885	0.699270	
3634.867390	0.745745	
3634.869181	0.786946	
3634.870666	0.823233	
3634.872474	0.863303	
3634.873952	0.909041	
3634.875733	0.945288	
3634.877225	0.981011	
3634.878974	1.023111	
3634.880492	1.058620	
3634.882245	1.092084	
3634.883760	1.127195	
3634.885490	1.164009	
3634.887015	1.194415	
3634.888740	1.227754	
3634.890287	1.252189	
3634.891998	1.283936	
3634.893553	1.306064	
3634.895242	1.333992	
3634.896804	1.360096	
3634.898492	1.380697	
3634.900062	1.398453	
3634.901743	1.420597	
3634.903332	1.437742	
3634.904968	1.452791	
3634.906576	1.468168	
3634.908193	1.490001	
3634.909820	1.495685	
3634.911440	1.503774	
3634.913087	1.513297	
3634.914707	1.522498	
3634.916360	1.513530	
3634.917928	1.522445	
3634.919609	1.521833	
3634.921175	1.519621	
3634.922896	1.510670	
3634.924459	1.522929	
3634.926133	1.506308	
3634.927684	1.499121	
3634.929398	1.490726	
3634.930937	1.487073	
3634.932674	1.459704	
3634.934180	1.452977	
3634.935947	1.438145	
3634.937428	1.421242	
3634.939218	1.399436	
3634.940708	1.397636	
3634.942509	1.367041	
