time (s)	magX	magY	magZ
11218.457696	0.313267	-358.878998	-271.137360
11218.461034	0.488603	-352.683838	-260.558746
11218.464394	0.430158	-349.527771	-251.207474
11218.467702	-0.212741	-346.137939	-242.148453
11218.471031	-0.154296	-341.696075	-233.790771
11218.474371	-0.563413	-337.195801	-224.907074
11218.477696	0.021040	-333.221497	-216.958511
11218.481037	-0.504968	-329.480988	-209.068375
11218.484368	-0.095850	-325.156067	-201.002930
11218.488567	-0.563413	-316.213898	-187.034485
11218.491895	-0.797194	-311.772064	-179.962585
11218.495369	-0.504968	-309.025146	-172.423141
11218.498660	-0.271187	-304.291046	-166.111053
11218.501482	-0.855640	-299.498566	-160.558731
11218.504793	-0.680304	-295.816498	-154.129761
11218.508124	-0.621859	-292.485107	-149.103455
11218.511452	-1.264757	-287.400360	-143.025131
11218.514360	-1.498539	-283.776764	-137.472824
11218.517698	-1.556984	-280.211578	-132.914093
11218.521038	-1.907656	-277.230865	-128.413788
11218.524361	-2.141438	-273.256592	-123.504387
11218.527699	-1.966102	-268.873199	-118.945648
11218.531021	-1.966102	-265.717133	-114.854469
11218.534359	-2.024547	-261.742859	-109.945061
11218.537690	-2.550555	-258.820587	-105.737000
11218.541030	-2.141438	-254.378754	-101.762711
11218.544360	-2.316774	-251.865570	-98.080658
11218.547693	-1.849211	-248.826431	-94.749268
11218.551038	-1.673875	-244.793701	-91.359436
11218.554356	-2.258328	-241.286957	-88.261841
11218.557687	-2.258328	-238.773819	-84.521332
11218.561024	-2.082992	-236.319107	-81.715958
11218.564367	-3.018118	-232.812393	-79.202805
11218.567691	-3.485681	-229.948563	-76.046753
11218.571023	-2.316774	-226.558746	-73.708939
11218.574362	-2.725891	-224.220932	-71.371132
11218.577689	-2.784337	-221.357101	-68.565750
11218.581025	-3.251899	-219.369949	-66.344826
11218.585693	-2.784337	-214.343658	-62.428989
11218.588590	-2.667446	-212.005844	-59.974285
11218.591924	-2.725891	-210.018707	-57.402691
11218.595261	-3.076563	-207.388657	-54.597313
11218.598531	-2.842782	-204.933975	-52.142609
11218.601438	-2.959673	-201.894806	-50.623028
11218.604786	-3.018118	-199.966110	-48.752777
11218.608127	-3.368790	-197.569839	-47.174751
11218.611445	-2.375219	-195.699585	-45.479836
11218.614354	-3.251899	-192.660431	-44.135593
11218.617688	-2.375219	-190.965530	-42.908241
11218.621015	-3.251899	-189.270615	-41.388664
11218.624345	-3.719462	-186.874344	-39.167740
11218.627684	-3.661017	-185.588547	-37.765053
11218.631028	-3.485681	-183.718292	-36.713036
11218.634348	-3.135009	-181.906494	-35.894798
11218.637691	-2.901227	-179.860901	-34.024551
11218.641011	-3.135009	-178.516663	-33.732323
11218.644344	-3.310345	-176.178848	-32.271187
11218.647681	-3.544126	-175.009933	-30.810053
11218.651012	-2.959673	-173.373459	-29.524256
11218.654351	-3.719462	-172.029221	-28.881355
11218.657676	-3.018118	-170.509659	-28.238457
11218.661051	-3.251899	-169.340729	-27.712450
11218.664348	-3.953244	-168.230270	-25.608418
11218.667688	-3.953244	-166.710709	-25.491528
11218.671015	-3.368790	-164.957336	-25.316191
11218.674343	-3.076563	-163.262421	-23.913504
11218.677678	-3.661017	-162.444199	-23.153713
11218.681012	-3.135009	-161.976624	-22.861486
11218.685271	-3.777908	-158.937469	-21.575687
11218.688536	-2.959673	-158.060776	-21.166569
11218.691864	-3.427236	-157.008774	-20.640560
11218.695188	-2.901227	-156.424316	-19.763882
11218.698116	-2.959673	-155.898315	-18.945648
11218.701439	-3.193454	-154.378723	-18.711864
11218.704804	-2.375219	-153.151367	-18.653419
11218.708115	-3.310345	-153.560501	-17.835186
11218.711004	-2.550555	-151.924026	-17.426067
11218.714342	-3.251899	-151.222672	-17.601402
11218.717671	-3.251899	-150.988892	-17.133842
