time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
11217.218494	91.083794	1.268306	-0.023412	151
11219.308960	90.985817	1.268479	-0.023718	153
11221.400216	90.951027	1.266800	-0.024024	155
11223.490485	90.890282	1.264900	-0.024291	157
11225.581062	90.815430	1.262785	-0.024309	159
11227.672140	90.759430	1.261993	-0.024472	161
11229.762663	90.737885	1.259218	-0.024615	163
11231.853471	90.670998	1.257211	-0.024634	165
11233.944072	90.644890	1.256895	-0.024867	167
11236.034708	90.565475	1.254642	-0.025473	169
11238.125711	90.558182	1.252144	-0.025689	171
11240.216566	90.515358	1.252061	-0.025731	173
11242.307261	90.500153	1.249443	-0.026189	175
11244.398378	90.549255	1.247625	-0.026328	177
11246.490023	90.544655	1.246140	-0.026523	179
11248.581210	90.585129	1.245531	-0.026785	181
11250.672466	90.627068	1.243099	-0.027040	183
11252.764230	90.607559	1.241230	-0.027382	185
11254.855832	90.680496	1.237708	-0.027594	187
11256.947439	90.664940	1.234675	-0.027932	189
11259.039161	90.601807	1.232443	-0.028030	191
11261.130282	90.633232	1.227880	-0.028384	193
11263.221534	90.599495	1.228054	-0.028353	195
11265.312623	90.601082	1.226954	-0.028839	197
11267.403426	90.591782	1.225862	-0.028910	199
11269.493835	90.510284	1.222090	-0.029233	201
11271.584740	90.505699	1.220235	-0.029256	203
11273.675073	90.474213	1.219286	-0.029501	205
11275.765285	90.408829	1.218149	-0.029555	207
11277.855615	90.393517	1.217822	-0.029743	209
11279.945237	90.393974	1.217257	-0.030175	211
11282.035515	90.352737	1.215373	-0.030144	213
11284.125525	90.328148	1.214369	-0.030172	215
11286.215498	90.268272	1.213131	-0.030438	217
11288.305499	90.173508	1.211192	-0.031068	219
11290.395489	90.090988	1.211742	-0.031300	221
11292.486068	90.037659	1.210340	-0.031463	223
11294.576439	89.971741	1.209798	-0.031495	225
11296.666847	89.895782	1.208862	-0.031719	227
11298.757469	89.830101	1.209157	-0.031814	229
11300.847984	89.787498	1.207607	-0.032112	231
11302.938770	89.744400	1.206995	-0.032397	233
11305.029558	89.715782	1.204160	-0.032723	235
11307.120364	89.653290	1.203177	-0.032805	237
11309.210929	89.609825	1.202846	-0.032889	239
11311.301728	89.548759	1.199784	-0.033231	241
11313.392347	89.536087	1.197713	-0.033498	243
11315.483153	89.519676	1.195996	-0.033513	245
11317.573990	89.533936	1.195062	-0.033625	247
11319.664938	89.528580	1.194121	-0.033791	249
11321.756299	89.553383	1.192624	-0.033849	251
11323.847346	89.553238	1.191327	-0.034254	253
11325.938743	89.609360	1.189756	-0.034435	255
11328.030187	89.631996	1.188244	-0.034603	1
11330.121802	89.641411	1.187325	-0.034948	3
11332.213239	89.646614	1.185749	-0.035120	5
11334.304278	89.648468	1.184718	-0.035425	7
11336.395871	89.634850	1.184411	-0.035564	9
11338.486365	89.613228	1.182014	-0.035753	11
11340.577842	89.611641	1.179793	-0.036100	13
11342.668462	89.542519	1.177066	-0.036145	15
11344.759112	89.552299	1.176736	-0.036108	17
11346.849257	89.508812	1.174088	-0.036332	19
11348.939680	89.436478	1.171656	-0.036505	21
11351.030192	89.422966	1.170944	-0.036668	23
11353.120067	89.347321	1.170821	-0.036886	25
11355.210040	89.361694	1.170909	-0.037188	27
11357.300144	89.268311	1.169185	-0.037342	29
11359.390162	89.216415	1.166734	-0.037527	31
11361.480005	89.138496	1.164059	-0.037710	33
11363.569984	89.059082	1.160642	-0.037879	35
11365.660399	88.960205	1.158295	-0.037714	37
11367.750380	88.918159	1.157444	-0.037918	39
11369.840913	88.819237	1.156914	-0.038345	41
11371.931351	88.754814	1.155581	-0.038539	43
11374.022129	88.696587	1.154554	-0.038653	45
11376.112792	88.683182	1.151778	-0.038800	47
11378.203022	88.612526	1.150932	-0.038999	49
11380.293863	88.547310	1.148556	-0.039158	51
11382.384405	88.530235	1.146440	-0.039263	53
11384.475261	88.450920	1.145703	-0.039345	55
11386.566064	88.434464	1.144221	-0.039643	57
11388.656781	88.396873	1.144413	-0.039691	59
11390.747759	88.377853	1.142672	-0.039785	61
11392.838546	88.395256	1.140587	-0.040179	63
11394.929584	88.386475	1.138951	-0.040392	65
11397.020769	88.421898	1.138303	-0.040450	67
11399.111775	88.424591	1.135028	-0.040698	69
11401.203502	88.448097	1.132610	-0.040940	71
11403.294799	88.453583	1.131537	-0.040902	73
11405.386029	88.472427	1.131200	-0.041121	75
11407.477349	88.484108	1.129363	-0.041116	77
11409.568615	88.455612	1.127752	-0.041480	79
11411.659664	88.438240	1.126887	-0.041668	81
11413.750557	88.407318	1.126197	-0.042079	83
11415.841244	88.376045	1.124984	-0.042127	85
11417.931773	88.329437	1.124810	-0.042494	87
11420.022244	88.273514	1.124073	-0.042578	89
11422.112663	88.272675	1.123056	-0.042949	91
11424.203099	88.227821	1.121038	-0.043060	93
11426.293571	88.158531	1.119753	-0.043325	95
11428.383481	88.129494	1.118676	-0.043622	97
11430.473512	88.072609	1.117167	-0.043725	99
11432.563432	88.022575	1.116129	-0.043818	101
11434.653780	87.981850	1.114470	-0.044016	103
11436.743623	87.861206	1.112665	-0.044062	105
11438.833778	87.797859	1.109762	-0.044104	107
11440.923976	87.706932	1.108093	-0.044483	109
11443.014313	87.640129	1.106244	-0.044608	111
11445.104891	87.561272	1.104059	-0.044820	113
11447.195319	87.514359	1.103120	-0.045027	115
11449.285470	87.455070	1.101561	-0.045058	117
11451.376298	87.382919	1.100195	-0.045011	119
11453.467112	87.346107	1.100870	-0.045489	121
11455.557429	87.277809	1.100824	-0.045828	123
11457.648112	87.228401	1.099842	-0.046215	125
11459.738658	87.172569	1.099431	-0.046236	127
11461.829549	87.163513	1.097948	-0.046731	129
11463.920326	87.125107	1.095454	-0.046729	131
11466.011274	87.163208	1.092495	-0.046955	133
11468.102073	87.098518	1.090507	-0.046526	135
11470.193011	87.109680	1.091646	-0.047059	137
11472.284070	87.148956	1.090118	-0.047279	139
11474.375513	87.153137	1.088964	-0.047428	141
11476.466383	87.158882	1.087415	-0.047718	143
11478.557649	87.167015	1.084276	-0.047652	145
11480.649023	87.175552	1.082445	-0.047688	147
11482.740088	87.170074	1.080254	-0.047819	149
11484.831264	87.175056	1.078434	-0.048108	151
11486.922139	87.171486	1.076576	-0.048120	153
11489.013207	87.125816	1.074885	-0.048308	155
11491.104127	87.094177	1.074882	-0.048609	157
11493.194662	87.060478	1.072729	-0.048721	159
11495.285181	87.020454	1.071688	-0.048915	161
11497.376195	86.981789	1.070996	-0.049144	163
11499.465730	86.951447	1.070113	-0.049397	165
11501.556213	86.910492	1.069056	-0.049551	167
11503.646507	86.867340	1.066811	-0.049747	169
11505.736472	86.808899	1.063936	-0.049859	171
11507.826894	86.746506	1.062952	-0.049632	173
11509.917377	86.696198	1.062093	-0.049867	175
11512.006983	86.590607	1.058727	-0.049971	177
