time (s)	coil I (A)	last det (V)	int current (uC)
11299.274197	1.494961	0.000691	647.318054
11299.275311	1.894468	0.000691	2757.755127
11299.276268	1.839635	0.000691	4518.285645
11299.277160	1.781949	0.000691	6107.784668
11299.278181	1.718914	0.000691	7862.795410
11299.279245	1.657075	0.000691	9625.923828
11299.280140	1.606058	0.000691	11063.345703
11299.281028	1.556979	0.000691	12445.943359
11299.282110	1.502150	0.000691	14071.269531
11299.283076	1.453923	0.000691	15475.759766
11299.283944	1.412131	0.000691	16701.490234
11299.284997	1.364172	0.000691	18137.962891
11299.286028	1.319238	0.000691	19498.097656
11299.286920	1.281423	0.000691	20641.126953
11299.287896	0.723384	0.000691	21347.150391
11299.288941	0.090912	0.000691	21442.152344
11299.289857	0.090608	0.000691	21525.148437
11299.290715	0.090582	0.000691	21602.867187
11299.291764	0.090677	0.000691	21697.988281
11299.292774	0.090524	0.000691	21789.417969
11299.293644	0.090604	0.000691	21868.244141
11299.294609	0.090571	0.000691	21955.644531
11299.295659	0.090681	0.000691	22050.859375
11299.296576	0.090579	0.000691	22133.919922
11299.297440	0.090626	0.000691	22212.220703
11300.316624	1.470960	-0.001033	651.635071
11300.317485	1.901140	-0.001033	2288.516846
11300.318579	1.847007	-0.001033	4309.142578
11300.319546	1.784344	-0.001033	6034.603516
11300.320421	1.729676	-0.001033	7548.070312
11300.321448	1.668047	-0.001033	9261.154297
11300.322506	1.609786	-0.001033	10964.308594
11300.323394	1.561468	-0.001033	12350.892578
11300.324306	1.512916	-0.001033	13730.671875
11300.325390	1.458735	-0.001033	15311.941406
11300.326345	1.413179	-0.001033	16661.527344
11300.327223	1.372346	-0.001033	17866.447266
11300.328280	1.325804	-0.001033	19267.822266
11300.329304	1.282987	-0.001033	20581.601562
11300.330204	0.876768	-0.001033	21370.691406
11300.331151	0.095819	-0.001033	21461.431641
11300.332191	0.090509	-0.001033	21555.560547
11300.333110	0.090531	-0.001033	21638.757812
11300.333971	0.090557	-0.001033	21716.726562
11300.335025	0.090663	-0.001033	21812.285156
11300.336029	0.090535	-0.001033	21903.181641
11300.336906	0.090527	-0.001033	21982.574219
11300.337873	0.090659	-0.001033	22070.242187
11300.338913	0.090593	-0.001033	22164.458984
11300.339829	0.090520	-0.001033	22247.375000
11301.364197	1.460728	0.001424	683.620483
11301.365270	1.894995	0.001424	2716.950195
11301.366236	1.840803	0.001424	4495.166016
11301.367101	1.783524	0.001424	6037.914551
11301.368147	1.719379	0.001424	7836.384766
11301.369156	1.659767	0.001424	9511.089844
11301.370049	1.609526	0.001424	10948.396484
11301.371017	1.558748	0.001424	12457.263672
11301.372064	1.503332	0.001424	14031.252930
11301.372992	1.456512	0.001424	15382.896484
11301.373863	1.413911	0.001424	16614.414062
11301.374929	1.365963	0.001424	18070.531250
11301.375939	1.321428	0.001424	19405.173828
11301.376820	1.284119	0.001424	20536.482422
11301.377806	0.783040	0.001424	21308.558594
11301.378869	0.091194	0.001424	21405.498047
11301.379758	0.090590	0.001424	21486.031250
11301.380622	0.090597	0.001424	21564.306641
11301.381698	0.090608	0.001424	21661.800781
11301.382693	0.090597	0.001424	21751.945312
11301.383583	0.090476	0.001424	21832.468750
11301.384557	0.090641	0.001424	21920.753906
11301.385598	0.090531	0.001424	22014.996094
11301.386504	0.090553	0.001424	22097.037109
11301.387367	0.090619	0.001424	22175.242187
11302.407715	1.524034	0.000892	809.262268
11302.408804	1.892142	0.000892	2869.805176
11302.409696	1.839924	0.000892	4511.017578
11302.410563	1.780660	0.000892	6054.850098
11302.411654	1.715295	0.000892	7926.237305
11302.412631	1.657577	0.000892	9545.689453
11302.413518	1.608699	0.000892	10972.605469
11302.414525	1.554825	0.000892	12538.314453
11302.415588	1.499949	0.000892	14132.759766
11302.416478	1.454495	0.000892	15427.259766
11302.417369	1.410718	0.000892	16684.208984
11302.418460	1.361605	0.000892	18169.720703
11302.419427	1.319919	0.000892	19446.082031
11302.420298	1.283027	0.000892	20563.599609
11302.421360	0.670093	0.000892	21275.238281
11302.422383	0.090461	0.000892	21367.781250
11302.423275	0.090487	0.000892	21448.496094
11302.424211	0.090586	0.000892	21533.285156
11302.425261	0.090612	0.000892	21628.427734
11302.426195	0.090520	0.000892	21712.972656
11302.427054	0.090505	0.000892	21790.716797
11302.428113	0.090685	0.000892	21886.751953
11302.429118	0.090524	0.000892	21977.728516
11302.430000	0.090487	0.000892	22057.539062
11302.430954	0.090637	0.000892	22144.007812
11303.455281	1.543696	0.002334	833.596008
11303.456205	1.897822	0.002334	2587.183838
11303.457127	1.848120	0.002334	4291.150391
11303.457996	1.789849	0.002334	5846.528809
11303.459038	1.726366	0.002334	7645.402344
11303.459926	1.673309	0.002334	9131.300781
11303.460787	1.622915	0.002334	10528.630859
11303.461893	1.565449	0.002334	12260.017578
11303.462802	1.516729	0.002334	13638.723633
11303.463683	1.471578	0.002334	14935.184570
11303.464669	1.424821	0.002334	16340.057617
11303.465681	1.377012	0.002334	17733.593750
11303.466582	1.337153	0.002334	18938.369141
11303.467447	1.299188	0.002334	20062.167969
11303.468518	1.111337	0.002334	21252.410156
11303.469458	0.123190	0.002334	21368.208984
11303.470333	0.090410	0.002334	21447.318359
11303.471294	0.090634	0.002334	21534.417969
11303.472299	0.090557	0.002334	21625.427734
11303.473178	0.090505	0.002334	21704.982422
11303.474141	0.090619	0.002334	21792.248047
11303.475181	0.090542	0.002334	21886.412109
11303.476103	0.090626	0.002334	21969.968750
11303.476960	0.090542	0.002334	22047.562500
11303.478002	0.090645	0.002334	22142.013672
11304.496569	1.442750	-0.005456	607.397827
11304.497541	1.898445	-0.005456	2452.686035
11304.498585	1.845106	-0.005456	4378.977051
11304.499500	1.784850	-0.005456	6012.114746
11304.500369	1.728237	-0.005456	7513.953125
11304.501484	1.664374	-0.005456	9369.729492
11304.502457	1.610032	-0.005456	10936.290039
11304.503325	1.563149	-0.005456	12293.103516
11304.504404	1.506918	-0.005456	13919.067383
11304.505457	1.454363	-0.005456	15450.511719
11304.506352	1.410809	-0.005456	16713.185547
11304.507269	1.368915	-0.005456	17968.480469
11304.508136	1.330181	-0.005456	19121.748047
11304.509124	1.288378	-0.005456	20394.666016
11304.510046	1.012844	-0.005456	21328.507812
11304.510924	0.107684	-0.005456	21423.054687
11304.511913	0.090513	-0.005456	21512.572266
11304.512818	0.090535	-0.005456	21594.505859
11304.513733	0.090527	-0.005456	21677.337891
11304.514600	0.090553	-0.005456	21755.847656
11304.515627	0.090564	-0.005456	21848.857422
11304.516512	0.090480	-0.005456	21928.931641
11304.517387	0.090513	-0.005456	22008.130859
11304.518359	0.090593	-0.005456	22096.187500
11304.519301	0.090575	-0.005456	22181.509766
11305.547284	1.490222	-0.000163	764.483948
11305.548334	1.893875	-0.000163	2753.052246
11305.549265	1.840939	-0.000163	4466.966309
11305.550130	1.783323	-0.000163	6009.540527
11305.551196	1.718390	-0.000163	7841.344238
11305.552201	1.658910	-0.000163	9508.548828
11305.553083	1.609761	-0.000163	10928.357422
11305.554074	1.557806	-0.000163	12472.143555
11305.555126	1.502681	-0.000163	14052.963867
11305.556035	1.456088	-0.000163	15376.547852
11305.556897	1.413256	-0.000163	16594.773437
11305.558000	1.364469	-0.000163	18099.783203
11305.559010	1.319934	-0.000163	19432.916016
11305.559890	1.282778	-0.000163	20561.761719
11305.560889	0.728943	-0.000163	21289.976562
11305.561945	0.090714	-0.000163	21385.771484
11305.562837	0.090487	-0.000163	21466.486328
11305.563723	0.090586	-0.000163	21546.746094
11305.564819	0.090641	-0.000163	21646.087891
11305.565764	0.090608	-0.000163	21731.712891
11305.566633	0.090538	-0.000163	21810.390625
11305.567653	0.090674	-0.000163	21902.878906
11305.568684	0.090568	-0.000163	21996.253906
11305.569579	0.090491	-0.000163	22077.242187
11305.570509	0.090667	-0.000163	22161.562500
11306.587673	1.532974	0.007088	775.684692
11306.588679	1.895438	0.007088	2682.495605
11306.589572	1.846055	0.007088	4331.022461
11306.590537	1.783890	0.007088	6052.476562
11306.591599	1.717529	0.007088	7876.492676
11306.592521	1.662763	0.007088	9409.559570
11306.593386	1.613002	0.007088	10804.805664
11306.594483	1.555565	0.007088	12511.260742
11306.595472	1.503380	0.007088	13998.103516
11306.596370	1.458468	0.007088	15307.807617
11306.597356	1.411531	0.007088	16699.576172
11306.598410	1.363674	0.007088	18136.888672
11306.599312	1.323314	0.007088	19330.517578
11306.600179	1.285258	0.007088	20444.835937
11306.601288	0.726899	0.007088	21250.966797
11306.602255	0.090828	0.007088	21338.796875
11306.603111	0.090505	0.007088	21416.269531
11306.604199	0.090659	0.007088	21514.906250
11306.605239	0.090527	0.007088	21609.054687
11306.606121	0.090487	0.007088	21688.865234
11306.607048	0.090688	0.007088	21772.933594
11306.608105	0.090623	0.007088	21868.720703
11306.609031	0.090542	0.007088	21952.562500
11306.609903	0.090553	0.007088	22031.525391
11306.610912	0.090608	0.007088	22122.949219
11307.638281	1.513535	0.005344	755.254028
11307.639191	1.899965	0.005344	2484.221680
11307.640056	1.851848	0.005344	4086.070312
11307.641167	1.782832	0.005344	6066.796875
11307.642144	1.722198	0.005344	7749.384766
11307.643009	1.670281	0.005344	9194.177734
11307.644082	1.610632	0.005344	10922.386719
11307.645121	1.555045	0.005344	12538.079102
11307.645999	1.508342	0.005344	13862.403320
11307.646926	1.461075	0.005344	15216.820312
11307.647991	1.410509	0.005344	16719.011719
11307.648933	1.367322	0.005344	18007.029297
11307.649804	1.328540	0.005344	19164.187500
11307.650844	1.284565	0.005344	20500.134766
11307.651881	0.763209	0.005344	21291.582031
11307.652769	0.091937	0.005344	21373.222656
11307.653722	0.090542	0.005344	21459.509766
11307.654774	0.090612	0.005344	21554.833984
11307.655699	0.090520	0.005344	21638.564453
11307.656560	0.090564	0.005344	21716.539062
11307.657634	0.090601	0.005344	21813.843750
11307.658639	0.090524	0.005344	21904.820312
11307.659530	0.090494	0.005344	21985.451172
11307.660488	0.090630	0.005344	22072.275391
11307.661521	0.090615	0.005344	22165.880859
11308.677699	1.584467	0.004280	882.547913
11308.678674	1.894647	0.004280	2729.828857
11308.679554	1.845916	0.004280	4354.234375
11308.680555	1.780975	0.004280	6136.990723
11308.681619	1.715596	0.004280	7962.384766
11308.682516	1.661755	0.004280	9452.979492
11308.683381	1.611215	0.004280	10846.679687
11308.684485	1.554375	0.004280	12562.709961
11308.685448	1.504347	0.004280	14011.396484
11308.686313	1.460131	0.004280	15274.409180
11308.687349	1.410890	0.004280	16736.091797
11308.688379	1.364044	0.004280	18141.056641
11308.689264	1.324643	0.004280	19313.365234
11308.690206	1.285181	0.004280	20524.005859
11308.691276	0.720366	0.004280	21294.796875
11308.692218	0.090967	0.004280	21380.488281
11308.693076	0.090396	0.004280	21458.046875
11308.694112	0.090542	0.004280	21551.847656
