time (s)	det(V)
10298.001458	0.006709	
10298.003151	0.006504	
10298.004693	0.009126	
10298.006400	0.007104	
10298.007945	0.006560	
10298.009655	0.010069	
10298.011149	0.012667	
10298.012706	0.009029	
10298.014207	0.011374	
10298.015780	0.010314	
10298.017311	0.013630	
10298.018843	0.002886	
10298.020433	0.010044	
10298.021918	0.010395	
10298.023560	0.008727	
10298.025098	0.002858	
10298.026743	0.019431	
10298.028234	0.011491	
10298.029934	0.008377	
10298.031419	0.011660	
10298.033147	0.012248	
10298.034619	0.013130	
10298.036334	0.006923	
10298.037861	0.011664	
10298.039577	0.010274	
10298.041060	0.010693	
10298.042833	0.010471	
10298.044311	0.017247	
10298.046080	0.011789	
10298.047570	0.012743	
10298.049337	0.013372	
10298.050816	0.014214	
10298.052576	0.007225	
10298.054072	0.012091	
10298.055797	0.010943	
10298.057308	0.010371	
10298.059015	0.008635	
10298.060559	0.018428	
10298.062243	0.013074	
10298.063799	0.013380	
10298.065476	0.013847	
10298.067052	0.019737	
10298.068733	0.006681	
10298.070306	0.013896	
10298.071949	0.016627	
10298.073539	0.012756	
10298.075145	0.007418	
10298.076768	0.020836	
10298.078367	0.013799	
10298.080018	0.011366	
10298.081617	0.014983	
10298.083269	0.014061	
10298.084843	0.012176	
10298.086521	0.010568	
10298.088071	0.013158	
10298.089758	0.011080	
10298.091285	0.010399	
10298.092987	0.013606	
10298.094510	0.016748	
10298.096256	0.011672	
10298.097742	0.013863	
10298.099511	0.013187	
10298.101002	0.017477	
10298.102764	0.010101	
10298.104246	0.014105	
10298.106017	0.010117	
10298.107502	0.008957	
10298.109249	0.009054	
10298.110753	0.016768	
10298.112311	0.010133	
10298.113871	0.011096	
10298.115361	0.011906	
10298.117004	0.016345	
10298.118492	0.000421	
10298.120124	0.008462	
10298.121637	0.007732	
10298.123263	0.006520	
10298.124734	0.006612	
10298.126447	0.008091	
10298.127924	0.009823	
10298.129643	0.005001	
10298.131127	0.005948	
10298.132829	0.005593	
10298.134322	0.006528	
10298.136023	-0.001066	
10298.137501	0.001666	
10298.139253	0.000175	
10298.140741	-0.001875	
10298.142473	-0.003660	
10298.143991	0.004300	
10298.145702	-0.003555	
10298.147237	-0.003942	
10298.148937	-0.003462	
10298.150497	-0.002919	
10298.152180	-0.015467	
10298.153745	-0.009134	
10298.155414	-0.011374	
10298.156975	-0.015028	
10298.158617	-0.019882	
10298.160207	-0.009767	
10298.161837	-0.017839	
10298.163450	-0.020744	
10298.165045	-0.020825	
10298.166722	-0.023064	
10298.168332	-0.029308	
10298.169960	-0.030674	
10298.171543	-0.032333	
10298.173230	-0.036414	
10298.174793	-0.039544	
10298.176479	-0.039548	
10298.178022	-0.041131	
10298.179725	-0.049506	
10298.181290	-0.051129	
10298.182988	-0.053820	
10298.184521	-0.060169	
10298.186265	-0.069430	
10298.187751	-0.068818	
10298.189520	-0.075436	
10298.191003	-0.082357	
10298.192787	-0.086140	
10298.194270	-0.086261	
10298.196056	-0.097443	
10298.197532	-0.102120	
10298.199294	-0.108320	
10298.200782	-0.114394	
10298.202555	-0.129875	
10298.204059	-0.131579	
10298.205798	-0.142194	
10298.207316	-0.151362	
10298.208871	-0.162484	
10298.210474	-0.160442	
10298.211956	-0.176696	
10298.213630	-0.187021	
10298.215117	-0.196060	
10298.216754	-0.205716	
10298.218275	-0.224202	
10298.219908	-0.235316	
10298.221383	-0.245601	
10298.223087	-0.262322	
10298.224560	-0.275898	
10298.226268	-0.289940	
10298.227765	-0.300684	
10298.229466	-0.321535	
10298.230968	-0.336391	
10298.232678	-0.355231	
10298.234154	-0.373004	
10298.235942	-0.400316	
10298.237432	-0.409114	
10298.239163	-0.432684	
10298.240673	-0.454985	
10298.242395	-0.481628	
10298.243922	-0.494458	
10298.245643	-0.529565	
10298.247197	-0.553526	
10298.248891	-0.582062	
10298.250432	-0.605519	
10298.252114	-0.647776	
10298.253678	-0.671729	
10298.255332	-0.703548	
10298.256908	-0.737386	
10298.258560	-0.775208	
10298.260164	-0.795317	
10298.261791	-0.838324	
10298.263403	-0.874140	
10298.265024	-0.909980	
10298.266660	-0.949743	
10298.268263	-0.989591	
10298.269940	-1.030511	
10298.271515	-1.067233	
10298.273196	-1.112004	
10298.274757	-1.150825	
10298.276469	-1.190222	
10298.278035	-1.224607	
10298.279709	-1.265809	
10298.281260	-1.302858	
10298.282974	-1.345888	
10298.284484	-1.384777	
10298.286250	-1.430467	
10298.287731	-1.463882	
10298.289499	-1.506179	
10298.290985	-1.539727	
10298.292758	-1.578342	
10298.294237	-1.597996	
10298.296028	-1.618968	
10298.297513	-1.619536	
10298.299297	-1.619548	
10298.300788	-1.619435	
10298.302549	-1.619415	
10298.304045	-1.619508	
10298.305606	-1.619399	
10298.307180	-1.619435	
10298.308690	-1.619512	
10298.310327	-1.619524	
10298.311815	-1.619427	
10298.313452	-1.619492	
10298.314970	-1.619431	
10298.316613	-1.619500	
10298.318085	-1.619548	
10298.319798	-1.619419	
10298.321274	-1.619443	
10298.322964	-1.619532	
10298.324443	-1.619488	
10298.326140	-1.619496	
10298.327637	-1.619576	
10298.329354	-1.619480	
10298.330827	-1.619447	
10298.332595	-1.619379	
10298.334087	-1.616917	
10298.335829	-1.592655	
10298.337336	-1.548110	
10298.339055	-1.505265	
10298.340574	-1.466150	
10298.342307	-1.423151	
10298.343855	-1.365554	
10298.345565	-1.321609	
10298.347113	-1.273741	
10298.348821	-1.221888	
10298.350369	-1.174302	
10298.352051	-1.124415	
10298.353620	-1.064953	
10298.355285	-1.007678	
10298.356883	-0.951177	
10298.358524	-0.896033	
10298.360130	-0.826295	
10298.361756	-0.773319	
10298.363363	-0.716113	
10298.364986	-0.653948	
10298.366634	-0.593567	
10298.368209	-0.535974	
10298.369880	-0.476508	
10298.371447	-0.415088	
10298.373156	-0.357193	
10298.374721	-0.296793	
10298.376393	-0.232654	
10298.377949	-0.167790	
10298.379661	-0.107288	
10298.381205	-0.045977	
10298.382927	0.018991	
10298.384426	0.080254	
10298.386195	0.139801	
10298.387681	0.204117	
10298.389445	0.271072	
10298.390931	0.329655	
10298.392712	0.397392	
10298.394205	0.460741	
10298.395998	0.519675	
10298.397488	0.581035	
10298.399256	0.648537	
10298.400747	0.705820	
10298.402331	0.755159	
10298.403872	0.819725	
10298.405412	0.876649	
10298.407029	0.933468	
10298.408510	0.984636	
10298.410145	1.051700	
10298.411659	1.102988	
10298.413287	1.156936	
10298.414760	1.211523	
10298.416469	1.260657	
10298.417945	1.308727	
10298.419648	1.355850	
10298.421123	1.407296	
10298.422833	1.456848	
10298.424327	1.499097	
10298.426026	1.544150	
10298.427520	1.593158	
10298.429304	1.621066	
10298.430785	1.634416	
10298.432530	1.634847	
10298.434033	1.634710	
10298.435758	1.634723	
10298.437277	1.634682	
10298.439009	1.634855	
10298.440548	1.634626	
10298.442264	1.634916	
10298.443802	1.634666	
10298.445499	1.634835	
10298.447055	1.634743	
10298.448729	1.634847	
