time (s)	coil I (A)	last det (V)	int current (uC)
10396.762692	1.586565	1.634739	861.504761
10396.763598	1.902286	1.634739	2584.976074
10396.764462	1.852782	1.634739	4185.779785
10396.765579	0.547086	1.634739	4796.875000
10396.766544	0.090483	1.634739	4884.191406
10396.767419	0.090593	1.634739	4963.460449
10396.768436	0.090732	1.634739	5055.735352
10396.769488	0.090582	1.634739	5151.027832
10396.770365	0.090626	1.634739	5230.506836
10396.771234	0.090707	1.634739	5309.331055
10396.772343	0.090659	1.634739	5409.872070
10396.773296	0.090604	1.634739	5496.217773
10396.774156	0.090579	1.634739	5574.115234
10396.775173	0.090729	1.634739	5666.386230
10397.811129	1.453542	1.634843	614.848450
10397.812226	1.898379	1.634843	2697.369873
10397.813195	1.845374	1.634843	4485.537109
10397.814065	0.622174	1.634843	5026.828613
10397.815116	0.090634	1.634843	5122.084473
10397.816140	0.090634	1.634843	5214.893066
10397.817010	0.090641	1.634843	5293.750488
10397.817933	0.090699	1.634843	5377.466309
10397.819006	0.090670	1.634843	5474.755371
10397.819938	0.090663	1.634843	5559.252930
10397.820805	0.090630	1.634843	5637.829102
10397.821825	0.090718	1.634843	5730.361328
10397.822847	0.090688	1.634843	5823.044922
10397.823738	0.090670	1.634843	5903.832031
10398.853561	1.442003	1.634835	607.083313
10398.854476	1.903323	1.634835	2348.623779
10398.855541	1.849830	1.634835	4318.693359
10398.856507	0.617355	1.634835	4915.058105
10398.857420	0.090480	1.634835	4997.666016
10398.858283	0.090630	1.634835	5075.879395
10398.859307	0.090707	1.634835	5168.763184
10398.860189	0.090630	1.634835	5248.698730
10398.861061	0.090623	1.634835	5327.721680
10398.861963	0.090637	1.634835	5409.476562
10398.863005	0.090586	1.634835	5503.867187
10398.863887	0.090659	1.634835	5583.828613
10398.864763	0.090586	1.634835	5663.182129
10398.865759	0.090699	1.634835	5753.518555
10399.902249	1.555961	1.634751	810.655579
10399.903168	1.902187	1.634751	2558.765869
10399.904033	1.854196	1.634751	4162.645020
10399.905121	0.614117	1.634751	4830.804687
10399.906110	0.090491	1.634751	4920.299805
10399.906982	0.090612	1.634751	4999.312988
10399.907970	0.090721	1.634751	5088.945801
10399.909013	0.090656	1.634751	5183.499512
10399.909919	0.090623	1.634751	5265.603516
10399.910775	0.090619	1.634751	5343.173340
10399.911835	0.090729	1.634751	5439.345703
10399.912834	0.090652	1.634751	5529.906738
10399.913726	0.090619	1.634751	5610.738770
10399.914699	0.090659	1.634751	5698.950195
10400.946622	1.447694	1.634851	613.822266
10400.947517	1.903114	1.634851	2317.109375
10400.948613	1.848915	1.634851	4343.520020
10400.949569	0.608562	1.634851	4925.305176
10400.950437	0.090542	1.634851	5003.895508
10400.951467	0.090707	1.634851	5097.323730
10400.952494	0.090601	1.634851	5190.370605
10400.953386	0.090677	1.634851	5271.254883
10400.954299	0.090582	1.634851	5353.956543
10400.955163	0.090659	1.634851	5432.286133
10400.956121	0.090626	1.634851	5519.105957
10400.957073	0.090579	1.634851	5605.336914
10400.957957	0.090619	1.634851	5685.443848
10400.958938	0.090641	1.634851	5774.362305
10401.994247	1.473204	1.634714	736.602173
10401.995310	1.896541	1.634714	2752.624756
10401.996261	1.842843	1.634714	4505.168457
10401.997183	0.473763	1.634714	4941.978516
10401.998046	0.090483	1.634714	5020.065918
10401.999081	0.090575	1.634714	5113.811035
10401.999959	0.090667	1.634714	5193.416016
10402.000827	0.090615	1.634714	5272.069824
10402.001763	0.090692	1.634714	5356.957520
10402.002732	0.090659	1.634714	5444.806152
10402.003653	0.090626	1.634714	5528.272949
10402.004533	0.090623	1.634714	5608.020996
10402.005547	0.090637	1.634714	5699.927246
10402.006465	0.090630	1.634714	5783.125488
10403.037768	1.564138	1.634731	883.738098
10403.038825	1.895182	1.634731	2886.945312
10403.039713	1.843297	1.634731	4523.792969
10403.040589	0.564382	1.634731	5018.191895
10403.041686	0.090623	1.634731	5117.604980
10403.042652	0.090553	1.634731	5205.079102
10403.043510	0.090615	1.634731	5282.827148
10403.044556	0.090699	1.634731	5377.698730
10403.045586	0.090593	1.634731	5471.009766
10403.046470	0.090667	1.634731	5551.159180
10403.047385	0.090685	1.634731	5634.135742
10403.048464	0.090667	1.634731	5731.964844
10403.049407	0.090637	1.634731	5817.435547
10403.050274	0.090652	1.634731	5896.030762
10404.084150	1.448957	1.634392	607.113159
10404.085253	1.897987	1.634392	2700.592773
10404.086181	1.846670	1.634392	4414.302246
10404.087065	0.660363	1.634392	4998.062500
10404.088055	0.090890	1.634392	5088.043457
10404.089056	0.090579	1.634392	5178.712891
10404.089941	0.090597	1.634392	5258.891113
10404.090800	0.090641	1.634392	5336.751465
10404.091870	0.090615	1.634392	5433.709961
10404.092779	0.090593	1.634392	5516.059082
10404.093650	0.090634	1.634392	5595.000977
10404.094624	0.090743	1.634392	5683.385254
10404.095633	0.090582	1.634392	5774.782715
10404.096508	0.090652	1.634392	5854.103027
10405.128717	1.531062	1.634783	760.937805
10405.129599	1.904180	1.634783	2440.424072
10405.130528	1.854877	1.634783	4163.604492
10405.131604	0.624668	1.634783	4835.747070
10405.132537	0.090494	1.634783	4920.178223
10405.133396	0.090590	1.634783	4997.994629
10405.134448	0.090645	1.634783	5093.352539
10405.135468	0.090634	1.634783	5185.798828
10405.136339	0.090597	1.634783	5264.708984
10405.137278	0.090670	1.634783	5349.848145
10405.138338	0.090630	1.634783	5445.916016
10405.139269	0.090615	1.634783	5530.278809
10405.140137	0.090630	1.634783	5608.945312
10405.141196	0.090791	1.634783	5705.092773
10406.176189	1.444406	1.635061	609.539124
10406.177122	1.902052	1.635061	2384.153564
10406.178191	1.847684	1.635061	4359.328125
10406.179138	0.592057	1.635061	4920.005859
10406.180004	0.090535	1.635061	4998.408691
10406.181047	0.090707	1.635061	5093.015625
10406.182068	0.090590	1.635061	5185.507812
10406.182955	0.090560	1.635061	5265.834961
10406.183912	0.090663	1.635061	5352.599121
10406.184964	0.090652	1.635061	5447.964844
10406.185887	0.090608	1.635061	5531.595703
10406.186749	0.090681	1.635061	5609.762695
10406.187818	0.090758	1.635061	5706.783203
10406.188813	0.090604	1.635061	5796.934570
10407.220717	1.469689	1.634706	698.102173
10407.221781	1.898445	1.634706	2718.047363
10407.222686	1.847692	1.634706	4390.208008
10407.223558	0.697500	1.634706	4998.427734
10407.224620	0.090641	1.634706	5094.688477
10407.225587	0.090560	1.634706	5182.260254
10407.226460	0.090604	1.634706	5261.357910
10407.227349	0.090696	1.634706	5341.986328
10407.228442	0.090626	1.634706	5441.041016
10407.229316	0.090590	1.634706	5520.216309
10407.230191	0.090659	1.634706	5599.542969
10407.231305	0.090740	1.634706	5700.626953
10407.232251	0.090586	1.634706	5786.321289
10407.233116	0.090663	1.634706	5864.744629
10408.267338	1.580903	1.634932	888.467651
10408.268383	1.895526	1.634932	2869.292480
10408.269268	1.844473	1.634932	4501.650879
10408.270186	0.587717	1.634932	5041.175293
10408.271267	0.090575	1.634932	5139.086914
10408.272206	0.090579	1.634932	5224.140137
10408.273063	0.090593	1.634932	5301.778320
10408.274080	0.090710	1.634932	5394.030762
10408.275106	0.090571	1.634932	5486.957031
10408.275998	0.090582	1.634932	5567.756348
10408.276939	0.090623	1.634932	5653.032227
10408.278003	0.090626	1.634932	5749.458496
10408.278935	0.090619	1.634932	5833.915527
10408.279800	0.090634	1.634932	5912.313477
10409.311723	1.506097	1.634565	707.865784
10409.312605	1.905278	1.634565	2388.321289
10409.313570	1.855228	1.634565	4178.616211
10409.314628	0.628894	1.634565	4843.986328
10409.315557	0.090385	1.634565	4927.953613
10409.316420	0.090623	1.634565	5006.160645
10409.317485	0.090729	1.634565	5102.786621
10409.318489	0.090557	1.634565	5193.705566
10409.319370	0.090615	1.634565	5273.537598
10409.320358	0.090688	1.634565	5363.137695
10409.321402	0.090590	1.634565	5457.713379
10409.322313	0.090593	1.634565	5540.243652
10409.323171	0.090604	1.634565	5617.981934
10409.324245	0.090758	1.634565	5715.456055
10410.359241	1.454755	1.634763	632.818237
10410.360243	1.900162	1.634763	2536.780762
10410.361288	1.845597	1.634763	4465.429687
10410.362204	0.552865	1.634763	4971.854004
10410.363060	0.090509	1.634763	5049.329590
10410.364124	0.090641	1.634763	5145.771484
10410.365126	0.090450	1.634763	5236.402832
10410.365997	0.090549	1.634763	5315.271484
10410.366968	0.090648	1.634763	5403.291016
10410.368006	0.090703	1.634763	5497.440918
10410.368915	0.090608	1.634763	5579.803711
10410.369773	0.090608	1.634763	5657.545410
10410.370859	0.090696	1.634763	5756.041016
10410.371839	0.090564	1.634763	5844.793457
10411.402684	1.448390	1.634827	618.462463
10411.403697	1.900499	1.634827	2543.668213
10411.404750	1.844681	1.634827	4486.117676
10411.405650	0.542428	1.634827	4974.302734
10411.406576	0.090524	1.634827	5058.127441
10411.407640	0.090736	1.634827	5154.670410
10411.408584	0.090564	1.634827	5240.162598
10411.409448	0.090582	1.634827	5318.425781
10411.410498	0.090773	1.634827	5413.737305
10411.411512	0.090619	1.634827	5505.625000
10411.412400	0.090524	1.634827	5586.010254
10411.413343	0.090743	1.634827	5671.581055
10411.414404	0.090681	1.634827	5767.793945
10411.415327	0.090615	1.634827	5851.431641
10412.450329	1.539478	1.634408	789.752014
10412.451372	1.897416	1.634408	2768.756592
10412.452273	1.846461	1.634408	4432.417969
10412.453229	0.623705	1.634408	5028.679687
10412.454280	0.090542	1.634408	5123.839355
10412.455216	0.090637	1.634408	5208.675781
10412.456082	0.090571	1.634408	5287.110352
10412.457146	0.090751	1.634408	5383.668945
10412.458149	0.090619	1.634408	5474.559570
10412.459025	0.090601	1.634408	5553.925781
10412.460002	0.090699	1.634408	5642.539062
10412.461039	0.090725	1.634408	5736.621094
10412.461958	0.090641	1.634408	5819.919922
10412.462815	0.090648	1.634408	5897.605469
10413.494755	1.502871	1.634936	688.314941
10413.495636	1.905289	1.634936	2366.874756
10413.496633	1.853610	1.634936	4214.923340
10413.497688	0.612444	1.634936	4861.051758
10413.498578	0.090428	1.634936	4941.533203
10413.499444	0.090586	1.634936	5019.980469
10413.500522	0.090659	1.634936	5117.710937
10413.501519	0.090505	1.634936	5207.944824
10413.502417	0.090670	1.634936	5289.366699
10413.503401	0.090699	1.634936	5378.614746
10413.504457	0.090604	1.634936	5474.292969
10413.505346	0.090582	1.634936	5554.820801
10413.506211	0.090626	1.634936	5633.212402
10413.507318	0.090718	1.634936	5733.637207
10414.543413	1.578625	1.631593	846.143250
10414.544451	1.896116	1.631593	2814.311279
10414.545348	1.845245	1.631593	4469.496094
10414.546283	0.601274	1.631593	5031.687500
10414.547353	0.090571	1.631593	5128.598633
10414.548286	0.090582	1.631593	5213.111816
10414.549205	0.090593	1.631593	5296.367187
10414.550067	0.090626	1.631593	5374.486816
10414.551105	0.090579	1.631593	5468.507324
10414.551994	0.090579	1.631593	5549.031738
10414.552865	0.090619	1.631593	5627.960937
10414.553786	0.090674	1.631593	5711.471680
10414.554810	0.090568	1.631593	5804.212891
10414.555727	0.090663	1.631593	5887.350586
10415.585726	1.447841	1.634722	618.227905
10415.586591	1.905736	1.634722	2266.689453
10415.587654	1.853910	1.634722	4237.395508
10415.588552	0.848771	1.634722	4999.591797
10415.589412	0.091359	1.634722	5078.160156
10415.590299	0.090714	1.634722	5158.623535
10415.591312	0.090597	1.634722	5250.398437
10415.592237	0.090612	1.634722	5334.214355
10415.593117	0.090677	1.634722	5414.010742
10415.594113	0.090732	1.634722	5504.380371
10415.595035	0.090597	1.634722	5587.910645
10415.595902	0.090615	1.634722	5666.474121
10415.596901	0.090740	1.634722	5757.123047
10415.597897	0.090652	1.634722	5847.412109
10416.633372	1.538481	1.634698	783.087036
10416.634396	1.898148	1.634698	2726.791016
10416.635276	1.849153	1.634698	4354.045410
10416.636241	0.650017	1.634698	4981.312012
10416.637306	0.090527	1.634698	5077.723633
10416.638220	0.090656	1.634698	5160.583008
10416.639087	0.090663	1.634698	5239.187500
10416.640156	0.090703	1.634698	5336.148926
10416.641149	0.090593	1.634698	5426.107910
10416.642039	0.090615	1.634698	5506.755371
10416.643014	0.090681	1.634698	5595.169434
10416.644076	0.090641	1.634698	5691.430176
10416.644974	0.090575	1.634698	5772.766602
10416.645833	0.090645	1.634698	5850.630371
10417.676760	1.462383	1.634666	665.384155
10417.677773	1.900492	1.634666	2590.582520
10417.678705	1.850196	1.634666	4314.965820
10417.679577	0.772350	1.634666	4988.455078
10417.680661	0.090575	1.634666	5086.638184
10417.681549	0.090597	1.634666	5167.088379
10417.682422	0.090601	1.634666	5246.182617
10417.683428	0.090762	1.634666	5337.488770
10417.684412	0.090612	1.634666	5426.650391
10417.685301	0.090641	1.634666	5507.229980
10417.686156	0.090623	1.634666	5584.712402
10417.687210	0.090718	1.634666	5680.329102
10417.688118	0.090608	1.634666	5762.601074
10417.688995	0.090637	1.634666	5842.089844
10418.725310	1.443853	1.634449	615.081177
10418.726350	1.900045	1.634449	2591.128418
10418.727381	1.845066	1.634449	4493.391602
10418.728267	0.578144	1.634449	5005.627441
10418.729192	0.090641	1.634449	5089.470215
10418.730271	0.090630	1.634449	5187.259766
10418.731199	0.090593	1.634449	5271.330078
10418.732069	0.090663	1.634449	5350.206543
10418.733086	0.090626	1.634449	5442.373535
