crossing time (s)	slope (V/s)	crossing number
10297.349604	38.597882	297
10298.382917	38.309333	298
10299.447181	38.238225	299
10300.476506	38.086238	300
10301.528125	38.487576	301
10302.560830	38.274535	302
10303.630222	38.407852	303
10304.663241	37.833589	304
10305.705472	37.760215	305
10306.742552	37.861537	306
10307.814096	38.348890	307
10308.838609	38.180734	308
10309.901676	37.325854	309
10310.934528	37.529413	310
10311.989257	37.814708	311
10313.021898	37.379030	312
10314.082694	37.783963	313
10315.114564	37.268457	314
10316.168427	37.735375	315
10317.206903	37.334383	316
10318.259852	37.051525	317
10319.300090	37.109147	318
10320.346125	37.213563	319
10321.397163	37.001823	320
10322.439582	37.195223	321
10323.478746	36.831805	322
10324.528769	36.825887	323
10325.578171	36.978797	324
10326.625161	36.902780	325
10327.666791	36.806530	326
10328.713696	36.749742	327
10329.758469	36.868499	328
10330.804998	36.752519	329
10331.850261	36.801873	330
10332.897951	36.855948	331
10333.937784	36.964432	332
10334.985197	36.759251	333
10336.032649	36.649495	334
10337.079935	36.521820	335
10338.121399	36.382620	336
10339.169808	36.392003	337
10340.212709	36.475069	338
10341.264475	36.022307	339
10342.303237	36.381091	340
10343.356025	36.080604	341
10344.399546	35.991304	342
10345.444610	35.978795	343
10346.493237	35.806585	344
10347.532337	36.104712	345
10348.576210	35.890951	346
10349.629336	35.796807	347
10350.675288	35.736256	348
10351.717588	35.825398	349
10352.759484	35.779311	350
10353.808824	35.734451	351
10354.856714	35.323567	352
10355.898597	35.721337	353
10356.942681	35.462875	354
10357.993394	35.144518	355
10359.041092	35.312704	356
10360.086509	35.378641	357
10361.127361	35.233408	358
10362.176092	35.478237	359
10363.214620	35.373980	360
10364.268070	35.152540	361
10365.304930	35.020234	362
10366.365187	35.210976	363
10367.399030	34.878352	364
10368.451550	35.260670	365
10369.483024	34.906362	366
10370.545377	35.310449	367
10371.578784	34.924361	368
10372.636971	35.300504	369
10373.666984	35.106351	370
10374.727843	34.785100	371
10375.761443	34.598438	372
10376.818504	34.521907	373
10377.850610	34.839416	374
10378.909918	34.545698	375
10379.946304	34.800988	376
10381.004572	34.339694	377
10382.032880	34.427356	378
10383.091667	34.401456	379
10384.127473	34.270926	380
10385.179618	34.530726	381
10386.216974	34.076662	382
10387.278200	34.434716	383
10388.309326	34.233282	384
10389.362406	34.117418	385
10390.398901	33.729956	386
10391.451903	34.101424	387
10392.494167	33.744651	388
10393.547464	33.790371	389
10394.586396	33.700909	390
10395.634368	33.922534	391
10396.676527	33.669224	392
10397.723082	33.664553	393
10398.771552	33.618248	394
10399.812199	33.563761	395
10400.862854	33.748674	396
10401.908200	34.008647	397
10402.955969	33.762189	398
10403.993734	33.695721	399
10405.043367	33.868694	400
10406.090008	34.127171	401
10407.136094	33.903213	402
10408.181546	33.865604	403
10409.227861	33.839049	404
10410.272647	33.962140	405
10411.318556	34.020996	406
10412.369383	34.006344	407
10413.409924	34.121056	408
10414.456406	34.263125	409
10415.496355	34.068503	410
10416.549522	34.086800	411
10417.587607	34.046676	412
10418.638858	34.265198	413
10419.687770	34.396989	414
10420.733213	34.343728	415
10421.770716	34.464089	416
10422.820571	34.313914	417
10423.869427	34.101541	418
10424.912059	34.246115	419
10425.960580	34.323707	420
10427.004642	34.245298	421
10428.053833	34.215752	422
10429.093900	34.467820	423
10430.139111	34.196401	424
10431.184961	34.182207	425
10432.233672	34.115021	426
10433.279360	34.592308	427
10434.318221	34.188535	428
10435.371943	34.451591	429
10436.418316	34.578781	430
10437.467242	34.837767	431
10438.502265	34.577424	432
10439.554892	34.609637	433
10440.590760	34.536438	434
10441.645233	34.604071	435
10442.687354	34.418743	436
10443.739635	34.701547	437
10444.773586	34.584788	438
10445.834911	34.928751	439
10446.867826	34.531122	440
10447.920881	34.766351	441
10448.958247	34.828461	442
10450.015460	34.615843	443
10451.050569	34.613637	444
10452.105573	34.653677	445
10453.139713	34.681895	446
10454.200409	34.712714	447
10455.231746	34.729613	448
10456.294463	34.870401	449
10457.322479	34.954380	450
10458.377543	34.828543	451
10459.412555	34.886775	452
10460.473046	35.138600	453
10461.509042	34.620580	454
10462.565300	35.247697	455
10463.595718	34.806643	456
10464.652930	35.168029	457
10465.695325	35.125120	458
10466.746069	35.055820	459
10467.780687	34.946119	460
10468.834075	35.179147	461
10469.875990	34.892893	462
10470.922756	35.120555	463
10471.968283	34.886624	464
10473.011028	34.979949	465
10474.058681	34.845296	466
10475.110557	35.175185	467
10476.152564	35.140863	468
10477.195076	35.236195	469
10478.242499	35.024222	470
10479.291156	34.803881	471
10480.333692	35.271504	472
10481.376034	34.962065	473
10482.429161	34.943893	474
10483.471148	35.417168	475
10484.514477	35.478327	476
10485.566633	35.213448	477
10486.611793	35.479469	478
10487.654018	35.448955	479
10488.698628	35.541026	480
10489.743964	35.481897	481
10490.789306	35.447280	482
10491.837938	35.471049	483
10492.884397	35.350190	484
10493.932505	35.396247	485
10494.975665	35.701344	486
10496.019760	35.616001	487
10497.066596	35.578515	488
10498.112565	35.483376	489
10499.157816	35.652566	490
10500.204219	35.417139	491
10501.251206	35.603394	492
10502.297094	36.094634	493
10503.338379	35.429859	494
10504.390347	35.539334	495
10505.436126	35.628766	496
10506.477189	35.914398	497
10507.525683	35.382257	498
