time (s)	coil I (A)	last det (V)	int current (uC)
11093.329442	1.548043	0.001158	783.309814
11093.330373	1.901927	0.001158	2554.004395
11093.331239	1.854522	0.001158	4160.020020
11093.332305	1.785465	0.001158	6063.325684
11093.333327	1.721854	0.001158	7823.060547
11093.334226	1.668633	0.001158	9323.161133
11093.335182	1.615206	0.001158	10867.298828
11093.336232	1.558396	0.001158	12503.614258
11093.337167	1.509551	0.001158	13915.043945
11093.338030	1.464690	0.001158	15179.071289
11093.339094	1.414193	0.001158	16683.773437
11093.340101	1.367732	0.001158	18061.080078
11093.340991	1.328811	0.001158	19243.722656
11093.341977	1.287433	0.001158	20513.130859
11093.343046	0.753483	0.001158	21318.603516
11093.343944	0.091824	0.001158	21401.060547
11093.344804	0.090396	0.001158	21478.800781
11093.345894	0.090597	0.001158	21577.550781
11093.346885	0.090549	0.001158	21667.285156
11093.347764	0.090549	0.001158	21746.878906
11093.348748	0.090663	0.001158	21836.091797
11093.349815	0.090571	0.001158	21932.730469
11093.350683	0.090568	0.001158	22011.343750
11093.351558	0.090597	0.001158	22090.615234
11093.352664	0.090615	0.001158	22190.835937
11094.376919	1.479576	0.000046	656.931885
11094.377786	1.905282	0.000046	2308.811523
11094.378839	1.851379	0.000046	4258.313965
11094.379871	1.784773	0.000046	6100.199707
11094.380755	1.728933	0.000046	7628.576660
11094.381717	1.672467	0.000046	9237.490234
11094.382780	1.612342	0.000046	10951.410156
11094.383705	1.561718	0.000046	12395.999023
11094.384610	1.514106	0.000046	13766.265625
11094.385493	1.468337	0.000046	15062.807617
11094.386510	1.420188	0.000046	16507.138672
11094.387409	1.378176	0.000046	17746.119141
11094.388287	1.339153	0.000046	18921.894531
11094.389241	1.298837	0.000046	20160.984375
11094.390224	1.168561	0.000046	21309.679687
11094.391150	0.138622	0.000046	21438.042969
11094.392017	0.090406	0.000046	21516.425781
11094.393053	0.090531	0.000046	21610.216797
11094.393929	0.090531	0.000046	21689.521484
11094.394800	0.090586	0.000046	21768.421875
11094.395675	0.090590	0.000046	21847.687500
11094.396704	0.090494	0.000046	21940.806641
11094.397596	0.090520	0.000046	22021.550781
11094.398460	0.090557	0.000046	22099.791016
11094.399541	0.090560	0.000046	22197.687500
11095.420355	1.462570	-0.000671	631.830078
11095.421222	1.903748	-0.000671	2282.379395
11095.422316	1.849402	-0.000671	4305.625000
11095.423315	1.784019	-0.000671	6087.859375
11095.424212	1.728380	-0.000671	7638.216309
11095.425214	1.669830	-0.000671	9311.386719
11095.426267	1.610874	-0.000671	11007.636719
11095.427165	1.561586	-0.000671	12409.940430
11095.428054	1.513059	-0.000671	13755.049805
11095.429156	1.458995	-0.000671	15362.862305
11095.430117	1.413021	-0.000671	16720.775391
11095.430982	1.372635	-0.000671	17908.105469
11095.432019	1.327266	-0.000671	19284.480469
11095.433047	1.284034	-0.000671	20604.468750
11095.433933	0.893573	-0.000671	21396.173828
11095.434874	0.096570	-0.000671	21487.046875
