time (s)	magX	magY	magZ
10984.551099	3.235535	-100.842781	6.945644
10984.555356	3.995324	-100.082993	7.179424
10984.558676	3.352426	-99.556984	6.887199
10984.562013	3.644652	-99.381645	7.471653
10984.565277	3.819988	-98.972534	7.296314
10984.568211	3.761543	-98.680305	7.354763
10984.571531	3.352426	-98.388077	6.770309
10984.574846	3.177090	-98.095840	7.120983
10984.578174	3.527761	-98.095840	7.413204
10984.581100	2.884863	-97.394501	6.945644
10984.584428	3.469316	-96.751602	7.354763
10984.587761	3.878434	-96.926933	6.828751
10984.591088	3.410871	-97.219170	6.828751
10984.594427	3.001753	-97.043831	7.120983
10984.597760	2.767972	-96.517822	7.296314
10984.601096	3.644652	-96.167152	7.939217
10984.604416	3.469316	-96.517822	7.179424
10984.607750	3.235535	-96.108704	7.354763
10984.611087	3.060199	-96.459373	7.646988
10984.614422	3.527761	-96.634712	7.646988
10984.617750	3.410871	-96.225594	8.465221
10984.621084	3.410871	-96.400932	8.289886
10984.624450	3.703097	-95.991814	7.413204
10984.627755	3.819988	-96.751602	7.763878
10984.631080	3.995324	-96.576263	7.471653
10984.634422	3.527761	-96.868492	7.588543
10984.637755	3.761543	-97.160721	7.646988
10984.641090	3.469316	-96.868492	7.588543
10984.644420	3.235535	-97.160721	6.887199
10984.647750	3.936879	-97.803627	7.120983
10984.651078	4.170660	-98.329628	7.179424
10984.654435	3.761543	-98.914085	6.361191
10984.658640	3.995324	-98.388077	7.413204
10984.661932	3.819988	-99.264748	7.062534
10984.665266	4.579778	-99.615425	6.653419
10984.668628	4.579778	-100.258324	6.945644
10984.671505	4.287551	-99.907661	7.296314
10984.674858	3.878434	-100.784332	6.478081
10984.678200	3.936879	-101.544128	6.419640
10984.681519	3.819988	-102.362358	6.185856
10984.684414	4.345996	-102.596138	6.536530
10984.687751	4.229105	-103.881943	5.250732
10984.691110	4.287551	-104.583282	5.075394
10984.694409	4.053770	-104.407936	4.490940
10984.697766	4.053770	-105.518410	4.666279
10984.701079	4.404441	-106.511971	3.906487
10984.704417	3.819988	-107.037987	3.555813
10984.707747	3.410871	-107.271767	3.146698
10984.711088	4.112215	-107.797775	3.964935
10984.714414	4.112215	-108.849800	3.088249
10984.717745	3.586207	-110.486267	3.088249
10984.721075	3.936879	-111.012268	2.445354
10984.724407	4.229105	-111.538277	2.620689
10984.727746	3.819988	-112.765633	1.042667
10984.731077	4.579778	-113.817642	1.042667
10984.734411	4.462887	-114.752769	0.575104
10984.737743	4.404441	-115.512558	0.107536
10984.741086	4.287551	-117.149025	0.458206
10984.744415	4.170660	-118.551720	-0.944481
10984.747736	4.696669	-119.545288	-0.476917
10984.751071	4.112215	-121.064873	-1.412045
10984.755256	4.696669	-123.519569	-2.522503
10984.758611	4.462887	-124.571594	-3.223846
10984.761935	4.755114	-125.331390	-3.983639
10984.765274	4.638223	-127.201637	-4.801872
10984.768176	5.047341	-129.013443	-5.503216
10984.771514	4.930450	-130.065460	-6.263004
10984.774845	4.988896	-131.117477	-6.321449
10984.778193	5.281123	-133.864410	-6.964352
10984.781070	4.755114	-134.682648	-8.074810
10984.784405	5.222677	-136.436005	-9.360607
10984.787736	5.807130	-138.656937	-9.945061
10984.791074	5.398013	-140.468735	-10.821743
10984.794407	6.216248	-142.338989	-12.224430
10984.797737	5.339568	-144.209229	-12.750439
10984.801072	5.982466	-146.488617	-14.211575
10984.804401	5.982466	-148.241974	-15.438927
10984.807733	5.222677	-150.287552	-17.075397
10984.811066	5.690239	-153.151367	-17.426067
10984.814401	5.924021	-155.664536	-19.413208
10984.817733	6.391584	-157.008774	-20.231445
10984.821077	6.274693	-159.814148	-21.867912
10984.824397	6.333138	-162.151962	-24.497955
10984.827738	6.274693	-164.431320	-24.614847
10984.831063	6.450029	-166.652252	-25.783754
10984.834393	6.508474	-169.632965	-28.121567
10984.837735	6.800701	-172.029221	-29.874928
10984.841064	7.034483	-174.834595	-30.985390
10984.844399	6.742256	-177.873764	-33.556984
10984.847731	7.092928	-180.328476	-35.953247
10984.851069	7.034483	-184.244308	-37.940384
10984.855263	7.151373	-190.088837	-42.090008
10984.858600	7.443600	-192.952667	-45.012276
10984.861987	7.443600	-196.167145	-47.466980
10984.864877	7.443600	-199.323212	-49.687904
10984.868164	8.261835	-202.420807	-53.019287
10984.871491	8.086498	-206.570435	-57.110462
10984.874819	8.495617	-210.310928	-60.558739
10984.878147	8.612507	-213.876099	-62.954998
10984.881060	8.787844	-217.616592	-66.812393
10984.884396	9.138515	-221.357101	-70.786674
10984.887729	9.489187	-225.389832	-74.234955
10984.891062	9.255407	-229.481003	-78.092346
10984.894396	9.781414	-233.338394	-81.891296
10984.897727	10.132086	-237.137360	-86.508476
10984.901057	10.307423	-241.345428	-91.300995
10984.904391	10.424313	-245.495026	-96.210403
10984.907742	10.716539	-250.579773	-101.412041
10984.911057	10.774984	-254.963165	-106.789017
10984.914391	10.541204	-260.047943	-112.049095
10984.917725	11.242548	-264.898895	-117.192284
10984.921109	11.067211	-267.821167	-123.387497
10984.924394	11.710110	-273.665710	-129.582703
10984.927728	11.710110	-277.873779	-135.836365
10984.931053	11.417885	-283.426056	-142.849792
10984.934385	12.236118	-288.803040	-149.687897
10984.937749	12.177673	-293.361786	-156.701355
10984.941055	12.119228	-299.615417	-165.526581
10984.944391	12.177673	-303.297485	-172.189362
10984.949036	13.346582	-313.642334	-190.424301
10984.951932	13.755699	-319.369965	-199.308014
10984.955314	14.047926	-324.162476	-209.302155
10984.958653	14.866161	-329.656342	-218.945648
10984.961510	14.398598	-334.916412	-228.822906
10984.964804	14.749269	-339.533600	-239.810638
10984.968188	14.749269	-344.969025	-250.681473
10984.971478	15.275278	-351.105774	-263.422546
10984.974383	15.392168	-355.021637	-274.760956
10984.977718	15.918177	-360.281708	-287.560486
10984.981073	16.093513	-366.067810	-300.535370
10984.984383	16.502630	-370.801880	-314.328430
10984.987712	16.385738	-374.951508	-328.472229
10984.991050	16.268848	-379.510223	-342.616028
10984.994379	16.502630	-384.478088	-357.987122
10984.997719	17.028639	-387.634125	-373.533630
10985.001051	17.203976	-392.017548	-389.255371
10985.004385	17.671537	-394.296906	-405.853882
10985.007714	18.139101	-398.680328	-424.731750
10985.011076	18.548218	-402.011688	-441.330200
10985.014390	18.139101	-404.992401	-459.097595
10985.017718	19.074226	-407.213318	-477.683228
10985.021048	18.840445	-409.317352	-496.619507
10985.024400	19.015781	-410.252502	-515.906494
10985.027709	18.898890	-411.772064	-536.187073
10985.031047	18.840445	-413.700745	-556.350708
10985.034379	18.548218	-413.233215	-576.046753
10985.037720	18.840445	-413.291656	-597.262390
10985.041048	19.308008	-411.362946	-618.711853
10985.045248	18.372883	-407.680908	-659.448242
10985.048584	18.548218	-404.933960	-680.663940
10985.051988	18.723555	-401.193451	-701.704285
10985.055356	18.255991	-396.634705	-723.270569
10985.058173	18.431328	-391.433075	-744.603149
10985.061466	17.613092	-385.179443	-764.182312
10985.064802	17.203976	-378.808899	-784.112244
10985.068154	17.087086	-371.327881	-804.626526
10985.071041	16.911747	-362.268860	-824.205688
10985.074377	16.268848	-351.222687	-844.720032
10985.077712	15.918177	-343.040344	-862.370544
10985.081043	15.801287	-331.585052	-879.319702
10985.084370	14.632380	-319.486847	-896.794861
10985.087710	14.807714	-307.388641	-912.165955
10985.091035	13.989481	-292.894226	-926.894226
10985.094370	12.995911	-278.049103	-941.213257
10985.097723	12.353010	-263.320862	-953.779053
10985.101039	11.417885	-246.547043	-966.753906
10985.104370	10.307423	-230.416122	-976.748047
10985.107702	9.489187	-212.414978	-986.742249
10985.111039	8.320280	-194.238464	-994.924622
10985.114366	7.502046	-174.308594	-1001.353577
10985.117711	6.450029	-155.021622	-1006.672119
10985.121039	4.872005	-135.033310	-1011.406189
10985.124369	3.819988	-113.992989	-1012.516663
10985.127703	3.235535	-92.660431	-1015.205139
10985.131034	1.832847	-71.853889	-1014.679077
10985.134366	0.371712	-50.462887	-1012.750366
10985.137703	-0.855640	-27.961426	-1009.828125
10985.141930	-2.609001	16.690825	-1000.769104
10985.145233	-4.596143	38.198715	-992.411499
10985.148632	-6.115722	60.174168	-984.988831
10985.151957	-8.102863	81.331383	-975.988281
10985.154832	-9.037990	102.488602	-966.052612
10985.158117	-10.323788	123.704269	-954.012817
10985.161457	-11.025131	144.043243	-940.804138
10985.164797	-12.427820	163.388657	-927.244934
10985.167702	-13.187609	182.850967	-914.211548
10985.171027	-14.707190	201.904144	-899.658630
10985.174360	-15.408533	220.197540	-882.884827
10985.177729	-16.635885	237.497360	-867.279968
10985.181026	-16.928112	253.862061	-851.032104
10985.184375	-18.155464	268.648743	-832.504944
10985.187696	-18.506136	283.902985	-814.386902
10985.191024	-19.850380	297.812958	-796.268860
10985.194360	-20.668615	311.547607	-778.968994
10985.197698	-21.486849	323.587372	-760.091187
10985.201026	-21.837521	335.276459	-742.206848
10985.204360	-22.947983	345.679718	-722.627686
10985.207693	-23.357100	355.030975	-703.340698
10985.211026	-23.941555	364.791351	-684.988892
10985.214409	-24.175337	371.980133	-665.643433
10985.217704	-25.402689	379.227356	-646.239624
10985.221064	-25.928696	384.954987	-626.835754
10985.224362	-26.337814	391.793091	-608.308533
10985.227713	-26.513149	396.351837	-589.606079
10985.231028	-26.513149	399.683228	-571.838684
10985.234355	-26.805376	402.780853	-553.662170
10985.238533	-27.156048	407.164215	-516.666260
10985.241907	-26.805376	408.157806	-499.074219
10985.245269	-27.798946	408.917603	-482.125061
10985.248635	-27.974283	408.917603	-465.526611
10985.251468	-27.740501	408.450012	-449.278809
10985.254802	-27.682056	407.865570	-433.264771
10985.258118	-27.623611	406.053772	-417.542969
10985.261452	-27.740501	404.943298	-403.457642
10985.264360	-27.506720	402.430145	-387.794250
10985.267691	-27.798946	400.092346	-374.351807
10985.271059	-27.448275	396.001160	-360.792542
10985.274356	-27.565166	394.130890	-346.414978
10985.277689	-26.980713	390.331970	-333.381653
10985.281013	-27.156048	386.240814	-319.939209
10985.284359	-26.863821	382.091156	-308.308594
10985.287688	-26.454704	377.707764	-295.976624
10985.291021	-26.045588	373.675049	-285.047333
10985.294353	-25.987141	368.648743	-273.884277
10985.297687	-25.811806	364.206879	-262.896545
10985.301022	-26.162477	359.531281	-252.084152
10985.304352	-26.104033	353.978943	-242.031555
10985.307689	-25.227352	349.186432	-232.329636
10985.311015	-25.168907	344.510803	-223.329056
10985.314369	-24.701344	339.601410	-213.568680
10985.317692	-24.233782	334.399750	-204.801865
10985.321014	-23.941555	328.964325	-196.444183
10985.324355	-23.357100	323.996490	-188.554062
10985.327683	-23.357100	318.736420	-181.306839
10985.332308	-23.123318	308.859131	-165.818817
10985.335220	-22.831093	303.832855	-159.506714
10985.338563	-22.188194	298.280518	-152.785507
10985.341874	-22.421974	292.611359	-145.888947
10985.344796	-22.305084	288.052582	-140.161316
10985.348132	-21.603741	283.318512	-133.849213
10985.351496	-21.603741	278.409119	-128.530685
10985.354773	-21.545294	274.317932	-122.744591
10985.357702	-21.077732	268.824097	-117.309174
10985.361012	-21.077732	263.563995	-111.932205
10985.364351	-20.493279	259.239044	-107.256577
10985.367680	-20.317944	255.323196	-102.171829
10985.371015	-20.551723	250.472244	-97.613098
10985.374342	-20.259497	246.147278	-93.989479
