time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
10985.136612	93.308586	1.467161	0.005577	185
10987.225999	93.399185	1.465668	0.005079	187
10989.315884	93.404587	1.462942	0.004728	189
10991.406243	93.336540	1.458247	0.004440	191
10993.496979	93.240128	1.456673	0.004027	193
10995.588338	93.204803	1.456558	0.003655	195
10997.679507	93.129410	1.454233	0.003216	197
10999.771122	93.158440	1.452133	0.003164	199
11001.862441	93.122849	1.448876	0.002906	201
11003.953600	93.117111	1.445553	0.002535	203
11006.044482	93.100243	1.445451	0.002561	205
11008.135443	93.078667	1.443850	0.002243	207
11010.226356	93.030304	1.442048	0.001979	209
11012.316826	92.906296	1.441071	0.001590	211
11014.407283	92.883484	1.441055	0.001253	213
11016.497839	92.813995	1.438199	0.000981	215
11018.588572	92.763374	1.436535	0.000952	217
11020.679384	92.732178	1.432428	0.000735	219
11022.770758	92.815018	1.428541	0.000512	221
11024.862635	92.894257	1.425682	0.000182	223
11026.954484	92.929359	1.423561	-0.000079	225
11029.047100	92.924103	1.422409	-0.000604	227
11031.139180	92.996223	1.421272	-0.001010	229
11033.231019	92.956253	1.418347	-0.001625	231
11035.322937	92.941193	1.415094	-0.001734	233
11037.414024	92.886642	1.413140	-0.001800	235
11039.505325	92.867622	1.410854	-0.002148	237
11041.596435	92.816643	1.408436	-0.002491	239
11043.687170	92.782227	1.406940	-0.002711	241
11045.778079	92.733635	1.403892	-0.003055	243
11047.869055	92.664368	1.403585	-0.003274	245
11049.959785	92.693642	1.403403	-0.003520	247
11052.050150	92.691277	1.401239	-0.003681	249
11054.140247	92.694054	1.400195	-0.004048	251
11056.230100	92.752663	1.399275	-0.004296	253
11058.319861	92.838974	1.396192	-0.004672	255
11060.409671	92.855705	1.394300	-0.004903	1
11062.499502	92.869728	1.392440	-0.005305	3
11064.589334	92.791847	1.390618	-0.005719	5
11066.679846	92.725693	1.389773	-0.006157	7
11068.770503	92.671875	1.387791	-0.006177	9
11070.861338	92.615150	1.387331	-0.006630	11
11072.952317	92.559998	1.386221	-0.006769	13
11075.043587	92.512627	1.385829	-0.007137	15
11077.134744	92.483696	1.384231	-0.007514	17
11079.225714	92.452606	1.382160	-0.007828	19
11081.316821	92.421509	1.382343	-0.007797	21
11083.407636	92.395187	1.379043	-0.008022	23
11085.498272	92.293221	1.377053	-0.008234	25
11087.589083	92.289688	1.371501	-0.008399	27
11089.679613	92.200310	1.369263	-0.008488	29
11091.770239	92.184723	1.368260	-0.008970	31
11093.860901	92.158424	1.366708	-0.009216	33
11095.952547	92.187408	1.366124	-0.009302	35
11098.043448	92.251831	1.364815	-0.009717	37
11100.135352	92.308113	1.363368	-0.009879	39
11102.226997	92.336662	1.360241	-0.010385	41
11104.319164	92.359306	1.357726	-0.010813	43
11106.410808	92.361588	1.356238	-0.010933	45
11108.502547	92.362160	1.353762	-0.011180	47
11110.594129	92.334358	1.351913	-0.011502	49
11112.685579	92.316269	1.351012	-0.011737	51
11114.776343	92.278976	1.347418	-0.012048	53
11116.867996	92.233452	1.343225	-0.012214	55
11118.958444	92.167526	1.340085	-0.012429	57
11121.049163	92.155846	1.340345	-0.012643	59
11123.139807	92.135063	1.342303	-0.012762	61
11125.230172	92.105316	1.339816	-0.012924	63
11127.320330	92.116714	1.339484	-0.013161	65
11129.410277	92.127541	1.340024	-0.013283	67
11131.500088	92.153542	1.338251	-0.013201	69
11133.590042	92.146767	1.335222	-0.013838	71
11135.679799	92.164757	1.331201	-0.013883	73
11137.769519	92.092537	1.329703	-0.014156	75
11139.859919	92.057838	1.328427	-0.014357	77
11141.949981	91.945038	1.324743	-0.014601	79
11144.040314	91.874512	1.324565	-0.015029	81
11146.131673	91.879982	1.322401	-0.015387	83
11148.221869	91.760109	1.323915	-0.015356	85
11150.313293	91.735901	1.323819	-0.015712	87
11152.403985	91.709244	1.323880	-0.016065	89
11154.495135	91.652885	1.321234	-0.016210	91
11156.585496	91.624779	1.319038	-0.016531	93
11158.676592	91.576157	1.316291	-0.016760	95
11160.767251	91.504211	1.313628	-0.016840	97
11162.858025	91.506844	1.311403	-0.017109	99
11164.948562	91.443176	1.308519	-0.017224	101
11167.039392	91.460587	1.305702	-0.017513	103
11169.130588	91.428322	1.302660	-0.017848	105
11171.221592	91.445084	1.299278	-0.018112	107
11173.312926	91.491699	1.297767	-0.018304	109
11175.404414	91.526276	1.297599	-0.018559	111
11177.496079	91.558922	1.295892	-0.018826	113
11179.588207	91.583183	1.294556	-0.019041	115
11181.679745	91.584465	1.291960	-0.019380	117
11183.771253	91.596146	1.290202	-0.019793	119
11185.862678	91.552208	1.287216	-0.019998	121
11187.953745	91.531647	1.284689	-0.020203	123
11190.045355	91.515343	1.283041	-0.020525	125
11192.136190	91.458504	1.282154	-0.020845	127
11194.226463	91.466705	1.281242	-0.020909	129
11196.317725	91.388802	1.280613	-0.021078	131
11198.408046	91.383995	1.280339	-0.021270	133
11200.498335	91.356567	1.279983	-0.021408	135
11202.588518	91.371674	1.278612	-0.021502	137
11204.678631	91.316124	1.276418	-0.021793	139
11206.768615	91.314018	1.277071	-0.022065	141
11208.858665	91.346985	1.276327	-0.022422	143
