time (s)	coil I (A)	last det (V)	int current (uC)
6008.109041	1.489197	-0.001215	680.562927
6008.109905	1.888876	-0.001215	2312.551514
6008.110974	1.833962	-0.001215	4273.057129
6008.111992	1.769147	-0.001215	6074.048340
6008.112896	1.714662	-0.001215	7624.102539
6008.113874	1.657533	-0.001215	9245.169922
6008.114934	1.599653	-0.001215	10940.802734
6008.115849	1.550343	-0.001215	12359.366211
6008.116719	1.502487	-0.001215	13666.529297
6008.117811	1.448789	-0.001215	15248.607422
6008.118773	1.402094	-0.001215	16597.421875
6008.119664	1.361038	-0.001215	17810.105469
6008.120663	1.315034	-0.001215	19123.824219
6008.121727	1.271609	-0.001215	20476.816406
6008.122630	0.835129	-0.001215	21230.937500
6008.123524	0.094171	-0.001215	21315.126953
6008.124617	0.090696	-0.001215	21414.257812
6008.125572	0.090549	-0.001215	21500.732422
6008.126435	0.090586	-0.001215	21578.908203
6008.127470	0.090685	-0.001215	21672.767578
6008.128502	0.090582	-0.001215	21766.248047
6008.129383	0.090513	-0.001215	21845.990234
6008.130323	0.090615	-0.001215	21931.167969
6008.131360	0.090604	-0.001215	22025.125000
6008.132286	0.090560	-0.001215	22108.984375
6009.171474	1.519629	0.004038	764.373352
6009.172380	1.887327	0.004038	2474.291260
6009.173243	1.840569	0.004038	4062.702148
6009.174349	1.772358	0.004038	6022.930664
6009.175347	1.711403	0.004038	7730.910156
6009.176230	1.660400	0.004038	9197.043945
6009.177234	1.605732	0.004038	10809.199219
6009.178302	1.548025	0.004038	12462.490234
6009.179178	1.499810	0.004038	13776.323242
6009.180069	1.453630	0.004038	15071.507812
6009.181155	1.402848	0.004038	16595.000000
6009.182120	1.356178	0.004038	17903.710937
6009.182993	1.317828	0.004038	19054.175781
6009.184023	1.274531	0.004038	20366.943359
6009.185068	0.754519	0.004038	21155.416016
6009.185959	0.091710	0.004038	21237.128906
6009.186902	0.090516	0.004038	21322.486328
6009.187959	0.090604	0.004038	21418.255859
6009.188896	0.090582	0.004038	21503.130859
6009.189757	0.090568	0.004038	21581.109375
6009.190805	0.090619	0.004038	21676.078125
6009.191811	0.090597	0.004038	21767.218750
6009.192699	0.090480	0.004038	21847.564453
6009.193656	0.090648	0.004038	21934.314453
6009.194690	0.090652	0.004038	22028.048828
6010.202071	1.457314	-0.003434	642.675720
6010.202939	1.889454	-0.003434	2282.721924
6010.203878	1.843861	-0.003434	4014.107422
6010.204925	1.776822	-0.003434	5874.440430
6010.205824	1.721631	-0.003434	7422.186523
6010.206695	1.670607	-0.003434	8877.285156
6010.207729	1.613888	-0.003434	10546.044922
6010.208691	1.562391	-0.003434	12049.065430
6010.209572	1.514971	-0.003434	13383.754883
6010.210494	1.466982	-0.003434	14736.312500
6010.211560	1.416002	-0.003434	16245.770508
6010.212450	1.373566	-0.003434	17468.244141
6010.213362	1.332319	-0.003434	18683.320312
6010.214441	1.284954	-0.003434	20069.785156
6010.215388	1.158311	-0.003434	21166.705078
