crossing time (s)	slope (V/s)	crossing number
5908.466819	26.312944	3013
5909.494386	25.941301	3014
5910.556404	27.198922	3015
5911.588837	26.173696	3016
5912.650757	26.266940	3017
5913.682897	26.352115	3018
5914.732542	26.110984	3019
5915.782047	26.299485	3020
5916.826049	25.862529	3021
5917.864860	26.724250	3022
5918.920553	26.277788	3023
5919.951741	26.085398	3024
5921.012673	25.882786	3025
5922.043934	25.952526	3026
5923.093914	26.073559	3027
5924.129583	25.615099	3028
5925.191054	26.531870	3029
5926.225203	25.560065	3030
5927.282668	26.038675	3031
5928.325089	25.710725	3032
5929.369908	25.762954	3033
5930.410708	25.442182	3034
5931.461827	25.752746	3035
5932.505698	25.814685	3036
5933.549283	25.770855	3037
5934.599574	25.498497	3038
5935.642181	25.815323	3039
5936.679531	25.808904	3040
5937.733376	25.315609	3041
5938.776817	25.451855	3042
5939.823439	25.505759	3043
5940.869052	25.327082	3044
5941.908699	25.182332	3045
5942.959933	25.460476	3046
5944.003748	25.547635	3047
5945.049716	24.893558	3048
5946.097550	24.824883	3049
5947.133373	25.769619	3050
5948.191854	24.921608	3051
5949.223653	24.980328	3052
5950.284907	25.503482	3053
5951.312757	25.155486	3054
5952.371433	25.167950	3055
5953.409427	25.257260	3056
5954.462961	25.376935	3057
5955.500596	25.079568	3058
5956.552663	24.701158	3059
5957.602950	24.851477	3060
5958.639299	25.065548	3061
5959.684304	24.792827	3062
5960.733254	24.653871	3063
5961.773618	25.352069	3064
5962.831947	24.752220	3065
5963.864905	24.713038	3066
5964.918082	24.703919	3067
5965.951301	24.645127	3068
5967.011258	24.466905	3069
5968.040912	24.639778	3070
5969.098411	24.768423	3071
5970.135567	24.650838	3072
5971.197383	24.524977	3073
5972.223594	24.786545	3074
5973.281646	24.633086	3075
5974.315520	24.259835	3076
5975.376601	24.701525	3077
5976.408010	24.716394	3078
5977.466849	24.496348	3079
5978.496084	24.458822	3080
5979.558399	23.908366	3081
5980.592191	24.239564	3082
5981.648624	24.098236	3083
5982.677734	24.185056	3084
5983.738354	24.132977	3085
5984.769264	24.065541	3086
5985.834412	23.817851	3087
5986.861560	23.827254	3088
5987.917784	23.943004	3089
5988.954236	23.998604	3090
5990.012126	24.192911	3091
5991.042278	23.631274	3092
5992.097851	23.866576	3093
5993.150921	24.222965	3094
5994.187189	24.024798	3095
5995.229157	23.809657	3096
5996.279836	23.624841	3097
5997.311568	23.843627	3098
5998.373512	23.531371	3099
5999.405673	23.502964	3100
6000.469418	23.493612	3101
6001.498330	23.328232	3102
6002.559415	23.829183	3103
6003.582138	23.268378	3104
6004.648424	23.555345	3105
6005.677873	23.743206	3106
6006.738907	23.104377	3107
6007.773038	23.442729	3108
6008.827372	23.346239	3109
6009.859431	22.942443	3110
6010.921270	23.176890	3111
6011.956222	22.761272	3112
6013.008087	23.070968	3113
6014.049178	23.389251	3114
6015.096038	23.530694	3115
6016.134020	23.185058	3116
6017.185596	22.981792	3117
6018.227562	23.128450	3118
6019.275087	23.176975	3119
6020.316525	23.185327	3120
6021.375589	22.937409	3121
6022.412987	22.512725	3122
6023.458069	22.850917	3123
6024.495789	22.739243	3124
6025.557092	22.873019	3125
6026.585584	22.712159	3126
6027.647780	22.787041	3127
6028.682190	22.941899	3128
6029.738694	22.471468	3129
6030.768803	22.641035	3130
6031.832381	22.516967	3131
6032.860294	23.005043	3132
6033.914160	22.551181	3133
6034.957785	22.878906	3134
6036.003325	22.536977	3135
6037.046081	22.606185	3136
6038.094117	22.613531	3137
6039.140189	22.158254	3138
6040.188453	22.022114	3139
6041.231537	22.622694	3140
6042.278842	22.541526	3141
6043.317694	22.330913	3142
6044.377925	22.347145	3143
6045.404396	22.487106	3144
6046.459393	22.599935	3145
6047.497298	22.622481	3146
6048.558688	21.643378	3147
6049.587466	22.358531	3148
6050.650099	21.755917	3149
6051.675150	22.547480	3150
6052.739993	21.974536	3151
6053.770480	21.850467	3152
6054.831681	22.385767	3153
6055.854853	22.390915	3154
6056.918904	22.756786	3155
6057.944709	21.942831	3156
6059.008232	21.873877	3157
6060.043185	21.792884	3158
6061.098812	22.327942	3159
6062.135886	21.897522	3160
6063.189950	21.905976	3161
6064.222297	22.361226	3162
6065.278955	22.002848	3163
6066.323522	21.421402	3164
6067.368054	21.719768	3165
6068.402512	21.485711	3166
6069.457905	21.456265	3167
6070.503612	21.505477	3168
6071.545952	21.545899	3169
6072.592731	21.692355	3170
6073.637005	21.484095	3171
6074.677242	21.537946	3172
6075.734139	21.594586	3173
6076.766211	21.211951	3174
6077.826817	21.574852	3175
6078.855942	21.187886	3176
6079.918393	21.558463	3177
6080.948644	21.449685	3178
6082.009534	21.370005	3179
6083.034042	21.337809	3180
6084.100005	21.213860	3181
6085.127998	21.278058	3182
6086.196418	21.237871	3183
6087.220388	21.000035	3184
6088.280812	21.292138	3185
6089.307555	20.890212	3186
6090.369607	21.435236	3187
6091.405780	21.202307	3188
6092.460980	20.561628	3189
6093.494470	21.260819	3190
6094.557876	20.965744	3191
6095.583399	20.968858	3192
6096.643668	20.540141	3193
6097.672280	20.777596	3194
6098.731052	21.088025	3195
6099.761866	20.269912	3196
6100.830735	20.893781	3197
6101.851956	21.007656	3198
6102.920168	20.796307	3199
6103.952400	20.793173	3200
6105.008006	20.524989	3201
6106.036414	20.751071	3202
6107.096410	20.547487	3203
6108.130376	20.323728	3204
6109.183267	20.673157	3205
6110.212575	20.342717	3206
6111.274022	20.879105	3207
6112.314658	20.320918	3208
6113.361323	20.626959	3209
6114.409424	20.417049	3210
