time (s)	magX	magY	magZ
10759.300285	28.659264	14.411455	-1000.535339
10759.303622	26.672121	39.835182	-991.826965
10759.306981	25.094097	65.083572	-982.417236
10759.310287	23.048510	88.987732	-972.481567
10759.313618	21.178259	113.125664	-960.967896
10759.316958	18.957336	137.146698	-946.298096
10759.320294	17.379311	159.648148	-931.569824
10759.323625	15.216833	181.974274	-915.614258
10759.326955	13.288137	203.599060	-898.665100
10759.330285	11.008766	223.587372	-881.774414
10759.333620	9.547634	241.822327	-863.890137
10759.337845	5.631794	277.766205	-825.023926
10759.341165	4.112215	293.254242	-803.749878
10759.344547	1.891292	309.560486	-783.644653
10759.347876	0.137931	322.944489	-762.662720
10759.351163	-0.972531	336.211578	-741.563965
10759.354460	-3.076563	348.075958	-719.822327
10759.357365	-5.063705	358.479248	-697.963745
10759.360707	-6.875511	368.999420	-675.228516
10759.364052	-7.576856	377.357117	-653.136169
10759.367378	-9.213326	384.312103	-630.985352
10759.370280	-9.914670	390.565735	-609.126831
10759.373614	-11.200467	396.702515	-587.092957
10759.376950	-12.661602	400.969025	-566.052612
10759.380300	-13.304501	404.592651	-543.843384
10759.383614	-14.356516	407.164215	-521.692566
10759.386948	-15.466978	408.625336	-501.996460
10759.390322	-15.876097	408.859131	-482.300415
10759.393617	-16.869667	408.274689	-462.195251
10759.396941	-17.220339	408.566925	-442.557556
10759.400273	-17.629456	407.047363	-422.978394
10759.403615	-18.447691	404.417297	-404.743408
10759.406955	-18.447691	401.261230	-386.683838
10759.410272	-18.973700	398.455872	-368.857971
10759.413619	-19.558153	395.007599	-352.902405
10759.416942	-20.142607	390.799530	-336.070129
10759.420275	-20.025717	386.416138	-320.932800
10759.423610	-20.493279	381.798950	-306.672119
10759.426941	-20.960842	376.538849	-292.294556
10759.430275	-21.136177	370.402100	-278.384583
10759.433603	-20.551723	365.609589	-265.877258
10759.436949	-20.785505	358.771484	-253.486847
10759.440276	-21.253067	352.225586	-241.213333
10759.443607	-20.960842	347.199310	-229.465820
10759.446940	-20.843950	340.244293	-219.120987
10759.451202	-21.194622	328.496765	-197.671539
10759.454514	-21.253067	322.418457	-188.846283
10759.457785	-21.194622	316.632385	-179.845703
10759.461130	-20.610168	310.144928	-171.254242
10759.464025	-21.194622	303.891296	-162.662766
10759.467390	-20.259497	298.338959	-155.532440
10759.470703	-20.668615	292.143768	-147.525421
10759.474048	-20.610168	286.065460	-140.453537
10759.476936	-20.668615	279.870270	-133.732330
10759.480271	-20.493279	274.259491	-127.829338
10759.483598	-20.259497	268.707184	-120.523674
10759.486932	-20.259497	263.271759	-114.503799
10759.490274	-19.675043	258.128571	-108.191704
10759.493606	-20.317944	251.407364	-103.106956
10759.496929	-19.967270	246.497955	-97.729980
10759.500265	-19.675043	241.413193	-92.645233
10759.503604	-19.382816	236.328461	-88.261841
10759.506938	-18.915253	231.243713	-83.177094
10759.510300	-18.856808	225.925186	-78.793686
10759.513606	-18.739918	221.132660	-75.696083
10759.516936	-18.389246	216.106369	-70.143776
10759.520263	-18.389246	211.313843	-66.461716
10759.523597	-17.863237	207.047333	-63.188782
10759.526931	-17.220339	202.137924	-59.798950
10759.530264	-17.045002	197.871414	-55.590885
10759.533605	-17.103449	193.604904	-51.967270
10759.536928	-17.161894	189.455292	-48.752777
10759.540266	-17.278784	185.188782	-44.720047
10759.543600	-16.869667	180.279373	-42.674461
10759.546929	-16.752777	177.064865	-39.927528
10759.550262	-16.109877	172.973694	-37.180595
10759.553637	-16.635885	169.583862	-34.842781
10759.557776	-15.759205	162.687302	-30.926945
10759.561112	-15.642315	159.005249	-28.881355
10759.564445	-14.765635	155.556976	-26.601988
10759.567796	-14.999416	152.634705	-25.842199
10759.570682	-14.882524	149.712448	-24.264175
10759.574030	-15.174751	146.497955	-22.861486
10759.577378	-14.882524	143.984802	-20.582115
10759.580698	-14.882524	141.237869	-19.296318
10759.583596	-14.882524	138.607834	-17.893631
10759.586927	-13.947399	135.685562	-16.081825
10759.590294	-14.122736	133.172409	-15.322037
10759.593593	-14.181181	131.009933	-14.036240
10759.596929	-14.298071	128.613678	-13.627121
10759.600254	-13.713617	126.392761	-11.873756
10759.603593	-13.479836	124.580948	-12.224430
10759.606924	-13.070719	122.184700	-10.763298
10759.610258	-13.538280	119.437759	-9.828171
10759.613589	-13.538280	118.444183	-9.419052
10759.616917	-12.661602	116.164818	-8.191704
10759.620261	-12.544710	114.236122	-7.315022
10759.623589	-13.012274	112.716545	-6.555233
10759.626926	-13.070719	111.138512	-6.087669
10759.630256	-12.486265	109.443611	-5.386326
10759.633613	-12.661602	107.573357	-4.217419
10759.636919	-12.077148	105.936890	-3.516075
10759.640256	-12.544710	104.475754	-3.165401
10759.643593	-11.668030	102.605499	-3.399185
10759.646922	-12.018703	100.969025	-2.580948
10759.650253	-12.077148	99.741676	-1.821159
10759.653583	-11.668030	98.514320	-0.769142
10759.658229	-11.200467	95.942726	-0.360027
10759.661126	-11.609585	94.540039	0.867329
10759.664460	-11.609585	93.312691	1.101109
10759.667885	-10.791349	92.377556	1.101109
10759.671168	-11.142021	90.682648	2.153126
10759.674066	-10.791349	89.221512	2.620689
10759.677375	-10.849795	88.169495	1.919342
10759.680676	-10.849795	87.234367	3.029808
10759.684021	-10.265342	86.007019	2.854469
10759.687343	-11.142021	85.422569	3.789597
10759.690246	-10.557569	84.370552	3.380482
10759.693579	-10.616014	82.909416	4.958500
10759.696912	-10.382233	82.266510	5.192284
