time (s)	det(V)
10759.300511	0.200818	
10759.302125	0.261230	
10759.303812	0.320398	
10759.305386	0.377270	
10759.307091	0.424933	
10759.308652	0.486828	
10759.310340	0.537754	
10759.311897	0.588644	
10759.313592	0.645991	
10759.315150	0.700245	
10759.316861	0.745024	
10759.318374	0.801666	
10759.320137	0.853994	
10759.321633	0.899711	
10759.323411	0.947527	
10759.324890	1.012343	
10759.326656	1.055386	
10759.328140	1.099866	
10759.329937	1.153781	
10759.331413	1.202693	
10759.333178	1.234710	
10759.334668	1.278321	
10759.336423	1.324010	
10759.337932	1.362743	
10759.339496	1.403058	
10759.341073	1.444429	
10759.342578	1.481727	
10759.344229	1.514441	
10759.345718	1.547880	
10759.347352	1.581464	
10759.348877	1.610448	
10759.350523	1.623564	
10759.351999	1.634634	
10759.353635	1.634702	
10759.355107	1.634646	
10759.356754	1.634674	
10759.358238	1.634706	
10759.359953	1.634730	
10759.361448	1.634650	
10759.363136	1.634739	
10759.364642	1.634686	
10759.366299	1.634847	
10759.367823	1.634630	
10759.369468	1.634807	
10759.371017	1.634630	
10759.372705	1.634847	
10759.374268	1.634549	
10759.375943	1.634807	
10759.377511	1.634521	
10759.379166	1.634819	
10759.380768	1.634630	
10759.382418	1.634936	
10759.384016	1.634602	
10759.385659	1.631790	
10759.387279	1.597726	
10759.388904	1.563502	
10759.390574	1.528331	
10759.392154	1.503866	
10759.393804	1.459394	
10759.395371	1.427530	
10759.397050	1.389511	
10759.398622	1.351955	
10759.400333	1.301951	
10759.401889	1.268065	
10759.403600	1.232052	
10759.405161	1.192014	
10759.406869	1.148009	
10759.408386	1.119516	
10759.410137	1.071918	
10759.411636	1.031824	
10759.413400	0.990373	
10759.414895	0.956648	
10759.416695	0.904879	
10759.418177	0.874107	
10759.419972	0.837260	
10759.421450	0.799986	
10759.423221	0.759497	
10759.424698	0.738022	
10759.426429	0.698303	
10759.427930	0.665811	
10759.429693	0.636203	
10759.431202	0.605728	
10759.432955	0.572039	
10759.434480	0.545763	
10759.436184	0.519373	
10759.437716	0.494800	
10759.439419	0.469483	
10759.440973	0.446247	
10759.442654	0.429058	
10759.444228	0.410403	
10759.445889	0.389657	
10759.447463	0.370434	
10759.449118	0.349044	
10759.450716	0.326816	
10759.452242	0.315762	
10759.453896	0.298343	
10759.455377	0.282061	
10759.457025	0.265376	
10759.458499	0.263676	
10759.460135	0.241278	
10759.461620	0.231018	
10759.463262	0.219412	
10759.464744	0.208439	
10759.466427	0.191383	
10759.467930	0.184898	
10759.469571	0.176064	
10759.471117	0.165969	
10759.472739	0.156917	
10759.474306	0.148051	
10759.475891	0.144300	
10759.477475	0.131635	
10759.479142	0.127474	
10759.480729	0.119579	
10759.482375	0.111429	
10759.483983	0.101358	
10759.485622	0.100065	
10759.487250	0.093652	
10759.488860	0.087110	
10759.490541	0.080004	
10759.492148	0.083912	
10759.493811	0.073487	
10759.495409	0.069249	
10759.497055	0.066332	
10759.498634	0.065909	
10759.500322	0.052890	
10759.501866	0.055879	
10759.503574	0.050662	
10759.505114	0.047145	
10759.506836	0.041889	
10759.508341	0.048068	
10759.510071	0.041127	
10759.511562	0.036624	
10759.513332	0.036603	
10759.514814	0.035024	
10759.516583	0.024216	
10759.518067	0.026186	
10759.519851	0.024804	
10759.521330	0.022311	
10759.523083	0.017771	
10759.524581	0.024003	
10759.526321	0.019688	
10759.527850	0.015519	
10759.529588	0.015402	
10759.531113	0.015870	
10759.532821	0.009638	
10759.534364	0.008639	
10759.536070	0.008091	
10759.537627	0.007249	
10759.539303	0.002681	
10759.540882	0.003398	
10759.542546	0.005138	
10759.544136	-0.000195	
10759.545774	0.000465	
10759.547375	0.001529	
10759.549016	-0.000622	
10759.550625	-0.007531	
10759.552233	-0.002467	
10759.553895	-0.004671	
10759.555484	-0.007600	
10759.557158	-0.009831	
10759.558637	0.000127	
10759.560269	-0.005996	
10759.561745	-0.005331	
10759.563376	-0.006435	
10759.564868	-0.004445	
10759.566483	-0.013485	
10759.567989	-0.010387	
10759.569568	-0.010097	
10759.571102	-0.010625	
10759.572713	-0.012405	
10759.574265	-0.011805	
10759.575845	-0.006770	
10759.577445	-0.010564	
10759.578996	-0.010665	
10759.580615	-0.009904	
10759.582143	-0.009219	
10759.583827	-0.016575	
10759.585399	-0.012425	
10759.587080	-0.012885	
10759.588644	-0.013944	
10759.590339	-0.017078	
10759.591893	-0.005605	
10759.593589	-0.012127	
10759.595128	-0.012292	
10759.596832	-0.011503	
10759.598346	-0.007519	
10759.600101	-0.019032	
10759.601581	-0.012405	
10759.603360	-0.012848	
10759.604846	-0.013694	
10759.606621	-0.017421	
10759.608105	-0.007152	
10759.609864	-0.011265	
10759.611355	-0.013263	
10759.613126	-0.011326	
10759.614616	-0.011104	
10759.616373	-0.014818	
10759.617873	-0.013557	
10759.619579	-0.011366	
10759.621110	-0.012381	
10759.622800	-0.013642	
10759.624344	-0.011873	
