crossing time (s)	slope (V/s)	crossing number
10758.252460	37.725233	736
10759.287243	36.066283	737
10760.338184	34.836557	738
10761.391140	34.746400	739
10762.429748	35.761165	740
10763.478178	35.314350	741
10764.519914	35.613505	742
10765.580923	35.795652	743
10766.608874	36.213956	744
10767.661814	35.668163	745
10768.696992	35.212973	746
10769.760679	34.640610	747
10770.797222	35.215177	748
10771.844085	36.277633	749
10772.882599	35.910228	750
10773.936181	34.367261	751
10774.974316	34.304614	752
10776.039139	35.219241	753
10777.063196	35.783409	754
10778.120685	35.193477	755
10779.150584	34.731496	756
10780.217312	34.030205	757
10781.252688	34.449852	758
10782.305101	35.611938	759
10783.336314	35.262639	760
10784.398399	34.193542	761
10785.433164	34.043292	762
10786.490189	34.963451	763
10787.523845	34.989643	764
10788.575832	34.229928	765
10789.620358	34.112765	766
10790.670122	35.074395	767
10791.704286	35.063959	768
10792.755301	34.114022	769
10793.802358	33.876539	770
10794.849831	34.342119	771
10795.891298	34.450969	772
10796.938613	33.979436	773
10797.980864	34.357998	774
10799.033488	34.286931	775
10800.074441	34.563351	776
10801.125411	33.857116	777
10802.156019	33.483697	778
10803.219243	34.065367	779
10804.251702	34.468093	780
10805.307316	34.052362	781
10806.339017	33.504676	782
10807.398584	33.579436	783
10808.435996	34.072920	784
10809.490440	33.882632	785
10810.529341	33.321410	786
10811.581557	33.777491	787
10812.617838	33.497030	788
10813.669519	33.514548	789
10814.712001	33.450000	790
10815.760001	33.499391	791
10816.799252	32.995668	792
10817.851497	33.574590	793
10818.889665	33.519444	794
10819.944473	32.923513	795
10820.977849	33.151830	796
10822.032603	33.061035	797
10823.070216	32.948362	798
10824.132084	33.342394	799
10825.162958	33.446148	800
10826.216626	32.800136	801
10827.251649	32.964716	802
10828.311564	32.754960	803
10829.345930	32.839673	804
10830.402215	32.950635	805
10831.437819	32.633628	806
10832.488261	32.935717	807
10833.530225	32.829572	808
10834.580209	32.772737	809
10835.621254	32.360590	810
10836.671740	32.166647	811
10837.719451	32.370113	812
10838.756775	32.657032	813
10839.803061	32.717852	814
10840.851514	32.126041	815
10841.892491	32.254432	816
10842.945009	32.342096	817
10843.984441	32.284883	818
10845.036895	32.127337	819
10846.077855	32.076704	820
10847.129273	32.006006	821
10848.161185	32.069145	822
10849.219072	32.182096	823
10850.256197	32.004190	824
10851.313613	31.942990	825
10852.349152	32.115079	826
10853.402149	31.790680	827
10854.434376	31.657621	828
10855.496651	31.522411	829
10856.527017	31.521618	830
10857.580571	31.772474	831
10858.622613	31.596038	832
10859.678319	31.587113	833
10860.714847	31.560059	834
10861.765775	31.467748	835
10862.804322	31.367857	836
10863.855483	31.416828	837
10864.898260	31.376036	838
10865.947552	31.147694	839
10866.986328	31.140373	840
10868.034634	31.386959	841
10869.082854	31.054094	842
10870.128626	31.401489	843
10871.170572	31.250868	844
10872.219023	30.937997	845
10873.265207	31.169239	846
10874.311431	30.993495	847
10875.358102	31.000869	848
10876.406906	30.770679	849
10877.445016	31.259979	850
10878.496536	30.750996	851
10879.533558	30.930233	852
10880.588649	30.656056	853
10881.621108	30.584271	854
10882.679681	30.723596	855
10883.712773	30.691245	856
10884.772269	30.428022	857
10885.802217	30.426186	858
10886.864647	30.548709	859
10887.890983	30.488295	860
10888.952101	30.523430	861
10889.988738	30.412480	862
10891.041624	30.275557	863
10892.073273	30.110306	864
10893.136156	30.201837	865
10894.165148	30.276210	866
10895.228991	30.389923	867
10896.261287	30.085438	868
10897.317072	30.282381	869
10898.354886	30.281018	870
10899.407388	30.078286	871
10900.442805	29.968644	872
10901.496312	29.916611	873
10902.527501	29.809548	874
10903.593896	29.862613	875
10904.622595	29.990350	876
10905.681853	29.632825	877
10906.714230	29.697190	878
10907.768497	29.718627	879
10908.807415	29.718122	880
10909.863297	29.825519	881
10910.896742	29.653536	882
10911.950143	29.614856	883
10912.997853	29.668153	884
10914.041679	29.411971	885
10915.085899	29.365012	886
10916.131250	29.225969	887
10917.175082	29.416595	888
10918.219644	29.489496	889
10919.265271	29.398970	890
10920.315001	29.300707	891
10921.355154	29.355123	892
10922.403343	29.305015	893
10923.449890	29.189000	894
10924.496959	29.156793	895
10925.539592	29.057635	896
10926.584999	28.933703	897
10927.626796	29.121976	898
10928.683748	28.910195	899
10929.717429	28.918066	900
10930.770702	28.959737	901
10931.807069	28.864831	902
10932.860318	28.901963	903
10933.902917	28.821985	904
10934.951938	28.834399	905
10935.989525	28.697164	906
10937.045011	28.745900	907
10938.084290	28.337599	908
10939.137120	28.858967	909
10940.172874	28.617985	910
10941.223340	28.545324	911
10942.271068	28.880862	912
10943.313505	28.197333	913
10944.356887	28.651252	914
10945.400852	28.126733	915
10946.448705	28.427433	916
10947.492445	28.897164	917
10948.536771	28.047831	918
10949.590772	29.123156	919
10950.626954	28.659864	920
10951.684850	27.672598	921
10952.720922	28.777524	922
10953.776150	27.955664	923
10954.808637	28.288289	924
10955.864489	27.622247	925
