time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
10759.294751	93.713654	1.687827	0.048189	225
10761.387870	93.495781	1.685721	0.047394	227
10763.480565	93.274406	1.683820	0.047810	229
10765.574230	92.943886	1.681084	0.047073	231
10767.666039	92.688103	1.677504	0.047568	233
10769.758152	92.653427	1.676145	0.046610	235
10771.849548	92.659920	1.676689	0.046905	237
10773.939985	92.844971	1.670511	0.045685	239
10776.031798	92.883194	1.666937	0.045439	241
10778.122532	92.998344	1.664188	0.044642	243
10780.214284	93.050926	1.658909	0.044486	245
10782.305522	93.136154	1.658923	0.043978	247
10784.396375	93.225372	1.657946	0.043797	249
10786.486707	93.439171	1.662465	0.042831	251
10788.575843	93.479485	1.665603	0.042131	253
10790.665248	93.371719	1.667346	0.041783	255
10792.754829	93.144684	1.660240	0.041574	1
10794.846508	93.199364	1.654394	0.041463	3
10796.938917	93.259323	1.650483	0.041158	5
10799.032566	93.317650	1.644477	0.040320	7
10801.125301	93.322914	1.640894	0.039229	9
10803.217421	93.357147	1.636444	0.038634	11
10805.307880	93.401413	1.633061	0.038230	13
10807.398243	93.439438	1.634976	0.037790	15
10809.488229	93.506813	1.635657	0.037120	17
10811.578657	93.496574	1.635594	0.037009	19
10813.669254	93.530060	1.633864	0.036267	21
10815.760121	93.468445	1.630357	0.035986	23
10817.851625	93.496269	1.624967	0.035675	25
10819.943530	93.442101	1.621051	0.035230	27
10822.035395	93.359657	1.618075	0.035155	29
10824.127937	93.170708	1.614703	0.034675	31
10826.219639	92.955612	1.608638	0.034297	33
10828.311102	92.838570	1.610134	0.034320	35
10830.401430	93.022308	1.613888	0.033998	37
10832.490633	93.418251	1.614774	0.033269	39
10834.579907	93.774590	1.610052	0.032707	41
10836.669409	93.935356	1.604832	0.031692	43
10838.759986	93.909393	1.606405	0.030848	45
10840.851654	93.818634	1.602596	0.030362	47
10842.944001	93.698219	1.599470	0.030183	49
10845.036471	93.608810	1.598139	0.029814	51
10847.128846	93.491341	1.601675	0.029536	53
10849.220696	93.444283	1.597362	0.029216	55
10851.312457	93.420647	1.594110	0.028787	57
10853.403450	93.415833	1.591715	0.028241	59
10855.494664	93.508072	1.587360	0.027989	61
10857.585297	93.523430	1.587764	0.027875	63
10859.676242	93.620087	1.585750	0.027384	65
10861.766419	93.664627	1.586234	0.026826	67
10863.856294	93.613403	1.587060	0.026394	69
10865.946085	93.561890	1.588273	0.025848	71
10868.035975	93.383301	1.584682	0.025472	73
10870.126532	93.337013	1.580452	0.025302	75
10872.217862	93.336716	1.573703	0.025257	77
10874.310230	93.424522	1.569959	0.024697	79
10876.403197	93.495834	1.569033	0.024078	81
10878.495939	93.497192	1.565627	0.023537	83
10880.588230	93.522606	1.562282	0.022988	85
10882.679934	93.507202	1.556129	0.022316	87
10884.771119	93.491722	1.554941	0.021913	89
10886.861955	93.469170	1.553783	0.021579	91
10888.952553	93.509041	1.551928	0.021381	93
10891.043225	93.484764	1.552193	0.020962	95
10893.134374	93.417480	1.548167	0.020775	97
10895.225668	93.361160	1.544441	0.020613	99
10897.316967	93.302116	1.544195	0.020168	101
10899.408265	93.189232	1.542808	0.020006	103
10901.499430	93.080009	1.542152	0.019739	105
10903.590557	93.036301	1.542421	0.019186	107
10905.680811	93.165810	1.540536	0.018804	109
10907.770433	93.348671	1.540362	0.018206	111
10909.859976	93.599182	1.540618	0.017837	113
10911.949293	93.730110	1.537090	0.017027	115
10914.039117	93.786209	1.534032	0.016329	117
10916.129702	93.744499	1.532266	0.015740	119
10918.220872	93.662872	1.532663	0.015619	121
10920.312637	93.594925	1.530650	0.015269	123
10922.404420	93.564018	1.527923	0.014986	125
10924.496356	93.558952	1.527000	0.014643	127
10926.587986	93.552597	1.522396	0.014566	129
10928.679685	93.554092	1.521058	0.014212	131
10930.770705	93.541359	1.520032	0.013957	133
10932.861511	93.538574	1.518023	0.013790	135
10934.952282	93.554482	1.516474	0.013227	137
10937.042838	93.498299	1.513926	0.012886	139
10939.133113	93.453148	1.513343	0.012423	141
10941.223219	93.286331	1.510768	0.012218	143
10943.313573	93.227753	1.508660	0.012019	145
10945.403952	93.141335	1.502575	0.011610	147
10947.495145	93.188194	1.499482	0.011239	149
10949.587790	93.211060	1.496546	0.011554	151
10951.680066	93.371391	1.494170	0.010900	153
10953.772418	93.285339	1.493734	0.010330	155
10955.864834	93.393059	1.487063	0.009673	157
