time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5144.433204	90.516060	1.784238	-0.016812	221
5146.525489	90.528030	1.781240	-0.016551	223
5148.618452	90.534729	1.774726	-0.017627	225
5150.710573	90.459549	1.774567	-0.017958	227
5152.801966	90.534897	1.773076	-0.018887	229
5154.893905	90.526566	1.772654	-0.019309	231
5156.984787	90.576782	1.772053	-0.019722	233
5159.075860	90.664627	1.772164	-0.020702	235
5161.166562	90.620049	1.771848	-0.020972	237
5163.256963	90.514206	1.770469	-0.022111	239
5165.346264	90.198875	1.773811	-0.022782	241
5167.436891	89.891289	1.775838	-0.023093	243
5169.526768	89.638672	1.768844	-0.023692	245
5171.618593	89.621902	1.762934	-0.023588	247
5173.711079	89.807114	1.756585	-0.024603	249
5175.804147	90.159027	1.751808	-0.024954	251
5177.897735	90.361893	1.743863	-0.026577	253
5179.990109	90.473480	1.739645	-0.026944	255
5182.081402	90.465240	1.737383	-0.027740	1
5184.172390	90.495117	1.734073	-0.027851	3
5186.262636	90.310509	1.733771	-0.028198	5
5188.353442	90.259567	1.734698	-0.028034	7
5190.444074	90.101707	1.733915	-0.028738	9
5192.534549	90.012344	1.734238	-0.029036	11
5194.626126	90.025002	1.731809	-0.029858	13
5196.717911	89.966881	1.727794	-0.030153	15
5198.809553	89.966232	1.724396	-0.030588	17
5200.901983	89.868935	1.718826	-0.031578	19
5202.993970	89.793945	1.713557	-0.031856	21
5205.085859	89.619591	1.711738	-0.032650	23
5207.176947	89.596504	1.709868	-0.033005	25
5209.267267	89.616478	1.714143	-0.033282	27
5211.356787	89.758240	1.713778	-0.033677	29
5213.446139	89.782005	1.708508	-0.034465	31
5215.535948	89.685020	1.704932	-0.035313	33
5217.626572	89.506279	1.703581	-0.036234	35
5219.718136	89.457672	1.700898	-0.036738	37
5221.810028	89.403137	1.700340	-0.037032	39
5223.902280	89.426117	1.700526	-0.037054	41
5225.994597	89.475388	1.699656	-0.037778	43
5228.086609	89.520012	1.696236	-0.038252	45
5230.178193	89.507080	1.696563	-0.038445	47
5232.269442	89.649879	1.693255	-0.040790	49
5234.360572	89.613396	1.693638	-0.041367	51
5236.451449	89.498451	1.696311	-0.041213	53
5238.541826	89.447853	1.699146	-0.041630	55
5240.632353	89.232964	1.701710	-0.041779	57
5242.722763	89.011284	1.701699	-0.042345	59
5244.813489	88.872383	1.704921	-0.043065	61
5246.904759	88.915756	1.708573	-0.044044	63
5248.996753	89.132347	1.710052	-0.044303	65
5251.089772	89.379028	1.711348	-0.045045	67
5253.182858	89.581406	1.712846	-0.045414	69
5255.275545	89.695946	1.713536	-0.045718	71
5257.368203	89.826897	1.713286	-0.046785	73
5259.459704	89.872795	1.716498	-0.046798	75
5261.551100	89.873734	1.717902	-0.047006	77
5263.642055	89.866379	1.721953	-0.047445	79
5265.732785	89.779907	1.724048	-0.047754	81
5267.824224	89.777740	1.725570	-0.048301	83
5269.915269	89.703186	1.730094	-0.048283	85
5272.006755	89.729027	1.731813	-0.049351	87
5274.098541	89.729462	1.733832	-0.050433	89
5276.190102	89.746269	1.735153	-0.050653	91
5278.281822	89.644859	1.735665	-0.051545	93
5280.373373	89.625420	1.735967	-0.052350	95
5282.464227	89.551353	1.742633	-0.052099	97
5284.554544	89.662445	1.746849	-0.052254	99
5286.644416	89.665283	1.749065	-0.052266	101
5288.734234	89.680809	1.747049	-0.051937	103
5290.824364	89.561508	1.747634	-0.051905	105
5292.915119	89.394867	1.748217	-0.051953	107
5295.006158	89.307671	1.751595	-0.051770	109
5297.097807	89.250641	1.754351	-0.052134	111
5299.189607	89.348785	1.755980	-0.052791	113
5301.281744	89.334724	1.757320	-0.053417	115
5303.373351	89.400269	1.762403	-0.054061	117
5305.465214	89.492088	1.772084	-0.055244	119
5307.556737	89.495705	1.778941	-0.055668	121
5309.647900	89.474091	1.781449	-0.056192	123
5311.739200	89.437660	1.781738	-0.057027	125
5313.829958	89.327530	1.778091	-0.057178	127
5315.921072	89.146225	1.779260	-0.057490	129
5318.011993	89.084412	1.780255	-0.058186	131
5320.103000	89.052399	1.781891	-0.058797	133
5322.194813	89.136688	1.779286	-0.059740	135
5324.286878	89.308891	1.781756	-0.060564	137
5326.379403	89.491051	1.784023	-0.061009	139
5328.472315	89.746902	1.785347	-0.062116	141
5330.564936	89.839272	1.787629	-0.062300	143
5332.657320	90.002609	1.789537	-0.062910	145
5334.749541	90.140381	1.792671	-0.063642	147
5336.841294	90.211800	1.796112	-0.064190	149
