time (s)	magX	magY	magZ
5144.671810	-13.775570	169.655167	-39.353012
5144.675136	-14.126242	166.031570	-37.073647
5144.678473	-13.249562	162.349503	-34.969612
5144.681806	-13.191116	158.901230	-33.099358
5144.685141	-13.015780	154.985397	-30.819992
5144.688475	-12.139100	152.238449	-29.008184
5144.691808	-11.554646	149.199295	-26.495035
5144.696048	-11.905318	142.185852	-23.338984
5144.699434	-11.671537	139.731155	-22.053188
5144.702747	-10.736412	136.925766	-20.767391
5144.705988	-11.087084	134.003510	-19.423145
5144.709320	-10.327293	131.665695	-17.786678
5144.712251	-9.918177	128.801865	-16.909996
5144.715554	-10.385739	126.171829	-15.565754
5144.718896	-9.976622	123.717133	-14.513741
5144.722248	-9.742840	121.379318	-13.753948
5144.725128	-9.275277	118.573929	-12.526596
5144.728468	-8.807714	116.762131	-12.175922
5144.731797	-8.749269	114.424316	-11.357689
5144.735135	-8.807714	111.794273	-10.071892
5144.738475	-8.632379	109.865570	-9.019875
5144.741828	-8.749269	108.053772	-8.143196
5144.745131	-8.690824	104.956161	-7.091179
5144.748463	-8.106371	103.027481	-6.915844
5144.751806	-8.457043	101.449448	-5.688492
5144.755142	-7.755698	99.403862	-5.513153
5144.758466	-7.638807	98.468735	-4.987144
5144.761792	-7.697253	96.598488	-3.759792
5144.765130	-7.405026	94.494453	-3.467564
5144.768460	-7.931034	93.033318	-1.947987
5144.771821	-7.229691	91.396851	-1.597313
5144.775127	-7.405026	90.461723	-1.305092
5144.778459	-7.054354	88.591469	-1.246643
5144.781795	-6.879018	86.896553	-0.311516
5144.785128	-7.405026	85.844536	0.097603
5144.788458	-6.820573	84.617187	-0.194626
5144.791791	-7.112800	82.922272	0.506718
5144.795129	-6.119228	81.753365	0.565166
5144.799328	-6.703682	78.947990	1.967854
5144.802645	-6.119228	78.129753	1.441845
5144.805972	-6.820573	77.019287	2.376968
5144.809335	-6.060783	76.142609	2.435417
5144.812660	-6.002337	75.675049	2.727642
5144.815603	-6.177674	74.739922	3.136761
5144.818901	-5.768556	73.980133	3.428986
5144.822235	-5.943892	73.220337	3.662766
5144.825127	-6.002337	72.460556	2.493858
5144.828488	-5.885447	71.759209	3.838104
5144.831787	-5.943892	71.057861	3.428986
5144.835122	-5.768556	69.772064	3.779655
5144.838463	-5.300993	69.713623	3.954994
5144.841796	-5.359439	69.246056	3.838104
5144.845126	-5.417884	68.077148	4.364109
5144.848456	-5.359439	67.726479	4.188778
5144.851790	-5.300993	67.083580	5.123901
5144.855123	-5.184103	67.083580	4.130329
5144.858451	-5.184103	66.148460	4.831673
5144.861791	-5.008767	65.388664	4.773232
5144.865118	-5.125657	64.979553	5.416126
5144.868459	-5.067212	64.687317	4.831673
5144.871789	-4.599649	64.219757	4.364109
5144.875123	-4.599649	63.869083	5.357685
5144.878467	-4.950321	63.810635	4.831673
5144.881793	-5.125657	62.817066	6.175919
5144.885120	-4.891876	62.524837	6.000580
5144.888447	-5.008767	61.765049	6.175919
5144.891789	-4.658094	62.174164	6.175919
5144.896409	-4.599649	60.713036	6.234360
5144.899317	-3.722969	60.070133	6.117470
5144.902680	-4.365868	59.602570	6.292809
5144.906048	-4.424313	59.076565	6.234360
5144.908896	-3.898305	59.310345	6.468143
5144.912230	-4.365868	58.609001	6.935703
5144.915553	-4.073641	58.550552	6.117470
5144.918871	-4.365868	57.907658	6.935703
5144.921778	-4.015196	57.673878	7.052597
5144.925115	-3.898305	57.498539	6.526592
5144.928451	-4.132086	57.615429	6.468143
5144.931779	-4.482759	57.790768	6.994152
5144.935115	-2.904734	57.732319	6.526592
5144.938444	-3.547633	57.440094	7.052597
5144.941780	-3.430742	57.264755	7.344826
5144.945121	-4.365868	57.323204	6.877262
5144.948443	-3.722969	56.563412	6.585033
5144.951781	-4.248977	57.089424	7.052597
5144.955117	-4.015196	57.381645	7.052597
5144.958445	-4.132086	57.556988	6.994152
5144.961839	-3.430742	57.615429	6.877262
5144.965108	-4.132086	57.147865	6.760372
5144.968445	-4.248977	57.264755	6.468143
5144.971779	-4.307423	57.790768	5.825245
5144.975110	-4.190532	58.024548	5.649906
5144.978446	-4.307423	57.966099	5.182346
5144.981809	-4.190532	57.673878	6.351254
5144.985109	-4.833431	58.141438	6.526592
5144.988441	-4.541204	58.550552	5.708355
5144.991769	-4.190532	59.018116	5.533016
5144.995106	-4.073641	58.725891	5.649906
5144.999305	-5.008767	59.427235	5.708355
5145.002726	-4.541204	60.362362	5.883690
5145.006057	-4.248977	59.485680	5.357685
5145.008919	-4.599649	60.420803	5.240795
5145.012200	-3.664524	60.245472	5.474575
5145.015531	-4.132086	60.888367	6.292809
5145.018877	-4.599649	60.362362	4.948563
5145.022203	-4.599649	61.765049	4.948563
5145.025141	-4.424313	61.648159	5.182346
5145.028441	-4.833431	62.174164	4.773232
5145.031771	-4.482759	62.524837	5.182346
5145.035109	-4.716540	63.167736	4.831673
5145.038439	-4.365868	63.109291	5.182346
5145.041772	-4.015196	63.635300	4.948563
5145.045101	-5.125657	64.161308	4.597893
5145.048440	-4.774985	64.511986	5.825245
5145.051767	-4.891876	64.979553	5.007011
5145.055120	-4.833431	65.505554	5.357685
5145.058435	-5.300993	65.856224	4.480999
5145.061769	-5.300993	66.791351	4.656342
5145.065101	-5.242548	67.025131	4.480999
5145.068472	-5.359439	67.492699	4.188778
5145.071769	-4.658094	68.544716	4.130329
5145.075099	-4.716540	69.362946	3.662766
5145.078428	-5.359439	69.772064	2.961422
5145.081764	-5.008767	71.174759	2.552307
5145.085094	-4.424313	71.700760	3.195202
5145.088429	-4.833431	72.635887	2.610752
5145.091766	-4.774985	73.512566	1.032730
5145.095958	-4.658094	75.441269	2.143188
5145.099359	-5.125657	76.201057	1.734074
5145.102734	-5.359439	77.136177	0.915840
5145.105943	-6.236119	78.655762	1.324951
5145.108862	-5.593220	79.298660	0.448277
5145.112189	-5.885447	80.642899	0.740498
5145.115518	-5.885447	81.811806	0.097603
5145.118870	-6.236119	83.389832	-0.486851
5145.121760	-5.593220	84.441849	-1.305092
5145.125100	-5.943892	86.312103	-1.129749
5145.128429	-6.060783	87.071892	-1.538872
5145.131758	-5.651666	88.766808	-1.246643
5145.135096	-6.060783	89.760376	-2.707779
5145.138425	-6.469900	91.338402	-3.467564
5145.141818	-6.002337	92.857986	-3.759792
5145.145091	-6.060783	94.903564	-4.461140
5145.148431	-5.710111	95.838692	-4.811810
5145.151759	-6.002337	97.592056	-5.688492
5145.155129	-6.119228	99.228523	-6.506725
5145.158425	-6.469900	100.806549	-7.208069
5145.161763	-5.885447	102.910583	-8.260086
5145.165095	-6.411455	104.313271	-9.370548
5145.168421	-7.463471	105.832855	-9.779663
5145.171758	-6.586791	107.761543	-9.838108
5145.175094	-6.937464	109.573357	-9.721218
5145.178426	-6.645236	112.261833	-10.890125
5145.181750	-6.995909	113.722969	-11.708359
5145.185090	-6.879018	116.002335	-12.760376
5145.188424	-6.995909	117.872589	-13.753948
5145.192672	-7.171245	123.775566	-16.208652
5145.196024	-7.521916	125.996498	-17.669788
5145.199319	-7.054354	128.392761	-18.721802
5145.202599	-8.047925	130.847458	-19.832264
5145.205521	-8.223261	133.535950	-21.234951
5145.208850	-8.573934	137.159546	-23.455877
5145.212176	-8.515488	139.672714	-24.624784
5145.215505	-8.281707	142.653427	-26.085918
5145.218420	-8.983051	146.218582	-27.722387
5145.221753	-8.924605	149.608429	-30.469320
5145.225085	-9.333723	153.232025	-32.514908
5145.228414	-9.333723	156.680313	-34.852722
5145.231776	-9.567504	160.946808	-37.365871
5145.235084	-10.268848	164.278198	-39.528351
5145.238412	-10.035067	168.427826	-42.567505
5145.241790	-10.210402	172.402115	-44.671539
5145.245085	-10.268848	176.727066	-48.119816
5145.248423	-10.911748	180.935120	-50.516075
5145.251748	-10.502629	185.727646	-53.379898
5145.255082	-10.853303	190.520172	-57.938637
5145.258414	-11.496202	194.786682	-62.088257
5145.261752	-11.905318	199.637650	-65.244301
5145.265077	-11.788428	204.254822	-68.984810
5145.268417	-11.613091	208.287552	-73.192871
5145.271748	-12.139100	214.658096	-77.167160
5145.275077	-12.372881	220.151947	-81.667450
5145.278411	-12.255991	224.593811	-85.992401
5145.281745	-12.898890	230.204559	-90.784927
5145.285090	-12.548217	235.581543	-96.161896
5145.289333	-13.249562	247.270615	-107.091171
