crossing time (s)	slope (V/s)	crossing number
5144.435098	39.517353	2269
5145.479968	41.652269	2270
5146.520927	41.287828	2271
5147.561835	39.558969	2272
5148.617747	41.367569	2273
5149.658732	41.577102	2274
5150.712057	40.576867	2275
5151.746710	40.969719	2276
5152.801447	39.708930	2277
5153.843684	39.765093	2278
5154.899711	41.919464	2279
5155.925730	41.331799	2280
5156.982677	40.033182	2281
5158.022689	40.276616	2282
5159.075548	39.806169	2283
5160.112324	39.929963	2284
5161.168618	41.272123	2285
5162.200960	39.929641	2286
5163.259157	39.405015	2287
5164.301415	40.973842	2288
5165.336482	39.753349	2289
5166.392902	39.183017	2290
5167.440818	40.902809	2291
5168.479477	40.497711	2292
5169.521511	39.587924	2293
5170.573486	39.075632	2294
5171.617392	39.635450	2295
5172.665248	39.957739	2296
5173.710619	39.315007	2297
5174.757789	40.205910	2298
5175.801415	39.533321	2299
5176.845093	39.098586	2300
5177.901656	39.480509	2301
5178.926244	38.969332	2302
5179.991270	39.615037	2303
5181.023351	39.131720	2304
5182.077112	39.517342	2305
5183.113152	39.248218	2306
5184.169072	38.648224	2307
5185.205561	38.983815	2308
5186.258752	39.450169	2309
5187.302779	38.564646	2310
5188.357146	39.321446	2311
5189.393264	39.038787	2312
5190.448103	37.935303	2313
5191.489476	39.524470	2314
5192.529411	39.292844	2315
5193.570468	38.228279	2316
5194.626330	38.808213	2317
5195.661003	38.987211	2318
5196.716104	37.953646	2319
5197.760922	38.516063	2320
5198.808853	38.373418	2321
5199.843513	37.663937	2322
5200.903962	38.410851	2323
5201.936642	38.724383	2324
5202.995013	37.878890	2325
5204.031620	37.961584	2326
5205.085522	37.605970	2327
5206.116678	38.021102	2328
5207.179696	37.920124	2329
5208.210938	37.603653	2330
5209.269140	38.068614	2331
5210.300099	37.471447	2332
5211.356915	38.015099	2333
5212.397849	37.939632	2334
5213.447816	37.187837	2335
5214.489506	37.757959	2336
5215.537782	37.494128	2337
5216.582950	37.090396	2338
5217.624612	37.136825	2339
5218.671933	37.137404	2340
5219.718146	37.337749	2341
5220.770501	37.054183	2342
5221.809321	37.100113	2343
5222.861017	37.243262	2344
5223.900903	36.967205	2345
5224.947057	37.270631	2346
5225.995207	37.279654	2347
5227.037110	36.982043	2348
5228.086340	36.739376	2349
5229.124200	37.124250	2350
5230.179672	36.437999	2351
5231.217926	37.130210	2352
5232.269017	36.565087	2353
5233.309725	37.026688	2354
5234.360235	36.823150	2355
5235.395891	37.577655	2356
5236.451971	36.438969	2357
5237.492247	37.305388	2358
5238.537948	36.584034	2359
5239.581607	37.353057	2360
5240.630648	37.379906	2361
5241.675640	37.342442	2362
5242.721089	36.942167	2363
5243.768487	37.536558	2364
5244.812645	37.636796	2365
5245.860655	37.597532	2366
5246.903042	37.470051	2367
5247.951594	37.547828	2368
5248.991273	37.492212	2369
5250.041103	37.301033	2370
5251.092873	37.378720	2371
5252.127240	37.704344	2372
5253.183992	37.519013	2373
5254.216671	38.238152	2374
5255.273322	37.527008	2375
5256.307224	38.102317	2376
5257.372847	37.601842	2377
5258.399007	38.503198	2378
5259.457375	37.567256	2379
5260.492429	38.239963	2380
5261.551730	37.703608	2381
5262.582882	38.535499	2382
5263.642918	37.945797	2383
5264.678364	38.635493	2384
5265.728435	37.758255	2385
5266.766871	38.351561	2386
5267.829432	37.934387	2387
5268.862454	38.822643	2388
5269.913092	37.839334	2389
5270.950868	38.571998	2390
5272.005758	38.251824	2391
5273.041181	38.803549	2392
5274.101635	38.504874	2393
5275.130157	38.924890	2394
5276.188916	38.301180	2395
5277.226868	39.144810	2396
5278.281156	38.380126	2397
5279.314989	39.308921	2398
5280.378445	38.652180	2399
5281.404223	39.091163	2400
5282.464433	38.963854	2401
5283.500178	39.275846	2402
5284.553162	39.096815	2403
5285.589843	39.419427	2404
5286.641572	38.933568	2405
5287.687359	39.244998	2406
5288.731632	39.059636	2407
5289.775976	39.110587	2408
5290.820807	39.294493	2409
5291.870293	39.576644	2410
5292.920625	39.451994	2411
5293.960594	39.451773	2412
5295.007151	39.455232	2413
5296.054459	39.735377	2414
5297.100058	39.881922	2415
5298.138246	39.797589	2416
5299.187343	39.688724	2417
5300.233583	39.843587	2418
5301.285003	39.729213	2419
5302.324543	40.022407	2420
5303.368399	39.706912	2421
5304.415235	39.938638	2422
5305.464762	40.071051	2423
5306.510688	40.244789	2424
5307.557031	39.775761	2425
5308.597451	40.359715	2426
5309.643708	39.782126	2427
5310.690613	40.117052	2428
5311.741864	40.102847	2429
5312.777148	40.325921	2430
5313.824645	40.156244	2431
5314.872955	40.715125	2432
5315.924934	40.473147	2433
5316.966919	40.728429	2434
5318.012968	40.520955	2435
5319.059923	40.605867	2436
5320.097275	40.718476	2437
5321.142817	40.058012	2438
5322.196230	40.746318	2439
5323.241075	40.665844	2440
5324.286964	40.409363	2441
5325.328774	40.718413	2442
5326.376694	40.580040	2443
5327.425257	40.682547	2444
5328.476879	40.800598	2445
5329.505927	41.154879	2446
5330.567703	40.827523	2447
5331.601443	41.299672	2448
5332.655390	41.107237	2449
5333.693863	41.137178	2450
5334.748857	41.375964	2451
5335.783684	41.428440	2452
5336.841462	41.083293	2453
5337.878414	41.747521	2454
5338.937276	41.470217	2455
