time (s)	coil I (A)	last det (V)	int current (uC)
5230.203864	1.479104	0.837599	633.056519
5230.204827	1.887330	0.837599	2450.555664
5230.205888	1.832296	0.837599	4394.622070
5230.206823	1.773190	0.837599	6052.554687
5230.207699	1.719499	0.837599	7558.835937
5230.208764	1.660994	0.837599	9327.793945
5230.209768	1.606545	0.837599	10940.765625
5230.210672	0.736351	0.837599	11606.426758
5230.211649	0.091157	0.837599	11695.487305
5230.212695	0.090608	0.837599	11790.263672
5230.213610	0.090498	0.837599	11873.069336
5230.214521	0.090538	0.837599	11955.549805
5230.215385	0.090560	0.837599	12033.793945
5230.216421	0.090443	0.837599	12127.493164
5230.217300	0.090553	0.837599	12207.088867
5230.218169	0.090553	0.837599	12285.779297
5230.219160	0.090487	0.837599	12375.452148
5230.220083	0.090458	0.837599	12458.944336
5231.241157	1.455568	0.881701	622.982910
5231.242191	1.885060	0.881701	2572.134766
5231.243166	1.833267	0.881701	4359.569824
5231.244088	1.775431	0.881701	5996.517090
5231.244955	1.720247	0.881701	7487.970703
5231.246078	1.660877	0.881701	9353.134766
5231.246967	1.612665	0.881701	10786.793945
5231.247834	0.964512	0.881701	11623.025391
5231.248869	0.091729	0.881701	11717.964844
5231.249849	0.090505	0.881701	11806.660156
5231.250720	0.090417	0.881701	11885.414062
5231.251577	0.090465	0.881701	11962.942383
5231.252700	0.090524	0.881701	12064.600586
5231.253598	0.090494	0.881701	12145.864258
5231.254459	0.090542	0.881701	12223.821289
5231.255558	0.090557	0.881701	12323.342773
5231.256515	0.090505	0.881701	12409.956055
5231.257385	0.090472	0.881701	12488.666992
5232.295445	1.519977	0.843081	781.268066
5232.296407	1.886338	0.843081	2595.925049
5232.297271	1.840052	0.843081	4185.730469
5232.298389	1.769377	0.843081	6163.894531
5232.299428	1.707418	0.843081	7937.902344
5232.300323	1.656658	0.843081	9420.611328
5232.301277	1.606589	0.843081	10953.297852
5232.302356	0.482600	0.843081	11474.023437
5232.303296	0.090439	0.843081	11559.036133
5232.304155	0.090575	0.843081	11636.839844
5232.305216	0.090597	0.843081	11732.962891
5232.306213	0.090498	0.843081	11823.189453
5232.307090	0.090450	0.843081	11902.514648
5232.308067	0.090626	0.843081	11991.056641
5232.309113	0.090667	0.843081	12085.893555
5232.310023	0.090568	0.843081	12168.310547
5232.310880	0.090612	0.843081	12245.964844
5232.311957	0.090670	0.843081	12343.616211
5233.331636	1.433972	0.842279	600.834290
5233.332696	1.886041	0.842279	2600.037842
5233.333577	1.838599	0.842279	4219.843262
5233.334456	1.782817	0.842279	5786.939453
5233.335413	1.725103	0.842279	7437.862305
5233.336391	1.668325	0.842279	9069.484375
5233.337319	1.619689	0.842279	10572.555664
5233.338200	1.161793	0.842279	11596.095703
5233.339252	0.094508	0.842279	11695.518555
5233.340151	0.090568	0.842279	11776.938477
5233.341025	0.090538	0.842279	11856.069336
5233.341934	0.090619	0.842279	11938.442383
5233.342955	0.090538	0.842279	12030.881836
5233.343839	0.090564	0.842279	12110.940430
5233.344695	0.090601	0.842279	12188.494141
5233.345789	0.090590	0.842279	12287.599609
5233.346670	0.090553	0.842279	12367.376953
5233.347547	0.090619	0.842279	12446.849609
5234.386882	1.442014	0.867009	612.856018
5234.387864	1.886235	0.867009	2465.139160
5234.388918	1.832827	0.867009	4396.938965
5234.389830	1.774449	0.867009	6015.236816
5234.390693	1.720514	0.867009	7500.040039
5234.391790	1.660415	0.867009	9321.515625
5234.392794	1.606666	0.867009	10934.608398
5234.393679	0.770277	0.867009	11616.303711
5234.394673	0.091238	0.867009	11706.994141
5234.395718	0.090663	0.867009	11801.736328
5234.396602	0.090531	0.867009	11881.765625
5234.397473	0.090619	0.867009	11960.694336
5234.398564	0.090670	0.867009	12059.615234
5234.399540	0.090535	0.867009	12147.977539
5234.400405	0.090491	0.867009	12226.251953
5234.401452	0.090601	0.867009	12321.110352
5234.402501	0.090604	0.867009	12416.154297
5234.403390	0.090560	0.867009	12496.662109
5235.423677	1.435455	0.864709	610.068481
5235.424722	1.885027	0.864709	2579.921387
5235.425757	1.830000	0.864709	4473.971680
5235.426647	1.773135	0.864709	6052.061523
5235.427583	1.716599	0.864709	7658.798340
5235.428648	1.656149	0.864709	9422.596680
5235.429591	1.606157	0.864709	10937.203125
5235.430458	0.791649	0.864709	11623.562500
5235.431493	0.090747	0.864709	11717.485352
5235.432512	0.090509	0.864709	11809.713867
5235.433402	0.090491	0.864709	11890.250977
5235.434359	0.090560	0.864709	11976.916992
5235.435417	0.090641	0.864709	12072.815430
5235.436342	0.090564	0.864709	12156.586914
5235.437207	0.090564	0.864709	12234.924805
5235.438295	0.090656	0.864709	12333.557617
5235.439297	0.090531	0.864709	12424.269531
5235.440188	0.090553	0.864709	12504.952148
5236.477369	1.430966	0.859069	601.005554
5236.478274	1.887356	0.859069	2309.062744
5236.479274	1.839360	0.859069	4148.422852
5236.480207	1.780778	0.859069	5809.888184
5236.481090	1.727574	0.859069	7335.336426
5236.482088	1.670691	0.859069	9002.685547
5236.483007	1.619963	0.859069	10491.431641
5236.483893	1.225917	0.859069	11577.593750
5236.484906	0.106809	0.859069	11685.791016
5236.485885	0.090461	0.859069	11774.352539
5236.486775	0.090505	0.859069	11854.902344
