time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
975.885769	89.831093	1.937202	0.004406	159
977.974322	89.927338	1.931927	0.001973	161
980.062806	89.922920	1.929163	0.000465	163
982.151596	90.113060	1.923942	-0.001308	165
984.240242	90.233238	1.924348	-0.003601	167
986.327755	90.055038	1.927825	-0.005902	169
988.415116	89.810837	1.924517	-0.008049	171
990.502985	89.716057	1.923105	-0.009248	173
992.591732	89.845634	1.917310	-0.010724	175
994.681033	90.309006	1.908536	-0.012461	177
996.769171	90.226379	1.910261	-0.015371	179
998.856312	89.844772	1.907264	-0.017373	181
1000.943984	89.708611	1.902123	-0.018402	183
1003.032791	89.813583	1.896158	-0.019027	185
1005.121970	90.201721	1.889549	-0.020853	187
1007.210430	90.301338	1.890026	-0.023232	189
1009.298407	90.142967	1.889669	-0.025330	191
1011.385948	89.897820	1.888299	-0.027101	193
1013.473676	89.830536	1.882907	-0.028727	195
1015.561572	89.861763	1.877603	-0.030487	197
1017.649612	89.884903	1.875222	-0.032290	199
1019.737611	89.888268	1.872019	-0.033935	201
1021.826239	89.872475	1.867949	-0.036080	203
1023.914846	89.786209	1.865883	-0.037880	205
1026.003375	89.858887	1.860900	-0.039669	207
1028.091904	89.835793	1.857002	-0.041554	209
1030.180034	89.898216	1.854490	-0.043643	211
1032.267009	89.828163	1.857705	-0.044860	213
1034.353965	89.962280	1.861323	-0.045932	215
1036.442144	90.051559	1.851027	-0.048971	217
1038.531357	89.833344	1.845230	-0.050710	219
1040.620131	89.792053	1.843146	-0.051970	221
1042.708735	89.749466	1.837281	-0.053754	223
1044.796518	89.754082	1.833878	-0.055226	225
1046.884082	89.714127	1.837114	-0.056819	227
1048.971308	89.668915	1.839429	-0.058639	229
1051.059163	89.702911	1.837065	-0.060817	231
1053.147247	89.693161	1.830130	-0.062252	233
1055.235413	89.612846	1.827394	-0.064072	235
1057.323364	68.199471	1.713050	-0.100000	237
1059.411490	89.481178	1.823349	-0.067247	239
1061.499571	89.594833	1.829691	-0.069614	241
1063.587689	89.424538	1.834418	-0.070740	243
1065.675736	89.302971	1.835340	-0.071964	245
1067.764080	89.336182	1.827068	-0.073482	247
1069.852800	86.490578	1.789943	-0.100000	249
1071.941596	91.403076	1.791209	-0.100000	251
1074.029951	87.583084	1.792307	-0.100000	253
1076.117699	91.102707	1.794566	-0.100000	255
1078.204991	69.669144	1.798365	-0.100000	1
1080.292273	88.969627	1.816137	-0.083223	3
1082.379931	88.783310	1.812192	-0.084381	5
1084.468181	86.783844	1.791821	-0.100000	7
1086.556828	88.906288	1.804541	-0.086728	9
1088.645468	66.291733	1.784173	-0.100000	11
1090.733784	98.700211	1.756858	-0.100000	13
1092.822137	93.220634	1.761498	-0.100000	15
1094.910335	101.105759	1.744496	-0.100000	17
1096.998440	93.467812	1.758334	-0.100000	19
1099.086410	66.926735	1.769444	-0.100000	21
1101.174411	67.769524	1.761323	-0.100000	23
1103.262190	86.797348	1.756010	-0.100000	25
1105.350022	73.872375	1.755959	-0.100000	27
1107.437577	79.275177	1.755252	-0.100000	29
1109.525254	68.858597	1.765444	-0.100000	31
1111.612525	65.523285	1.757169	-0.100000	33
1113.700091	86.781075	1.756178	-0.100000	35
1115.788382	78.592003	1.733310	-0.100000	37
1117.876950	264.957489	1.681758	0.100000	39
1119.965563	85.902473	1.718946	-0.100000	41
1122.054306	259.870117	1.715933	0.100000	43
1124.142419	86.067970	1.730476	-0.100000	45
1126.230518	256.347534	1.778155	0.100000	47
1128.318194	255.792770	1.671004	0.100000	49
1130.406017	69.254593	1.726756	-0.100000	51
1132.493586	72.594612	1.744293	-0.100000	53
1134.581258	87.081543	1.748137	-0.100000	55
1136.669131	75.597969	1.703563	-0.100000	57
1138.757094	91.921822	1.702856	-0.100000	59
1140.845413	73.585800	1.703621	-0.100000	61
1142.933511	71.989548	1.695952	-0.100000	63
1145.021935	81.285477	1.697238	-0.100000	65
1147.110205	86.796272	1.730557	-0.100000	67
1149.198393	86.794830	1.723509	-0.100000	69
1151.286366	71.429039	1.682014	-0.100000	71
1153.374069	86.402367	1.727250	-0.100000	73
1155.461565	69.893761	1.688490	-0.100000	75
1157.548934	85.630852	1.724231	-0.100000	77
1159.636402	85.446777	1.721923	-0.100000	79
1161.724062	85.293030	1.721879	-0.100000	81
1163.812167	90.284920	1.676813	-0.100000	83
1165.900395	68.343109	1.675514	-0.100000	85
1167.988635	85.063164	1.710249	-0.100000	87
1170.076993	85.008690	1.706310	-0.100000	89
1172.165263	69.819374	1.671780	-0.100000	91
1174.253249	84.880074	1.700305	-0.100000	93
1176.341208	84.731735	1.690225	-0.100000	95
1178.429085	84.447067	1.683110	-0.100000	97
1180.516745	73.944107	0.871551	-0.100000	99
1183.419705	91.304321	4.956208	0.100000	101
1188.808754	80.994568	1.031018	-0.100000	103
1191.561258	90.022316	2.034446	-0.025410	105
1193.649346	90.287094	1.974740	-0.027473	107
1195.738415	90.311638	1.970530	-0.030075	109
1197.826809	90.206314	1.970240	-0.031486	111
1199.914456	90.226830	1.973009	-0.032574	113
1202.002377	90.178665	1.967401	-0.034635	115
1204.090656	90.248314	1.969615	-0.036423	117
1206.179347	90.149757	1.968753	-0.038951	119
