time (s)	det(V)
975.301408	-0.001934	
975.302918	-0.000842	
975.304641	0.001007	
975.306163	-0.010461	
975.307862	-0.003988	
975.309402	-0.003408	
975.310900	-0.005277	
975.312554	-0.007203	
975.314045	0.005301	
975.315664	-0.002147	
975.317193	-0.003110	
975.318832	-0.000757	
975.320306	0.000463	
975.321938	-0.003501	
975.323427	-0.006308	
975.325120	-0.001724	
975.326609	-0.004278	
975.328299	-0.004242	
975.329789	-0.005982	
975.331473	0.003734	
975.332988	-0.001285	
975.334666	-0.001869	
975.336187	0.000810	
975.337903	0.003480	
975.339441	-0.009990	
975.341117	-0.003102	
975.342669	-0.002292	
975.344346	-0.003335	
975.345918	-0.008588	
975.347568	0.005056	
975.349169	0.000169	
975.350830	-0.001515	
975.352421	0.001176	
975.354060	0.004983	
975.355671	-0.009531	
975.357306	-0.002373	
975.358950	-0.001680	
975.360547	-0.002727	
975.362228	-0.005422	
975.363812	0.002441	
975.365461	-0.000270	
975.367042	-0.001499	
975.368712	0.002481	
975.370272	0.001071	
975.371956	-0.003186	
975.373501	-0.004894	
975.375221	-0.001076	
975.376728	-0.003307	
975.378471	-0.003767	
975.379960	-0.002602	
975.381715	0.002260	
975.383209	-0.000838	
975.385001	0.001656	
975.386480	0.001293	
975.388259	0.001023	
975.389735	-0.005325	
975.391507	-0.002381	
975.392994	-0.001410	
975.394732	-0.003984	
975.396243	-0.005466	
975.397954	0.006163	
975.399491	0.000536	
975.401179	0.000016	
975.402722	0.003263	
975.404414	0.004830	
975.405975	-0.009144	
975.407658	-0.000729	
975.409261	-0.000077	
975.410739	-0.001410	
975.412359	-0.004520	
975.413875	0.005636	
975.415516	0.001184	
975.416999	0.000544	
975.418632	0.001486	
975.420111	0.003670	
975.421748	0.001470	
975.423229	-0.004919	
975.424865	-0.000214	
975.426373	-0.001108	
975.428060	-0.002699	
975.429578	-0.004697	
975.431195	0.006514	
975.432744	0.002719	
975.434372	0.001261	
975.435936	0.002876	
975.437591	0.006904	
975.439165	-0.007215	
975.440807	-0.000866	
975.442403	0.000882	
975.444015	-0.001116	
975.445639	-0.000773	
975.447238	0.004346	
975.448915	0.001893	
975.450511	0.001813	
975.452153	0.004161	
975.453737	0.003460	
975.455393	-0.001003	
975.456963	-0.001909	
975.458678	0.001511	
975.460215	0.000125	
975.461924	-0.001458	
975.463444	0.001446	
975.465155	0.004911	
975.466654	0.002397	
975.468418	0.003662	
975.469909	0.005660	
975.471677	0.003529	
975.473157	-0.003033	
975.474925	0.001793	
975.476406	0.000475	
975.478175	-0.001325	
975.479663	0.000729	
975.481396	0.007686	
975.482911	0.002477	
975.484620	0.002941	
975.486154	0.005269	
975.487882	0.007493	
975.489418	-0.004959	
975.491103	0.002518	
975.492650	0.001164	
975.494317	0.000282	
975.495887	-0.003899	
975.497545	0.010095	
975.499133	0.004141	
975.500786	0.003541	
975.502395	0.005434	
975.504026	0.009910	
975.505640	-0.004745	
975.507248	0.002550	
975.508888	0.003065	
975.510385	0.002087	
975.512034	0.001136	
975.513510	0.004193	
975.515151	0.007005	
975.516632	0.003541	
975.518271	0.006119	
975.519753	0.007271	
975.521359	0.007384	
975.522891	-0.002006	
975.524456	0.003416	
975.526032	0.003911	
975.527629	0.001680	
975.529209	-0.000052	
975.530770	0.009918	
975.532374	0.005837	
975.533906	0.005120	
975.535580	0.006876	
975.537179	0.008194	
975.538836	0.000479	
975.540422	0.002961	
975.542078	0.004584	
975.543648	0.003525	
975.545340	0.003162	
975.546880	0.005334	
975.548585	0.008721	
975.550111	0.006099	
975.551822	0.007726	
975.553322	0.007952	
975.555050	0.007517	
975.556550	0.001144	
975.558339	0.005535	
975.559816	0.005571	
975.561613	0.003279	
975.563097	0.004189	
975.564844	0.011150	
975.566340	0.007070	
975.568086	0.007485	
975.569592	0.009056	
975.571335	0.010832	
975.572861	0.000645	
975.574606	0.006631	
975.576130	0.005716	
975.577832	0.004488	
975.579373	0.002304	
975.581059	0.014373	
975.582620	0.009668	
975.584298	0.008258	
975.585886	0.009974	
975.587553	0.015392	
975.589137	-0.002199	
975.590789	0.006449	
975.592373	0.007307	
975.594002	0.006474	
975.595619	0.006691	
975.597219	0.011058	
975.598887	0.009748	
975.600468	0.009023	
975.602164	0.010417	
975.603751	0.010949	
975.605395	0.005265	
975.606961	0.006957	
975.608666	0.008024	
975.610147	0.007847	
975.611723	0.005104	
975.613209	0.005966	
975.614836	0.013241	
975.616338	0.009797	
975.617933	0.009442	
975.619464	0.010880	
975.621017	0.014244	
975.622608	-0.001071	
975.624182	0.006486	
975.625802	0.006836	
975.627354	0.004979	
975.628992	0.004786	
975.630512	0.009974	
975.632186	0.010417	
975.633666	0.008568	
975.635360	0.010147	
975.636840	0.009720	
975.638549	0.005688	
975.640085	0.003895	
975.641812	0.006703	
975.643321	0.004810	
975.645095	0.002727	
975.646572	0.006409	
975.648369	0.009277	
975.649856	0.005732	
975.651611	0.006405	
975.653095	0.005571	
975.654866	0.004367	
975.656358	-0.002312	
975.658108	0.002622	
975.659607	0.001241	
975.661364	-0.001446	
975.662885	-0.003621	
975.664616	0.006582	
975.666136	0.001229	
975.667843	-0.000455	
975.669382	-0.000379	
975.671075	0.002296	
975.672637	-0.011046	
975.674321	-0.006059	
975.675889	-0.007050	
975.677547	-0.008375	
975.679140	-0.013841	
975.680810	-0.004677	
975.682411	-0.008826	
975.684039	-0.011992	
975.685649	-0.012053	
975.687286	-0.010651	
975.688899	-0.023223	
975.690499	-0.020681	
975.692156	-0.021302	
975.693757	-0.025097	
975.695449	-0.027397	
975.697009	-0.025310	
975.698695	-0.028174	
975.700259	-0.032952	
975.701964	-0.034055	
975.703518	-0.035800	
975.705210	-0.042680	
975.706767	-0.046652	
975.708480	-0.048948	
975.709964	-0.053834	
975.711604	-0.057883	
975.713088	-0.061770	
975.714699	-0.058121	
975.716228	-0.067120	
975.717790	-0.070955	
975.719357	-0.074536	
975.720855	-0.076316	
975.722477	-0.095955	
975.724033	-0.094408	
975.725651	-0.099910	
975.727169	-0.108543	
975.728856	-0.116584	
975.730332	-0.119134	
975.732048	-0.126751	
975.733522	-0.136850	
975.735222	-0.143888	
975.736703	-0.150667	
975.738406	-0.164210	
975.739899	-0.177101	
975.741673	-0.184537	
975.743151	-0.196844	
975.744929	-0.211886	
975.746408	-0.222927	
975.748188	-0.230766	
975.749669	-0.247778	
975.751403	-0.263436	
975.752908	-0.276536	
975.754640	-0.293959	
975.756179	-0.319446	
975.757904	-0.333758	
975.759435	-0.351958	
975.761154	-0.373582	
975.762692	-0.398594	
975.764378	-0.403799	
975.765938	-0.429516	
975.767634	-0.455607	
975.769223	-0.478621	
975.770919	-0.500829	
975.772496	-0.543259	
975.774159	-0.564086	
975.775752	-0.593948	
975.777399	-0.626448	
975.778995	-0.659053	
975.780621	-0.686224	
975.782255	-0.722169	
975.783871	-0.757844	
975.785547	-0.793760	
975.787147	-0.827771	
975.788811	-0.875149	
975.790402	-0.909571	
975.792092	-0.948371	
975.793659	-0.989601	
975.795356	-1.031496	
975.796909	-1.066216	
975.798642	-1.109134	
975.800209	-1.149876	
975.801886	-1.190816	
975.803442	-1.225765	
975.805148	-1.264518	
975.806662	-1.305208	
975.808420	-1.341350	
975.809906	-1.376304	
975.811448	-1.411088	
975.812979	-1.443408	
975.814558	-1.464041	
975.816091	-1.497133	
975.817629	-1.524546	
975.819261	-1.547407	
975.820744	-1.564277	
975.822398	-1.596725	
975.823944	-1.605870	
975.825581	-1.615340	
975.827075	-1.620960	
975.828783	-1.621560	
975.830260	-1.621326	
975.831995	-1.621463	
975.833472	-1.621395	
975.835184	-1.621419	
975.836672	-1.617745	
975.838376	-1.598885	
975.839851	-1.587521	
975.841638	-1.557985	
975.843126	-1.533424	
975.844903	-1.504114	
975.846387	-1.471187	
975.848158	-1.424893	
975.849652	-1.390959	
975.851417	-1.343280	
975.852930	-1.297872	
975.854678	-1.246403	
975.856189	-1.210184	
975.857936	-1.148921	
975.859458	-1.094350	
975.861164	-1.034223	
975.862701	-0.981968	
975.864408	-0.900616	
975.865970	-0.846181	
975.867652	-0.778501	
975.869227	-0.711901	
975.870901	-0.635951	
975.872479	-0.585311	
975.874138	-0.506017	
975.875721	-0.436187	
975.877374	-0.373268	
975.878982	-0.305073	
975.880610	-0.222968	
975.882254	-0.153229	
975.883877	-0.084611	
975.885532	-0.008093	
975.887141	0.070427	
975.888830	0.133478	
975.890408	0.209404	
975.892065	0.284351	
975.893638	0.352434	
975.895330	0.421721	
975.896899	0.490903	
975.898568	0.558817	
975.900125	0.626222	
975.901834	0.699764	
975.903350	0.761514	
975.905108	0.823743	
975.906584	0.883040	
975.908358	0.949991	
975.909842	1.004055	
975.911382	1.057176	
975.912934	1.110725	
975.914496	1.170682	
975.916069	1.216287	
975.917602	1.256514	
975.919212	1.301192	
975.920706	1.349040	
975.922351	1.374418	
975.923893	1.418762	
975.925574	1.453168	
975.927074	1.483215	
975.928775	1.513174	
975.930264	1.539596	
975.931987	1.562521	
975.933481	1.578497	
975.935198	1.594675	
975.936687	1.604097	
975.938401	1.609258	
975.939888	1.607723	
975.941659	1.612653	
975.943144	1.609584	
975.944919	1.599678	
975.946401	1.591606	
