time (s)	magX	magY	magZ
4102.322716	-39.257744	-399.836365	-365.361206
4102.326051	-39.023960	-399.894775	-358.639984
4102.329380	-38.614845	-395.862091	-352.152557
4102.332716	-38.848625	-395.277618	-346.015808
4102.336053	-38.790180	-393.816467	-339.645264
4102.339405	-37.562828	-391.829346	-333.099365
4102.342738	-37.679718	-388.848602	-326.904175
4102.346067	-37.445938	-387.387482	-321.118073
4102.349389	-37.095264	-385.634125	-315.858002
4102.352718	-37.679718	-383.471649	-309.545868
4102.356045	-37.036819	-382.010529	-304.227356
4102.359387	-36.978374	-379.146698	-298.675049
4102.362720	-36.627705	-378.386902	-294.174744
4102.366044	-36.510811	-375.347748	-288.739319
4102.369381	-36.686150	-374.354156	-283.128571
4102.372720	-35.984806	-371.782593	-278.394501
4102.376050	-35.984806	-370.555237	-273.251312
4102.379383	-35.867912	-367.574524	-268.809448
4102.382749	-35.984806	-365.821136	-263.958496
4102.386048	-36.335476	-362.898895	-260.159576
4102.389387	-36.393921	-363.132660	-256.009949
4102.392708	-35.926357	-360.327301	-250.808304
4102.396917	-36.160141	-355.417877	-243.210403
4102.400295	-35.984806	-354.833435	-239.762131
4102.403642	-36.101696	-352.378723	-236.313858
4102.406963	-35.692577	-351.443604	-232.807129
4102.410228	-36.160141	-349.339569	-228.599075
4102.413137	-35.692577	-347.527771	-225.793686
4102.416464	-35.926357	-347.060211	-223.163651
4102.419817	-36.277031	-344.196350	-219.598495
4102.423139	-35.692577	-342.793671	-216.559326
4102.426081	-35.283459	-341.157227	-214.046173
4102.429376	-35.751022	-339.462311	-211.474579
4102.432715	-35.692577	-337.416718	-209.253647
4102.436043	-35.751022	-335.838684	-205.396271
4102.439373	-35.575687	-334.962006	-203.526016
4102.442705	-35.341908	-334.611328	-200.954422
4102.446046	-35.283459	-333.208649	-199.142609
4102.449377	-35.108124	-330.695496	-197.213928
4102.452713	-34.874344	-329.643494	-194.876114
4102.456038	-34.932789	-328.766785	-192.304520
4102.459377	-34.582119	-327.890137	-190.200470
4102.462706	-34.406776	-326.195221	-188.973129
4102.466047	-34.231441	-325.552307	-186.576859
