time (s)	coil I (A)	last det (V)	int current (uC)
4104.272404	1.564775	0.840189	754.221741
4104.273299	1.889103	0.840189	2444.968750
4104.274179	1.844527	0.840189	4068.152832
4104.275199	1.782242	0.840189	5886.040039
4104.276122	1.724121	0.840189	7477.403809
4104.277018	1.673862	0.840189	8977.184570
4104.277986	1.621835	0.840189	10547.120117
4104.279026	0.947867	0.840189	11532.902344
4104.279913	0.093182	0.840189	11615.554687
4104.280775	0.090439	0.840189	11693.513672
4104.281858	0.090549	0.840189	11791.578125
4104.282786	0.090502	0.840189	11875.563477
4104.283664	0.090443	0.840189	11954.972656
4104.284627	0.090615	0.840189	12042.235352
4104.285652	0.090516	0.840189	12135.014648
4104.286544	0.090469	0.840189	12215.712891
4104.287405	0.090542	0.840189	12293.669922
4104.288463	0.090516	0.840189	12389.436523
4105.352178	1.493049	0.773496	715.170593
4105.353063	1.889637	0.773496	2387.499756
4105.353934	1.845908	0.773496	3995.285645
4105.354976	1.780543	0.773496	5850.611816
4105.355920	1.723363	0.773496	7477.466797
4105.356800	1.672906	0.773496	8949.624023
4105.357755	1.623061	0.773496	10499.647461
4105.358799	0.977992	0.773496	11520.670898
4105.359691	0.093567	0.773496	11604.132812
4105.360553	0.090483	0.773496	11682.129883
4105.361587	0.090575	0.773496	11775.784180
4105.362538	0.090538	0.773496	11861.885742
4105.363402	0.090546	0.773496	11940.117187
4105.364449	0.090549	0.773496	12034.921875
4105.365472	0.090582	0.773496	12127.587891
4105.366359	0.090542	0.773496	12207.898437
4105.367299	0.090630	0.773496	12293.090820
4105.368359	0.090546	0.773496	12389.069336
4106.365432	1.507397	0.823906	717.521179
4106.366322	1.889539	0.823906	2399.210449
4106.367289	1.840811	0.823906	4179.274414
4106.368362	1.772505	0.823906	6081.171875
4106.369294	1.716226	0.823906	7680.694336
4106.370160	1.665824	0.823906	9123.297852
4106.371236	1.610186	0.823906	10855.857422
4106.372224	0.677996	0.823906	11525.716797
4106.373109	0.090699	0.823906	11605.985352
4106.374110	0.090604	0.823906	11696.680664
4106.375162	0.090546	0.823906	11791.934570
4106.376056	0.090487	0.823906	11872.830078
4106.376912	0.090564	0.823906	11950.352539
4106.378013	0.090586	0.823906	12050.087891
4106.378975	0.090447	0.823906	12137.097656
4106.379842	0.090524	0.823906	12215.582031
4106.380847	0.090634	0.823906	12306.668945
