time (s)	det(V)
4102.322032	0.313111	
4102.323563	0.313135	
4102.325279	0.294468	
4102.326820	0.296913	
4102.328516	0.293090	
4102.330070	0.288079	
4102.331743	0.276876	
4102.333317	0.285783	
4102.334975	0.277698	
4102.336552	0.272824	
4102.338193	0.268969	
4102.339795	0.265424	
4102.341423	0.258258	
4102.343037	0.254145	
4102.344647	0.252437	
4102.346331	0.246003	
4102.347926	0.241351	
4102.349625	0.235900	
4102.351221	0.238418	
4102.352875	0.227046	
4102.354467	0.226011	
4102.356164	0.222256	
4102.357722	0.219493	
4102.359437	0.206767	
4102.360994	0.209656	
4102.362705	0.201921	
4102.364264	0.198735	
4102.365969	0.192890	
4102.367504	0.198228	
4102.369225	0.188145	
4102.370717	0.183903	
4102.372502	0.181417	
4102.373986	0.177953	
4102.375767	0.164245	
4102.377265	0.168164	
4102.379032	0.163169	
4102.380511	0.158951	
4102.382283	0.151624	
4102.383787	0.159266	
4102.385560	0.146484	
4102.387055	0.144603	
4102.388809	0.143185	
4102.390324	0.145114	
4102.392052	0.128111	
4102.393583	0.131784	
4102.395321	0.126576	
4102.396872	0.122028	
4102.398411	0.115027	
4102.400041	0.125198	
4102.401545	0.117383	
4102.403190	0.112618	
4102.404697	0.112094	
4102.406362	0.108666	
4102.407866	0.106164	
4102.409508	0.098176	
4102.411005	0.099586	
4102.412660	0.095642	
4102.414141	0.093515	
4102.415864	0.087799	
4102.417348	0.096923	
4102.419050	0.086639	
4102.420527	0.086760	
4102.422229	0.086522	
4102.423729	0.089483	
4102.425420	0.071634	
4102.426953	0.077301	
4102.428687	0.074659	
4102.430214	0.073491	
4102.431908	0.062739	
4102.433458	0.079114	
4102.435163	0.070308	
4102.436727	0.067976	
4102.438397	0.066667	
4102.439963	0.068403	
4102.441631	0.058550	
4102.443235	0.061273	
4102.444894	0.062078	
4102.446495	0.058199	
4102.448137	0.057639	
4102.449736	0.057522	
4102.451366	0.060358	
4102.453007	0.057140	
4102.454607	0.057728	
4102.456268	0.056668	
4102.457867	0.054574	
4102.459532	0.049885	
4102.461124	0.052938	
4102.462804	0.050775	
4102.464375	0.049929	
4102.466086	0.047496	
4102.467627	0.054715	
4102.469341	0.048821	
4102.470876	0.051226	
4102.472589	0.052318	
4102.474096	0.050932	
4102.475853	0.040233	
4102.477345	0.047049	
4102.479123	0.046094	
4102.480604	0.044728	
4102.482397	0.039653	
4102.483886	0.050590	
4102.485660	0.043548	
4102.487139	0.044656	
4102.488908	0.043633	
4102.490399	0.045977	
4102.492153	0.033663	
4102.493662	0.039693	
4102.495384	0.041393	
4102.496906	0.037042	
4102.498600	0.030557	
4102.500143	0.044249	
4102.501817	0.036305	
4102.503378	0.035081	
4102.505055	0.033481	
4102.506632	0.034754	
4102.508304	0.031205	
4102.509914	0.030641	
4102.511405	0.031435	
4102.513064	0.028398	
4102.514562	0.027656	
4102.516179	0.027894	
