crossing time (s)	slope (V/s)	crossing number
10088.201001	41.329883	97
10089.250264	39.858433	98
10090.294831	43.187019	99
10091.336703	41.329754	100
10092.383680	42.477398	101
10093.433436	41.407320	102
10094.475979	41.635359	103
10095.515829	42.451688	104
10096.567520	40.325029	105
10097.612004	41.814994	106
10098.653975	43.213044	107
10099.703098	40.118818	108
10100.754703	41.577968	109
10101.798506	42.679592	110
10102.846394	41.160727	111
10103.887163	41.861566	112
10104.928367	42.541210	113
10105.978167	40.588633	114
10107.027699	40.417994	115
10108.074213	40.579330	116
10109.115928	42.176989	117
10110.154033	41.448086	118
10111.218211	39.897252	119
10112.250407	41.740001	120
10113.304168	39.863952	121
10114.337281	40.166572	122
10115.399527	40.131224	123
10116.433980	40.807607	124
10117.483242	40.896392	125
10118.523357	39.497898	126
10119.575274	41.028139	127
10120.615490	41.092959	128
10121.661400	40.729570	129
10122.705737	39.806336	130
10123.760030	40.246249	131
10124.794609	41.437243	132
10125.848439	39.411663	133
10126.887137	39.621825	134
10127.948785	40.275135	135
10128.980906	40.790378	136
10130.037014	39.708942	137
10131.077138	39.414234	138
10132.122555	40.910680	139
10133.163061	40.018237	140
10134.210911	39.504268	141
10135.253824	38.829408	142
10136.306545	39.198402	143
10137.350601	39.863761	144
10138.393152	39.614230	145
10139.441087	39.489096	146
10140.486345	38.890839	147
10141.535658	39.036975	148
10142.579653	39.859938	149
10143.626098	39.479867	150
10144.668143	38.726741	151
10145.717098	38.939426	152
10146.758656	38.856300	153
10147.804442	38.910972	154
10148.854974	39.028000	155
10149.895217	39.050815	156
10150.940984	38.582089	157
10151.988074	38.490786	158
10153.041052	38.854629	159
10154.076685	39.146362	160
10155.128975	38.101404	161
10156.168118	38.703924	162
10157.219885	38.639646	163
10158.254821	38.435755	164
10159.316945	38.088167	165
10160.348352	38.315563	166
10161.405003	39.056713	167
10162.439771	38.445851	168
10163.494457	38.343722	169
10164.539401	38.815171	170
10165.580812	38.458492	171
10166.627418	38.382215	172
10167.671783	38.331269	173
10168.724695	38.643291	174
10169.764719	38.755342	175
10170.809442	38.724216	176
10171.860183	38.708352	177
10172.896468	38.989427	178
10173.955913	38.730054	179
10174.989039	39.012530	180
10176.044036	38.342465	181
10177.075487	38.498718	182
10178.140353	38.701293	183
10179.177738	39.236568	184
10180.225588	38.580602	185
10181.261872	38.497725	186
10182.326903	38.973250	187
10183.358811	38.925956	188
10184.410375	38.977950	189
10185.441590	39.009903	190
10186.507498	38.818104	191
10187.537973	38.900045	192
10188.589499	38.900433	193
10189.625668	38.720153	194
10190.688932	38.939152	195
10191.725223	38.743464	196
10192.779097	38.776942	197
10193.813156	39.119289	198
10194.866766	39.072178	199
10195.908103	38.733856	200
10196.955094	39.570307	201
10197.998269	39.012875	202
10199.046584	39.055146	203
10200.094861	38.914632	204
10201.142818	39.185230	205
10202.182761	39.081021	206
10203.226714	39.003689	207
10204.273106	39.020196	208
10205.325898	38.898407	209
10206.360733	39.020372	210
10207.415841	39.343369	211
10208.453395	39.260137	212
10209.509898	38.910699	213
10210.542212	39.284412	214
10211.601016	39.385609	215
10212.637091	39.048332	216
10213.689651	39.081784	217
10214.725661	39.010062	218
10215.781906	39.141481	219
10216.821081	39.112706	220
10217.876143	39.158178	221
10218.910631	39.088991	222
10219.963912	39.096178	223
10221.005472	39.398199	224
10222.058537	39.442403	225
10223.096522	38.999199	226
10224.143542	39.375908	227
10225.184024	39.884611	228
10226.241427	38.939345	229
10227.274506	39.130871	230
10228.330888	39.353449	231
10229.373045	39.238960	232
10230.422365	39.432080	233
10231.457352	39.452808	234
10232.513445	39.327289	235
10233.549936	39.561741	236
10234.605996	39.308323	237
10235.640566	39.149700	238
10236.701215	39.404739	239
10237.730953	39.365889	240
10238.788730	39.565010	241
10239.826187	39.320254	242
10240.878384	39.740464	243
10241.922847	39.699446	244
10242.970054	39.346187	245
10244.006564	39.500974	246
10245.056504	39.709651	247
10246.105493	39.161243	248
10247.152337	39.439126	249
10248.194621	39.670065	250
10249.240074	39.579753	251
10250.293225	39.622020	252
10251.337416	39.545359	253
10252.376977	39.853588	254
10253.424510	39.842126	255
10254.471361	39.710909	256
10255.521013	39.560072	257
10256.558488	39.715564	258
10257.610769	39.740112	259
10258.655001	39.607062	260
10259.701507	39.562906	261
10260.740337	39.495351	262
10261.796333	39.968573	263
10262.834109	39.890752	264
10263.882591	39.332416	265
10264.924315	39.804666	266
10265.979078	39.815623	267
10267.018745	39.507991	268
10268.070544	39.757767	269
10269.107891	39.669477	270
10270.156639	39.741587	271
