time (s)	magX	magY	magZ
6246.618270	-6.177674	-133.968430	-6.682060
6246.621602	-5.768556	-133.909988	-7.032734
6246.624936	-5.534775	-133.208649	-6.097607
6246.628265	-5.359439	-133.676208	-5.688492
6246.631600	-6.236119	-133.559326	-6.682060
6246.634931	-5.943892	-133.091751	-5.805382
6246.638263	-5.593220	-133.033310	-7.091179
6246.641649	-6.469900	-133.033310	-5.805382
6246.644931	-5.710111	-132.273514	-5.571598
6246.648263	-6.002337	-132.215073	-5.454708
6246.651629	-5.885447	-132.273514	-5.688492
6246.656216	-5.885447	-132.156631	-5.980717
6246.659131	-6.469900	-132.448868	-6.156052
6246.662468	-6.528346	-132.390411	-6.156052
6246.665804	-6.469900	-133.091751	-5.630047
6246.669201	-6.586791	-133.442429	-6.623615
6246.672041	-6.645236	-133.559326	-5.805382
6246.675394	-6.879018	-132.916428	-6.272945
6246.678685	-6.236119	-133.500870	-7.149624
6246.682021	-6.353010	-134.202209	-5.454708
6246.684924	-6.528346	-134.377548	-6.915844
6246.688264	-6.528346	-134.319107	-5.980717
6246.691594	-6.879018	-134.669785	-5.980717
6246.694955	-6.586791	-136.014023	-6.272945
6246.698258	-6.586791	-135.897125	-6.798950
6246.701592	-6.820573	-136.715378	-7.091179
6246.704927	-6.177674	-136.072464	-7.850967
6246.708259	-6.645236	-136.832260	-8.260086
6246.711594	-6.879018	-137.825836	-8.493866
6246.714922	-7.054354	-138.234940	-8.376976
6246.718256	-6.703682	-138.702515	-8.493866
6246.721592	-6.762128	-138.994736	-8.902985
6246.724925	-6.879018	-139.345398	-8.844540
6246.728261	-6.937464	-140.923431	-9.487438
6246.731597	-7.054354	-141.157227	-9.487438
6246.734930	-6.879018	-142.092346	-9.954998
6246.738274	-7.346581	-142.150787	-10.539452
6246.741593	-7.521916	-143.202805	-10.597897
6246.744923	-7.346581	-143.611923	-11.591469
6246.748252	-7.229691	-144.722382	-12.701931
6246.751587	-7.346581	-145.306839	-12.351257
6246.754918	-8.047925	-146.300415	-12.760376
6246.759125	-7.112800	-148.287537	-14.046173
6246.762471	-8.164816	-150.800705	-15.507309
6246.765836	-7.288136	-150.917587	-16.267097
6246.769169	-7.989480	-152.846283	-16.734661
6246.772010	-8.340152	-152.904739	-16.500881
6246.775360	-8.690824	-153.547623	-17.552895
6246.778684	-8.749269	-155.593216	-18.663357
6246.781612	-8.457043	-156.703690	-19.540039
6246.784915	-8.690824	-158.924606	-19.364700
6246.788249	-9.275277	-159.684387	-20.767391
6246.791588	-9.333723	-161.437744	-21.644070
6246.794914	-9.333723	-162.898880	-22.754532
6246.798250	-9.509059	-163.834015	-23.514324
6246.801586	-9.625950	-165.295151	-23.806549
6246.804912	-9.333723	-167.282288	-24.741674
6246.808247	-9.450614	-169.386322	-26.027473
6246.811585	-9.918177	-170.964340	-26.845707
6246.814915	-10.385739	-172.367035	-27.547050
6246.818244	-10.444184	-174.178833	-28.832850
6246.821584	-9.976622	-176.575104	-30.469320
6246.824945	-10.385739	-177.977783	-32.105789
6246.828243	-11.203975	-180.023376	-34.034485
6246.831583	-10.677966	-181.952072	-34.677383
6246.834912	-10.970193	-184.582108	-35.203392
6246.838246	-11.262420	-186.218582	-37.132088
6246.841579	-11.729982	-187.913498	-38.827003
6246.844909	-11.262420	-190.601990	-40.814148
6246.848246	-11.262420	-193.056686	-42.099945
6246.851575	-11.437756	-195.628281	-43.502632
6246.855775	-11.963764	-199.602570	-47.476917
6246.859218	-12.372881	-201.765060	-49.405613
6246.862485	-12.080655	-204.804199	-52.094101
6246.865760	-12.840444	-208.486267	-53.847462
6246.868709	-12.489772	-211.174744	-56.711281
6246.872001	-12.898890	-213.161896	-59.049095
6246.875340	-13.483343	-216.142609	-61.737583
6246.878669	-13.424898	-218.071289	-64.659851
6246.881569	-14.126242	-221.753357	-66.062538
6246.884911	-14.301579	-225.552292	-69.978378
6246.888246	-14.360023	-228.123901	-72.023964
6246.891571	-14.593804	-230.578613	-74.595558
6246.894901	-15.061367	-233.909988	-77.810059
6246.898243	-14.827586	-237.650482	-81.024551
6246.901573	-15.353595	-241.507889	-84.239044
6246.904915	-15.762712	-243.319702	-87.804214
6246.908244	-15.821157	-247.995331	-91.895386
