crossing time (s)	slope (V/s)	crossing number
6246.118690	20.896145	3358
6247.183995	20.994056	3359
6248.211314	20.895782	3360
6249.270249	20.901949	3361
6250.304857	20.783485	3362
6251.357708	20.691269	3363
6252.394636	20.665086	3364
6253.453956	20.900433	3365
6254.483596	20.561214	3366
6255.539274	20.982710	3367
6256.582779	20.708227	3368
6257.633089	20.983440	3369
6258.666886	20.747105	3370
6259.720714	20.692576	3371
6260.763958	20.519433	3372
6261.812241	20.618662	3373
6262.852974	20.831440	3374
6263.900784	20.559863	3375
6264.947930	20.449201	3376
6265.987687	20.581121	3377
6267.035536	20.348542	3378
6268.081195	20.393073	3379
6269.126982	20.192863	3380
6270.170106	20.608534	3381
6271.215983	20.132382	3382
6272.270220	20.389910	3383
6273.306708	20.246006	3384
6274.353860	20.083737	3385
6275.405374	20.389854	3386
6276.447640	20.177625	3387
6277.491486	20.305128	3388
6278.539422	20.037198	3389
6279.578524	20.237676	3390
6280.629176	20.044758	3391
6281.669038	20.101877	3392
6282.718014	20.070154	3393
6283.761902	20.265033	3394
6284.802739	20.264283	3395
6285.856940	19.916586	3396
6286.899894	19.894637	3397
6287.936329	19.946144	3398
6288.991867	19.969822	3399
6290.037359	19.704057	3400
6291.082062	19.881584	3401
6292.123709	19.612320	3402
6293.169670	19.530769	3403
6294.218268	19.783073	3404
6295.259380	19.780297	3405
6296.304988	19.575052	3406
6297.358310	19.924854	3407
6298.394482	19.790373	3408
6299.441106	19.737342	3409
6300.487179	19.763996	3410
6301.541468	19.584807	3411
6302.572037	19.564499	3412
6303.628676	19.498784	3413
6304.660404	19.847359	3414
6305.719915	19.652993	3415
6306.752813	19.520794	3416
6307.811464	19.116291	3417
6308.841407	19.287777	3418
6309.906473	19.382202	3419
6310.936125	19.167875	3420
6311.997213	19.319176	3421
6313.019570	19.563922	3422
6314.086276	19.111003	3423
6315.113703	18.977476	3424
6316.180087	19.049661	3425
6317.204278	19.174214	3426
6318.266331	19.311242	3427
6319.292006	19.119992	3428
6320.365816	19.002112	3429
6321.390826	19.053893	3430
6322.451723	19.283648	3431
6323.484811	18.878920	3432
6324.540253	19.413317	3433
6325.568206	18.785212	3434
6326.631590	18.791373	3435
6327.661731	19.171380	3436
6328.718499	19.220482	3437
6329.749416	18.815924	3438
6330.816844	18.959403	3439
6331.844718	18.547017	3440
6332.900331	18.803827	3441
6333.934194	18.642391	3442
6334.990711	18.974471	3443
6336.028771	18.598777	3444
6337.081222	18.411877	3445
6338.117605	18.679176	3446
6339.195184	18.575985	3447
6340.209885	18.693837	3448
6339.195184	18.575985	3449
6340.248768	18.557776	3450
6341.256973	18.769496	3451
6340.248768	18.557776	3452
6341.284768	18.631362	3453
6342.295600	18.867881	3454
6341.284768	18.631362	3455
6342.322295	18.809822	3456
6343.347592	18.694560	3457
6342.322295	18.809822	3458
6343.377926	18.694284	3459
6344.436583	18.742875	3460
6345.467186	19.251758	3461
6346.501496	19.322163	3462
6347.556331	18.903452	3463
6348.575196	19.110896	3464
6347.556331	18.903452	3465
6348.602151	18.962594	3466
6349.649513	18.860152	3467
6350.688814	19.627977	3468
6351.748704	19.247781	3469
6352.757305	19.861048	3470
6351.748704	19.247781	3471
6352.782564	19.702119	3472
6353.835548	19.425523	3473
6354.844595	19.766009	3474
6353.835548	19.425523	3475
6354.879191	19.740400	3476
6355.918141	19.283072	3477
6356.934466	20.124068	3478
6355.918141	19.283072	3479
6356.956496	19.968244	3480
6358.021450	19.730285	3481
6359.061990	19.700700	3482
6360.071906	19.900637	3483
6361.151662	20.226547	3484
6362.166290	20.066488	3485
6361.151662	20.226547	3486
6362.195281	19.933342	3487
6363.245612	20.152697	3488
6364.281932	19.996310	3489
6365.333307	20.218358	3490
6366.343430	20.293717	3491
6365.333307	20.218358	3492
6366.381855	20.170033	3493
6367.424618	20.312382	3494
6368.465952	20.197517	3495
6369.483465	20.331134	3496
6368.465952	20.197517	3497
6369.513820	20.346297	3498
6370.561560	20.398879	3499
6371.570821	20.894399	3500
6370.561560	20.398879	3501
6371.604353	20.823909	3502
6372.644993	20.399070	3503
6373.665007	21.006167	3504
6372.644993	20.399070	3505
6373.692380	20.896014	3506
6374.739168	20.676923	3507
6375.795703	20.854654	3508
6376.806752	20.390166	3509
6375.795703	20.854654	3510
6376.837023	20.363622	3511
6377.844345	21.532638	3512
6376.837023	20.363622	3513
6377.890841	21.502026	3514
6378.933433	20.608498	3515
6379.961058	21.766796	3516
6381.028282	20.972362	3517
6382.054594	21.963360	3518
6383.111370	20.763926	3519
6384.162866	22.324728	3520
6385.175284	20.991414	3521
6384.162866	22.324728	3522
6385.209176	20.983800	3523
6386.201714	22.282100	3524
6385.209176	20.983800	3525
6386.239188	22.196085	3526
6387.303699	21.636264	3527
6388.320564	22.495072	3528
6389.397140	21.426904	3529
6390.427657	22.738532	3530
6391.480334	21.297120	3531
6392.527875	22.590646	3532
6393.542164	21.747892	3533
6394.568163	23.002160	3534
6393.542164	21.747892	3535
6394.614642	22.897200	3536
6395.628052	22.073732	3537
6396.660551	23.133044	3538
6395.628052	22.073732	3539
6396.705369	23.237723	3540
6397.723445	21.900586	3541
6398.749846	23.195095	3542
6397.723445	21.900586	3543
6398.790762	23.134649	3544
6399.851023	22.220647	3545
6400.883584	23.413538	3546
6401.901586	22.062426	3547
6400.883584	23.413538	3548
6401.938362	22.040466	3549
6402.970454	23.623524	3550
6404.028890	22.241483	3551
6405.068458	23.214082	3552
6406.123813	22.605114	3553
6407.146130	23.645919	3554
6408.207119	22.291375	3555
6409.254372	23.436482	3556
6410.299685	22.918884	3557
6411.343479	23.085330	3558
6412.354801	23.051984	3559
6413.430879	23.133593	3560
6414.442156	23.607255	3561
6415.537628	23.836043	3562
6416.527411	23.528678	3563
6415.537628	23.836043	3564
6416.567769	23.398618	3565
6417.610083	23.682587	3566
6418.620829	23.720140	3567
6419.668248	23.778916	3568
6420.754273	23.794517	3569
6421.798829	24.206798	3570
6422.802508	24.055321	3571
6421.798829	24.206798	3572
6422.848702	23.954278	3573
6423.910157	24.069235	3574
6424.938661	24.282282	3575
6425.932765	24.591573	3576
6426.983454	24.274564	3577
6425.932765	24.591573	3578
6427.029864	24.130366	3579
6428.089693	24.078584	3580
