crossing time (s)	slope (V/s)	crossing number
2468.491504	17.908990	12
2469.548517	18.862340	13
2470.572714	18.019319	14
2471.639914	17.662616	15
2472.661049	16.958595	16
2473.724901	18.296046	17
2474.753471	18.113839	18
2475.811921	17.632976	19
2476.837289	17.768095	20
2477.895788	18.960698	21
2478.928995	19.146204	22
2479.987317	18.026400	23
2481.012520	17.898341	24
2482.067137	17.901817	25
2483.097394	17.802921	26
2484.163102	18.282158	27
2485.184565	17.700514	28
2486.246837	18.435383	29
2487.271353	18.634486	30
2488.327212	18.308623	31
2489.351161	18.119938	32
2490.422483	17.305862	33
2491.445683	17.514577	34
2492.505931	17.173998	35
2493.533667	17.152082	36
2494.596160	18.127219	37
2495.617934	17.959967	38
2496.680146	17.383738	39
2497.706654	17.382550	40
2498.767537	17.610499	41
2499.799087	17.243394	42
2500.850230	17.459948	43
2501.883914	17.193622	44
2502.941289	17.631468	45
2503.967130	17.717918	46
2505.030510	18.213689	47
2506.050825	18.044674	48
2507.113253	17.556726	49
2508.141612	17.324391	50
2509.201424	17.453027	51
2510.226055	17.405130	52
2511.286103	17.567425	53
2512.316150	16.936807	54
2513.377293	17.096709	55
2514.402987	17.592444	56
2515.462198	17.388682	57
2516.489979	17.529155	58
2517.553877	17.212711	59
2518.571900	17.356418	60
2519.635739	17.736643	61
2520.661084	17.456546	62
2521.724944	17.076381	63
2522.751660	16.730811	64
2523.809080	17.053817	65
2524.841919	17.134351	66
2525.895505	16.877812	67
2526.924147	17.049475	68
2527.984432	17.107232	69
2529.010834	17.103347	70
2530.066434	17.182537	71
2531.097628	17.211319	72
2532.159233	16.627270	73
2533.189541	16.738152	74
2534.247336	17.030600	75
2535.271735	17.007491	76
2536.331426	17.147954	77
2537.354043	17.059610	78
2538.417383	16.817318	79
2539.443919	16.785825	80
2540.507053	16.804568	81
2541.533274	16.994910	82
2542.597615	16.413780	83
2543.617639	16.538459	84
2544.685863	17.040844	85
2545.700884	16.800725	86
2546.768612	16.980976	87
2547.795570	16.888289	88
2548.853348	16.493941	89
2549.876941	16.973103	90
2550.943230	16.686905	91
2551.971093	16.939811	92
2553.033370	16.252077	93
2554.053366	17.027784	94
2555.120159	17.031345	95
2556.137437	17.232240	96
2557.206445	17.013988	97
2558.227965	16.883614	98
2559.288654	17.203883	99
2560.315969	17.329201	100
2561.378505	16.910241	101
2562.404128	17.106474	102
2563.468268	16.778652	103
2564.492687	17.160899	104
2565.552345	16.826514	105
2566.580106	17.034006	106
2567.645700	16.674201	107
2568.665541	17.207524	108
2569.731953	16.984161	109
2570.752662	17.338013	110
2571.816770	17.207555	111
2572.842189	17.018186	112
2573.902026	17.017777	113
2574.931461	16.908041	114
2575.991274	17.321127	115
2577.021237	17.333476	116
2578.072394	17.119248	117
2579.102892	17.633727	118
2580.160248	17.099997	119
2581.188685	17.611592	120
2582.245497	16.775725	121
2583.273355	17.384061	122
2584.339282	16.827582	123
2585.367600	16.965266	124
2586.426279	17.059513	125
2587.451303	17.177856	126
2588.510085	16.840032	127
2589.540807	17.240628	128
2590.599418	17.127269	129
2591.627884	17.605763	130
2592.689009	17.064071	131
2593.714866	17.360049	132
2594.778334	16.812686	133
2595.797914	17.210792	134
2596.866296	16.837827	135
2597.891192	17.251311	136
2598.948268	17.208526	137
2599.976405	17.378954	138
2601.036099	17.257682	139
2602.068632	17.575851	140
2603.121038	17.157874	141
2604.154084	17.531215	142
2605.207625	16.854696	143
2606.236389	17.408404	144
2607.302510	16.689388	145
2608.330358	17.134375	146
2609.390216	16.866345	147
2610.411241	17.247000	148
2611.470640	17.044649	149
2612.502178	17.387687	150
2613.559643	16.790729	151
2614.585677	17.452450	152
2615.645868	16.674403	153
2616.674345	17.512533	154
2617.739076	17.059266	155
2618.756630	17.665884	156
2619.827664	17.133605	157
2620.852591	17.455266	158
2621.910605	16.807735	159
2622.934418	17.531182	160
2624.000184	16.650797	161
2625.025198	17.420351	162
2626.091702	16.778927	163
2627.109535	17.463582	164
2628.175218	17.123293	165
2629.191977	17.533355	166
2630.261056	17.097456	167
2631.289287	17.499804	168
2632.347062	16.811355	169
2633.367179	17.307020	170
2634.437948	16.665403	171
2635.461691	17.487097	172
2636.525053	16.730045	173
2637.543259	17.682341	174
2638.613920	16.961929	175
2639.630237	17.582316	176
2640.699449	17.051665	177
2641.724050	17.568323	178
2642.779520	16.963019	179
2643.804866	17.413320	180
2644.868541	16.788228	181
2645.897921	17.529266	182
2646.960536	16.767639	183
2647.985402	17.677199	184
2649.046723	16.622082	185
2650.072480	17.566936	186
2651.133924	16.674157	187
2652.161145	17.361793	188
