time (s)	magX	magY	magZ
2469.099244	0.800117	117.517830	15.386906
2469.102586	0.741672	117.985390	14.627117
2469.107250	0.157218	119.271187	15.679134
2469.110153	0.391000	119.797195	15.620686
2469.113491	0.274109	120.673874	15.737576
2469.116769	0.157218	121.550552	17.432499
2469.120114	0.274109	122.485672	17.023373
2469.123004	-0.193454	123.245468	18.367619
2469.126336	0.157218	124.180588	18.601398
2469.129666	0.040327	125.349495	18.718296
2469.133006	-0.076563	126.167740	20.062542
2469.135915	-0.193454	127.453529	20.530102
2469.139253	-0.661017	128.096436	20.179432
2469.142574	-0.251899	129.499130	21.523670
2469.145913	-0.427236	130.784927	21.699009
2469.149264	-1.245471	131.836945	22.984806
2469.152574	-0.368790	133.239624	23.218586
2469.155913	-0.193454	134.583862	24.796604
2469.159246	-0.310345	135.518997	24.153713
2469.162575	0.098773	136.161896	24.913502
2469.165909	0.274109	137.506134	25.614841
2469.169241	0.157218	139.025711	27.075977
2469.172571	-0.135009	140.662186	28.011105
2469.175911	0.274109	142.240219	28.712444
2469.179238	0.274109	143.175339	29.413792
2469.182573	0.040327	144.870239	29.706020
2469.185907	0.040327	145.746933	31.225597
2469.189255	0.566335	147.500290	32.394505
2469.192570	0.566335	149.195206	32.452946
2469.195901	0.624781	150.831680	34.323200
2469.199230	0.800117	152.643478	34.966099
2469.202575	0.391000	153.695496	36.953243
2469.206834	0.741672	157.319107	38.180599
2469.210112	0.917008	159.072464	39.057278
2469.213420	-0.018118	160.299820	39.992397
2469.216742	0.449445	162.637634	41.570431
2469.220100	0.391000	165.033905	42.622440
2469.222989	0.391000	166.261246	44.726482
2469.226330	0.157218	168.365295	45.544712
2469.229673	0.215663	170.469315	47.356510
2469.233020	-0.544126	171.813553	49.343662
2469.235895	0.157218	174.735825	51.506138
2469.239247	-0.602572	177.482758	51.330791
2469.242561	-0.485681	178.826996	53.785503
2469.245901	-0.485681	181.983047	56.707775
2469.249227	-1.011689	184.613083	59.279369
2469.252564	-1.070134	187.360031	60.389828
2469.255899	-1.771479	189.756287	63.078320
2469.259233	-1.596143	191.684967	65.474579
2469.262567	-1.303916	194.841034	68.864410
2469.265900	-1.829924	197.471069	71.202225
2469.269225	-2.122151	201.153122	73.306259
2469.272559	-1.654588	204.309174	76.929871
2469.275917	-2.648159	206.413208	79.033905
2469.279231	-2.940386	209.043259	81.663956
2469.282562	-2.531268	212.082397	84.761536
2469.285896	-2.823495	215.589127	88.092926
2469.289233	-3.115722	218.569839	91.950333
2469.292565	-2.414378	221.901215	94.931030
2469.295891	-3.349503	224.881943	98.087097
2469.299226	-3.115722	228.330215	101.944473
2469.302554	-2.122151	231.720062	105.100525
2469.306799	-1.829924	238.090607	113.750443
2469.310070	-1.654588	240.837509	117.374054
2469.313453	-1.303916	244.753357	122.049683
2469.316764	-1.128580	247.558731	125.614853
2469.319711	-0.661017	251.299255	130.582703
2469.322990	-0.777908	255.098190	135.784348
2469.326335	-0.310345	258.312683	140.401520
2469.329669	-0.544126	261.585632	143.674469
2469.333004	-0.719462	265.501465	149.811218
2469.335904	-0.661017	269.826416	155.188202
2469.339222	-0.135009	272.514893	159.863831
2469.342555	0.040327	276.781403	166.818832
2469.345892	-0.251899	280.112793	171.435989
2469.349224	-0.251899	283.970215	177.981903
2469.352557	-0.193454	287.535370	183.066620
2469.355886	-0.544126	290.399170	189.787842
2469.359223	-0.602572	294.139679	195.281708
2469.362574	-0.894798	298.230865	202.528931
2469.365888	-0.953244	301.503784	210.828186
2469.369217	-0.836353	304.016937	218.075378
2469.372553	-1.420807	307.874329	225.848633
2469.375890	-2.005260	310.913513	232.862061
2469.379216	-2.414378	315.063141	242.037994
2469.382553	-3.583285	318.219177	250.980133
2469.385888	-3.583285	322.135010	259.337830
2469.389213	-4.284629	325.232605	268.922852
2469.392554	-4.109293	327.979553	278.274109
2469.395882	-4.752192	330.083588	287.391571
2469.399215	-4.869082	332.596710	299.665100
2469.402551	-4.985973	335.460541	311.003510
2469.407162	-5.395091	340.077728	329.764465
2469.410063	-5.687318	340.779083	343.323792
2469.413395	-5.395091	343.233795	354.428436
2469.416757	-5.161309	343.526031	365.766815
2469.420094	-5.102864	345.162476	378.215698
2469.423012	-5.570426	345.571594	389.963196
2469.426329	-5.336645	345.863831	401.301575
2469.429673	-4.752192	346.039154	414.101105
2469.432550	-3.992402	346.039154	427.426666
2469.435875	-3.291058	345.337799	442.330200
2469.439215	-2.998831	344.694916	454.311493
2469.442587	-2.180596	343.350647	467.052582
2469.445882	-1.070134	341.012848	481.488617
2469.449231	-0.719462	339.259491	494.054352
2469.452544	0.098773	335.811218	507.964386
2469.455875	1.033898	333.356506	520.939148
2469.459212	1.969024	329.674438	534.264709
2469.462543	2.728813	326.109314	549.460510
2469.465873	3.021040	321.024536	563.545837
2469.469205	3.780830	315.822906	576.988281
2469.472541	4.482174	310.562836	589.378723
2469.475873	5.300409	305.244293	603.054932
2469.479207	5.943308	298.113983	615.854492
2469.482540	6.352426	290.866730	629.472229
2469.485898	7.287551	283.385742	643.148437
2469.489206	7.462888	275.086487	655.188171
2469.492541	7.813560	266.085937	669.039734
2469.495872	8.164231	257.845123	681.605469
2469.499209	8.105786	247.149628	695.573914
2469.502605	8.281122	237.856812	708.198059
2469.506726	7.579778	214.478668	732.628235
2469.510071	7.521333	203.140274	746.362915
2469.513383	8.281122	189.990067	755.012817
2469.516753	8.456458	176.196960	766.234314
2469.519624	7.755115	162.637634	777.046692
2469.522986	7.345997	148.435410	788.151367
2469.526324	7.696669	133.940979	796.158325
2469.529688	8.047340	118.745171	806.327820
2469.532570	8.222676	103.140266	812.639893
2469.535877	8.164231	87.652252	818.309143
2469.539202	7.755115	72.164230	827.952576
2469.542533	7.988895	56.091755	832.160706
2469.545865	8.456458	39.843948	837.187012
2469.549203	9.216249	23.829922	841.628845
2469.552531	9.566920	8.049679	843.089966
2469.555872	10.209819	-9.367037	845.018677
2469.559206	11.261836	-24.796608	846.479797
2469.562535	11.904735	-40.459965	848.174683
2469.565866	12.898305	-55.947983	845.018677
2469.569197	13.891875	-71.319115	843.089966
2469.572568	15.119229	-86.222679	842.797791
2469.575861	15.645238	-100.483345	839.641663
2469.579198	17.164816	-114.919350	832.745178
2469.582526	18.567503	-129.180008	831.284058
2469.585866	18.625948	-141.804199	822.341858
2469.589194	20.028637	-156.240219	818.776733
2469.592533	21.781998	-167.286377	810.419006
2469.595868	23.067795	-180.144363	801.184692
2469.599218	23.593805	-191.541199	798.145508
2469.602531	24.178259	-203.054947	783.826355
2469.606704	26.340734	-223.919922	764.130310
2469.610053	26.516071	-232.978958	751.798340
2469.613386	26.983635	-241.687317	742.914612
2469.616751	27.860313	-251.155457	733.095825
2469.619614	27.392752	-258.227356	722.108093
2469.622977	27.860313	-265.766785	708.139648
2469.626322	27.977205	-273.189362	694.171204
2469.629643	28.152540	-280.027466	681.371704
2469.632523	27.860313	-285.871979	666.234375
2469.635858	27.100525	-292.651672	657.292175
2469.639192	26.749853	-296.392181	640.284607
2469.642529	26.808298	-302.704285	626.900635
2469.645862	25.990063	-306.737000	613.750427
2469.649185	25.171829	-310.828186	597.327271
2469.652523	24.879602	-314.802460	581.780823
2469.655861	24.236704	-316.906494	569.974854
2469.659215	24.061367	-320.237854	552.908813
2469.662523	23.184687	-322.751038	539.875488
2469.665857	22.483341	-324.329041	526.023926
2469.669190	22.483341	-325.848633	511.471100
2469.672523	21.723553	-326.140839	496.509064
2469.675853	21.840443	-327.368195	483.125092
2469.679191	21.139099	-328.244904	469.448822
2469.682522	20.963762	-326.316193	453.493317
2469.685856	20.846872	-326.783752	440.226166
2469.689184	20.028637	-326.257751	427.835785
2469.692517	20.613091	-326.549957	415.270050
2469.695855	19.853302	-324.212158	400.483368
2469.699223	20.554646	-323.277039	388.852722
2469.703803	20.788427	-319.594971	363.545898
2469.706711	20.203974	-317.374054	353.317932
2469.710044	20.963762	-314.744019	342.271790
2469.713393	20.379311	-312.347748	332.803619
2469.716729	20.846872	-309.717712	321.991241
2469.719670	21.139099	-307.496796	312.873749
2469.722975	21.139099	-303.873169	301.710693
2469.726298	21.606663	-302.119812	291.015198
2469.729618	21.957335	-299.957336	283.358856
2469.732539	21.489771	-296.625946	274.241394
2469.735848	21.898888	-292.885468	265.357666
2469.739188	22.015779	-290.021637	257.642914
2469.742517	22.600233	-287.742279	250.045013
2469.745847	22.191114	-283.592651	242.154877
2469.749184	22.308006	-281.605499	235.141449
2469.752515	21.898888	-277.923431	227.017548
2469.755848	21.548216	-274.767395	220.062531
2469.759182	21.431326	-271.494446	212.523102
2469.762542	21.314436	-268.046173	207.496796
2469.765849	20.554646	-264.948578	198.320862
2469.769180	20.320864	-262.961426	193.411469
2469.772508	20.145529	-258.636475	187.157822
2469.775847	19.794857	-255.188202	181.605499
2469.779177	19.268848	-252.441284	176.228516
2469.782504	19.035067	-249.226776	169.799530
2469.785845	18.918177	-247.181183	165.883698
2469.789177	18.041494	-243.908249	158.402695
2469.792507	17.281706	-239.583282	153.960846
2469.795866	17.106369	-236.544113	148.583878
2469.799181	17.047924	-233.855637	144.492691
2469.802508	16.229689	-230.874939	139.407944
2469.806722	15.645238	-224.095261	130.465805
2469.810035	15.060784	-220.705429	127.251328
2469.813374	15.177674	-218.309174	122.692581
2469.816706	14.885448	-215.503799	118.952072
2469.819599	14.359439	-212.464630	114.802460
2469.822966	14.067212	-209.717712	111.295746
2469.826285	14.359439	-206.795441	107.847458
2469.829651	14.125657	-204.340729	103.814728
2469.832506	13.891875	-201.243134	100.658691
2469.835839	14.300995	-199.431335	97.327301
2469.839176	14.242548	-196.801300	94.755707
2469.842543	13.891875	-194.814148	92.417892
2469.845838	13.482759	-191.599655	89.787842
2469.849173	13.774985	-189.495621	86.748688
2469.852500	13.132087	-186.222687	84.936890
2469.855836	13.482759	-183.767975	82.365295
2469.859171	13.541203	-181.956177	80.611923
2469.862506	13.599649	-181.021042	77.280533
2469.865836	13.950321	-178.624786	75.351837
2469.869170	13.482759	-176.462311	74.475159
2469.872500	13.482759	-174.825836	72.721802
2469.875837	13.541203	-172.897141	70.442429
2469.879167	13.132087	-170.617767	67.929276
2469.882501	13.015196	-168.455292	67.344818
2469.885853	13.190532	-167.286377	65.007004
2469.889181	13.248977	-165.708359	63.487438
2469.892512	13.833430	-164.013443	61.149624
2469.895831	13.132087	-161.792511	59.454708
2469.899167	13.073641	-160.623611	58.987141
2469.902496	13.424313	-159.571594	57.701336
2469.906687	13.073641	-155.831100	55.480419
2469.910006	12.781414	-154.428406	53.376392
2469.913364	12.372297	-152.441269	52.675045
2469.916764	12.547633	-151.681473	52.324368
2469.919609	12.547633	-149.986572	49.752773
2469.922949	12.547633	-148.525421	48.876095
2469.926261	11.963180	-147.005844	48.350086
2469.929623	12.196961	-146.129166	47.239628
2469.932500	11.670953	-143.966690	46.362949
2469.935839	11.670953	-143.206894	45.310932
2469.939161	11.261836	-141.628876	43.674458
2469.942493	11.261836	-140.401520	43.499119
2469.945828	11.028054	-139.992401	42.330212
2469.949159	10.911163	-138.414383	41.278194
2469.952490	10.794272	-136.836349	39.583286
2469.955826	10.794272	-136.368790	40.752193
2469.959162	10.677382	-134.849213	38.998837
2469.962491	10.385155	-134.323196	37.946819
2469.965822	10.209819	-133.621857	37.070133
2469.969164	10.268264	-132.160721	37.245472
2469.972513	10.385155	-131.342499	35.492107
2469.975823	10.092928	-130.816483	34.440090
2469.979156	10.443601	-130.582703	34.030979
2469.982500	9.976038	-129.180008	33.914089
2469.985826	10.151374	-128.887787	33.855640
