time (s)	det(V)
2469.095418	-0.001293	
2469.096928	-0.004004	
2469.098672	-0.005108	
2469.100186	0.006864	
2469.101901	0.000866	
2469.103431	0.000870	
2469.105131	0.001454	
2469.106675	0.007041	
2469.108192	-0.009801	
2469.109769	-0.002115	
2469.111261	-0.002115	
2469.112903	-0.003674	
2469.114433	-0.005475	
2469.116073	0.000898	
2469.117543	0.001809	
2469.119183	-0.002687	
2469.120662	-0.001076	
2469.122300	0.000773	
2469.123783	0.002155	
2469.125471	-0.008629	
2469.126973	-0.003122	
2469.128634	-0.003206	
2469.130157	-0.004637	
2469.131782	-0.008202	
2469.133329	0.006800	
2469.134940	-0.001329	
2469.136503	-0.002477	
2469.138182	0.000125	
2469.139751	0.003815	
2469.141401	-0.009495	
2469.143010	-0.003952	
2469.144621	-0.003227	
2469.146254	-0.004496	
2469.147875	-0.007650	
2469.149531	0.002679	
2469.151142	-0.000632	
2469.152768	-0.002872	
2469.154357	-0.001627	
2469.156055	0.000302	
2469.157612	-0.002578	
2469.159298	-0.005055	
2469.160835	-0.002848	
2469.162531	-0.004334	
2469.164082	-0.005362	
2469.165801	-0.003009	
2469.167313	0.002550	
2469.169048	-0.003597	
2469.170540	-0.002876	
2469.172330	0.000153	
2469.173813	0.000230	
2469.175590	-0.007678	
2469.177073	-0.004681	
2469.178834	-0.004584	
2469.180313	-0.006107	
2469.182071	-0.006989	
2469.183584	0.003710	
2469.185343	-0.004524	
2469.186856	-0.003481	
2469.188563	-0.002087	
2469.190091	0.003368	
2469.191803	-0.010989	
2469.193352	-0.005632	
2469.195027	-0.004467	
2469.196582	-0.007771	
2469.198265	-0.013024	
2469.199839	0.004504	
2469.201522	-0.004496	
2469.203110	-0.005313	
2469.204772	-0.004242	
2469.206355	-0.001124	
2469.207874	-0.010929	
2469.209518	-0.008379	
2469.211003	-0.008580	
2469.212643	-0.010127	
2469.214116	-0.011287	
2469.215750	-0.009531	
2469.217232	-0.004536	
2469.218876	-0.009201	
2469.220360	-0.009656	
2469.221953	-0.008456	
2469.223475	-0.004113	
2469.225125	-0.020037	
2469.226674	-0.014212	
2469.228271	-0.014369	
2469.229853	-0.016540	
2469.231428	-0.020069	
2469.233050	-0.009523	
2469.234608	-0.015867	
2469.236235	-0.017692	
2469.237856	-0.016319	
