time (s)	coil I (A)	last det (V)	int current (uC)
3373.989370	1.529832	0.878228	706.782166
3373.990287	1.884913	0.878228	2435.247559
3373.991166	1.837551	0.878228	4050.455078
3373.992212	1.772259	0.878228	5904.238281
3373.993163	1.715629	0.878228	7535.801270
3373.994036	1.665117	0.878228	8989.448242
3373.995104	1.607186	0.878228	10705.922852
3373.996030	0.930927	0.878228	11567.960937
3373.996896	0.093003	0.878228	11648.501953
3373.997961	0.090579	0.878228	11744.967773
3373.998924	0.090505	0.878228	11832.124023
3373.999810	0.090436	0.878228	11912.250000
3374.000667	0.090560	0.878228	11989.860352
3374.001776	0.090469	0.878228	12090.190430
3374.002663	0.090436	0.878228	12170.407227
3374.003535	0.090461	0.878228	12249.290039
3374.004548	0.090593	0.878228	12341.060547
3374.005542	0.090524	0.878228	12431.041016
3375.002319	1.454026	0.955415	641.225403
3375.003182	1.885953	0.955415	2268.803223
3375.004233	1.835109	0.955415	4197.502441
3375.005248	1.770483	0.955415	5994.542969
3375.006122	1.716661	0.955415	7494.905273
3375.007086	1.661766	0.955415	9096.847656
3375.008135	1.603337	0.955415	10778.749023
3375.009073	0.809509	0.955415	11538.068359
3375.009935	0.091556	0.955415	11616.990234
3375.011019	0.090498	0.955415	11715.089844
3375.012005	0.090491	0.955415	11804.313477
3375.012902	0.090417	0.955415	11885.417969
3375.013876	0.090520	0.955415	11973.583984
3375.014930	0.090564	0.955415	12069.038086
3375.015839	0.090374	0.955415	12151.187500
3375.016702	0.090447	0.955415	12229.243164
3375.017802	0.090604	0.955415	12328.908203
3375.018776	0.090472	0.955415	12417.028320
3376.080911	1.515831	0.830799	770.042297
3376.081909	1.881464	0.830799	2647.742920
3376.082809	1.831549	0.830799	4296.137207
3376.083791	1.769564	0.830799	6033.849121
3376.084847	1.706023	0.830799	7835.409180
3376.085761	1.653171	0.830799	9346.408203
3376.086625	1.603733	0.830799	10732.033203
3376.087730	0.620929	0.830799	11418.160156
3376.088703	0.090216	0.830799	11505.940430
3376.089565	0.090381	0.830799	11583.848633
3376.090590	0.090498	0.830799	11676.609375
3376.091642	0.090450	0.830799	11771.763672
3376.092530	0.090377	0.830799	11852.018555
3376.093405	0.090480	0.830799	11931.188477
3376.094488	0.090465	0.830799	12029.162109
3376.095446	0.090406	0.830799	12115.771484
3376.096302	0.090439	0.830799	12193.187500
3376.097340	0.090524	0.830799	12287.151367
3377.094910	1.501135	0.907462	732.554016
3377.095790	1.886539	0.907462	2392.708496
3377.096722	1.838566	0.907462	4106.251953
3377.097811	1.768945	0.907462	6032.633301
3377.098769	1.711457	0.907462	7672.209473
3377.099641	1.660573	0.907462	9120.228516
3377.100701	1.602997	0.907462	10819.405273
3377.101724	0.626338	0.907462	11460.148437
3377.102617	0.090363	0.907462	11540.841797
3377.103588	0.090509	0.907462	11628.725586
3377.104623	0.090480	0.907462	11722.372070
3377.105549	0.090377	0.907462	11806.061523
3377.106410	0.090392	0.907462	11883.888672
3377.107476	0.090476	0.907462	11980.335937
3377.108458	0.090421	0.907462	12069.129883
3377.109350	0.090352	0.907462	12149.723633
3377.110353	0.090564	0.907462	12240.559570
3377.111389	0.090388	0.907462	12334.202148
3378.173115	1.454722	0.891054	618.256714
3378.174223	1.881138	0.891054	2702.557129
3378.175193	1.826799	0.891054	4474.552734
3378.176101	1.768455	0.891054	6080.309570
3378.176989	1.715098	0.891054	7603.316406
3378.178029	1.655819	0.891054	9325.368164
3378.178932	1.605509	0.891054	10775.142578
3378.179821	0.922603	0.891054	11595.335937
3378.180685	0.093083	0.891054	11675.759766
3378.181745	0.090443	0.891054	11771.629883
3378.182643	0.090414	0.891054	11852.821289
3378.183520	0.090425	0.891054	11932.124023
3378.184527	0.090469	0.891054	12023.225586
3378.185448	0.090425	0.891054	12106.506836
3378.186374	0.090374	0.891054	12190.192383
3378.187238	0.090439	0.891054	12268.332031
3378.188274	0.090396	0.891054	12361.981445
3378.189151	0.090399	0.891054	12441.261719
3379.185111	1.464349	0.955387	647.242432
3379.185975	1.886078	0.955387	2276.813477
3379.187018	1.834717	0.955387	4190.422852
3379.188052	1.769425	0.955387	6020.008301
3379.188937	1.715208	0.955387	7537.966797
3379.189867	1.661188	0.955387	9082.871094
3379.190933	1.602821	0.955387	10791.478516
3379.191884	0.777330	0.955387	11530.719727
3379.192745	0.091179	0.955387	11609.224609
3379.193779	0.090535	0.955387	11702.837891
3379.194799	0.090385	0.955387	11795.030273
3379.195697	0.090461	0.955387	11876.264648
3379.196663	0.090557	0.955387	11963.742187
3379.197716	0.090480	0.955387	12059.017578
3379.198644	0.090498	0.955387	12143.000000
3379.199509	0.090450	0.955387	12221.239258
3379.200581	0.090538	0.955387	12318.295898
3379.201577	0.090428	0.955387	12408.362305
3380.263193	1.475925	0.863198	766.005249
3380.264251	1.878292	0.863198	2753.238281
3380.265182	1.825159	0.863198	4452.460937
3380.266043	1.769198	0.863198	5975.740234
