time (s)	magX	magY	magZ
10529.103313	-7.985973	-84.010513	9.692577
10529.106650	-7.518410	-85.354759	9.634132
10529.109973	-7.869082	-85.939217	8.991234
10529.113312	-8.102863	-87.400345	8.640560
10529.116642	-8.278200	-88.452362	8.582111
10529.119975	-8.161309	-89.738167	7.997658
10529.124179	-8.219754	-92.485092	7.588543
10529.127505	-8.336645	-93.537109	6.185856
10529.130825	-8.570427	-95.699585	6.478081
10529.134201	-8.921099	-96.050262	6.185856
10529.137065	-8.804209	-97.862061	5.659843
10529.140414	-8.979544	-99.790764	5.075394
10529.143751	-9.447107	-100.901222	4.432495
10529.147082	-9.154881	-102.011688	3.322033
10529.149969	-9.856224	-103.998825	2.562244
10529.153306	-10.148451	-105.576843	2.036236
10529.156637	-10.323788	-107.154877	1.977791
10529.159968	-10.732904	-109.668022	0.867329
10529.163309	-11.375803	-110.778481	-0.652252
10529.166634	-10.849795	-112.999413	-1.002922
10529.169968	-11.492695	-114.752769	-1.821159
10529.173303	-11.200467	-116.798363	-2.873173
10529.176671	-12.018703	-119.311508	-3.340736
10529.179966	-12.369375	-122.116882	-3.808300
10529.183306	-12.661602	-123.987137	-4.684982
10529.186631	-12.661602	-126.266518	-5.561661
10529.189965	-12.836937	-129.364120	-7.022797
10529.193299	-13.070719	-131.409714	-8.191704
10529.196632	-12.895382	-133.864410	-9.068382
10529.199964	-13.830509	-136.611343	-10.763298
10529.203299	-13.947399	-139.182938	-11.289303
10529.206627	-14.298071	-142.748093	-13.334896
10529.209981	-14.707190	-144.559906	-14.679138
10529.213294	-14.999416	-147.657516	-16.198715
10529.217925	-15.466978	-153.911163	-20.289890
10529.220852	-16.168324	-157.593216	-21.926357
10529.224166	-16.928112	-159.989487	-24.030394
10529.227520	-17.220339	-163.379318	-26.075981
10529.230413	-18.213909	-166.886032	-28.413794
10529.233740	-18.272354	-170.568085	-31.452953
10529.237076	-18.915253	-174.542374	-32.855640
10529.240392	-19.441263	-178.107544	-35.368790
10529.243295	-20.317944	-183.192291	-38.115723
10529.246635	-20.434834	-186.465240	-41.447105
10529.249967	-21.194622	-190.614853	-44.194038
10529.253293	-21.253067	-195.115143	-47.350090
10529.256624	-22.480419	-198.621857	-50.506138
10529.259964	-23.006428	-203.531281	-54.480423
10529.263330	-23.473991	-207.388657	-58.922268
10529.266628	-24.000000	-212.765640	-63.013443
10529.269960	-24.701344	-217.967270	-66.520164
10529.273294	-25.227352	-223.227356	-72.014030
10529.276630	-26.454704	-227.084747	-76.397430
10529.279962	-27.565166	-232.812393	-81.832848
10529.283289	-28.383402	-237.780258	-86.566925
10529.286623	-28.500292	-242.631210	-92.645233
10529.289960	-29.318527	-248.826431	-97.729980
10529.293349	-30.487434	-255.255402	-104.684982
