crossing time (s)	slope (V/s)	crossing number
10528.434272	34.910601	518
10529.490242	34.543710	519
10530.521822	34.575088	520
10531.576238	34.651071	521
10532.615660	34.044120	522
10533.670500	34.716834	523
10534.698933	34.534909	524
10535.760943	34.707203	525
10536.793582	34.264091	526
10537.850315	34.422589	527
10538.889180	34.355338	528
10539.944824	34.592124	529
10540.976661	33.938134	530
10542.030637	33.881266	531
10543.067652	34.307380	532
10544.123702	33.797014	533
10545.160337	33.919845	534
10546.210839	34.220677	535
10547.257596	33.820694	536
10548.307422	34.367269	537
10549.346844	33.776354	538
10550.391123	33.927103	539
10551.440663	33.559656	540
10552.482146	34.020689	541
10553.531106	33.404830	542
10554.574124	33.819923	543
10555.621451	33.673637	544
10556.667888	33.881120	545
10557.715962	33.590129	546
10558.760040	33.340505	547
10559.802052	33.398135	548
10560.853197	33.521539	549
10561.900077	33.273362	550
10562.936369	33.349213	551
10563.982981	33.252470	552
10565.034679	33.284365	553
10566.076573	33.181367	554
10567.122261	32.912383	555
10568.167359	32.885290	556
10569.217742	33.067232	557
10570.261582	32.735632	558
10571.306318	32.761993	559
10572.350169	32.896643	560
10573.400861	33.093195	561
10574.443434	32.593923	562
10575.485822	32.624654	563
10576.532436	32.658047	564
10577.577645	32.607220	565
10578.621373	32.349412	566
10579.675934	32.598338	567
10580.713630	32.500323	568
10581.760463	32.583888	569
10582.808194	32.330178	570
10583.858167	32.562842	571
10584.898720	32.224853	572
10585.942796	32.447510	573
10586.986983	32.195485	574
10588.039648	32.089488	575
10589.072970	32.010186	576
10590.132390	32.210570	577
10591.169086	31.995421	578
10592.221484	32.233230	579
10593.264967	31.962240	580
10594.310801	32.106542	581
10595.351019	31.950127	582
10596.406384	32.055468	583
10597.441376	31.693698	584
10598.498779	31.961967	585
10599.534465	31.567406	586
10600.584261	31.967404	587
10601.619644	31.673471	588
10602.676900	32.152082	589
10603.710923	31.540986	590
10604.771915	31.521293	591
10605.805328	31.719646	592
10606.866473	31.978733	593
10607.892667	31.751687	594
10608.956310	31.327386	595
10609.992443	30.991188	596
10611.045914	31.783346	597
10612.075957	31.090112	598
10613.135848	32.042903	599
10614.174245	31.538374	600
10615.227351	31.346766	601
10616.263449	30.799596	602
10617.307808	31.200020	603
10618.354678	30.671126	604
10619.404512	31.089826	605
10620.442269	30.761196	606
10621.494640	31.268107	607
10622.535972	30.908493	608
10623.581827	30.790507	609
10624.652367	30.671938	610
10625.681654	31.751838	611
10626.721897	30.396731	612
10627.768555	30.726112	613
10628.813894	30.604058	614
10629.855871	31.071962	615
10630.899946	30.381466	616
10631.955173	30.373930	617
10632.999628	30.816106	618
10634.042695	30.398972	619
10635.087563	30.742604	620
10636.129480	30.653583	621
10637.175405	30.032571	622
10638.219613	30.272802	623
10639.267697	30.380211	624
10640.311085	30.380534	625
10641.358021	30.100019	626
10642.410638	30.369324	627
10643.448417	30.088382	628
10644.497385	30.138007	629
10645.545993	30.213368	630
10646.585425	30.177860	631
10647.637414	29.793933	632
10648.680433	29.857564	633
10649.722462	29.791256	634
10650.767000	30.077375	635
10651.816008	29.927283	636
10652.865634	30.054957	637
10653.905808	29.637821	638
10654.954080	29.784785	639
10655.994733	29.820316	640
10657.044182	29.767735	641
10658.085511	29.395416	642
10659.137804	29.713962	643
10660.174706	29.334538	644
10661.228131	29.866755	645
10662.271403	29.531921	646
10663.316466	29.515155	647
10664.361812	29.367039	648
10665.408101	29.405029	649
10666.448417	29.059561	650
10667.505797	29.561795	651
10668.537614	28.982141	652
10669.588806	29.727965	653
10670.625934	29.064501	654
10671.694463	29.662117	655
10672.722552	29.036655	656
10673.776751	29.208208	657
10674.815356	28.908060	658
10675.866301	29.260963	659
10676.901996	28.858334	660
10677.958944	29.204362	661
10678.994874	28.558972	662
10680.049190	29.085832	663
10681.089820	28.836580	664
10682.142635	29.075519	665
10683.175448	28.587407	666
10684.229543	28.954272	667
10685.269781	28.628767	668
10686.320491	28.806112	669
10687.360706	28.420524	670
10688.409479	28.573307	671
10689.449598	28.511232	672
10690.503913	28.615412	673
10691.546618	28.199068	674
10692.597426	28.651143	675
10693.630027	28.238696	676
10694.678620	28.510204	677
10695.727738	28.369567	678
10696.769832	28.518238	679
10697.817492	27.873063	680
10698.867079	28.286790	681
10699.909025	28.173587	682
10700.957881	28.300454	683
10702.000675	27.987850	684
10703.049567	28.221823	685
10704.094553	28.172467	686
10705.137735	28.062246	687
10706.184259	27.771477	688
10707.229819	28.142821	689
10708.269594	27.692477	690
10709.321071	27.995054	691
10710.365238	27.777047	692
10711.413558	28.028647	693
10712.461795	27.750597	694
10713.503126	27.922873	695
10714.545502	27.689094	696
10715.591084	27.804762	697
10716.637798	27.396876	698
10717.690294	27.591508	699
10718.728452	27.462578	700
10719.778209	27.433320	701
10720.824175	27.547061	702
10721.865889	27.548446	703
10722.912266	27.217711	704
10723.956941	27.579136	705
10725.002742	27.405341	706
10726.051997	27.491911	707
10727.087879	27.152549	708
10728.146195	27.225244	709
10729.179113	26.953259	710
10730.233301	27.213480	711
10731.270047	27.280193	712
10732.321613	27.567456	713
10733.365030	27.077423	714
10734.415586	27.349669	715
10735.451447	26.968226	716
10736.502530	27.029715	717
10737.551578	26.714527	718
10738.604216	27.222273	719
10739.637743	26.418926	720
10740.689422	27.374028	721
10741.722752	26.656677	722
10742.779662	27.126612	723
10743.815526	26.549542	724
10744.871499	26.577372	725
