time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
10529.486934	88.535805	1.656919	-0.059147	7
10531.577842	88.439705	1.653748	-0.059091	9
10533.668980	88.366348	1.652857	-0.059562	11
10535.759726	88.316147	1.650034	-0.059723	13
10537.850557	88.218163	1.649314	-0.059966	15
10539.941400	88.190109	1.647817	-0.060231	17
10542.031750	88.055359	1.647407	-0.061035	19
10544.122358	88.029320	1.644864	-0.061252	21
10546.212832	87.892853	1.641677	-0.061390	23
10548.303621	87.699181	1.641190	-0.061818	25
10550.394114	87.583054	1.641698	-0.062196	27
10552.485021	87.482971	1.641879	-0.062659	29
10554.576124	87.352119	1.640127	-0.063041	31
10556.667427	87.324440	1.637933	-0.063179	33
10558.758623	87.255219	1.638576	-0.063954	35
10560.849953	87.169800	1.635676	-0.064201	37
10562.940957	87.103371	1.633484	-0.064379	39
10565.032418	87.051323	1.627635	-0.064684	41
10567.123412	86.904625	1.623591	-0.065109	43
10569.214575	86.932899	1.622116	-0.065578	45
10571.305672	86.806046	1.619426	-0.065602	47
10573.397023	86.751213	1.617972	-0.065942	49
10575.488092	86.758179	1.617293	-0.066302	51
10577.579476	86.675896	1.613626	-0.066604	53
10579.671205	86.743607	1.612030	-0.066654	55
10581.762587	86.784767	1.609194	-0.066866	57
10583.854553	86.831589	1.607538	-0.067165	59
10585.946127	86.858910	1.605021	-0.067468	61
10588.038184	86.949432	1.599310	-0.067516	63
10590.130017	86.981300	1.596109	-0.068209	65
10592.221745	86.961853	1.593971	-0.068302	67
10594.313284	86.972076	1.591015	-0.068634	69
10596.404902	86.964233	1.587285	-0.069145	71
10598.496359	86.933815	1.585356	-0.069308	73
10600.587508	86.920395	1.584504	-0.069422	75
10602.678726	86.809120	1.580108	-0.069858	77
10604.770216	86.815224	1.580475	-0.070118	79
10606.861335	86.722382	1.578390	-0.070601	81
10608.952094	86.688889	1.575990	-0.070852	83
10611.042693	86.546768	1.575841	-0.071222	85
10613.133358	86.503426	1.575547	-0.071606	87
10615.223666	86.381577	1.572226	-0.071913	89
10617.313841	86.230415	1.569909	-0.071896	91
10619.404646	86.128426	1.569041	-0.072337	93
10621.495206	85.988159	1.567342	-0.072692	95
10623.586156	85.792435	1.564348	-0.073172	97
10625.676951	85.704231	1.567071	-0.073292	99
10627.767881	85.591568	1.564602	-0.073649	101
10629.859047	85.536415	1.564611	-0.074222	103
10631.950131	85.460381	1.564698	-0.075055	105
10634.040971	85.339241	1.566285	-0.075180	107
10636.131947	85.393478	1.566917	-0.075545	109
10638.223164	85.305435	1.561688	-0.075699	111
10640.314179	85.227043	1.559067	-0.075687	113
10642.405548	85.087822	1.555760	-0.075895	115
10644.496563	85.103188	1.551342	-0.076011	117
10646.587573	84.969933	1.554754	-0.076494	119
10648.678925	84.932884	1.552835	-0.076435	121
10650.770009	84.927841	1.549341	-0.076769	123
10652.861650	84.944626	1.547675	-0.077148	125
10654.953103	84.980560	1.547323	-0.077679	127
10657.044663	85.003609	1.543706	-0.077883	129
10659.136404	85.092407	1.540104	-0.077996	131
10661.228034	85.094543	1.536187	-0.078065	133
10663.319525	85.132179	1.535140	-0.078581	135
10665.411178	85.111076	1.535242	-0.079248	137
10667.502966	85.163460	1.532817	-0.079554	139
10669.594133	85.180817	1.529402	-0.079755	141
10671.685999	85.108810	1.526548	-0.080010	143
10673.776833	85.078911	1.524148	-0.080171	145
10675.867869	84.973656	1.521226	-0.080663	147
10677.958929	84.973145	1.519166	-0.080993	149
10680.049892	84.859329	1.516405	-0.080860	151
10682.140738	84.791817	1.513797	-0.080974	153
10684.231293	84.712440	1.511675	-0.081063	155
10686.321922	84.583939	1.510923	-0.081479	157
10688.412385	84.500526	1.507632	-0.081736	159
10690.503119	84.336800	1.506224	-0.082142	161
10692.593730	84.183037	1.503978	-0.082394	163
10694.683937	84.062622	1.502202	-0.082782	165
10696.774591	83.945007	1.501951	-0.082943	167
10698.865592	83.793961	1.500771	-0.083057	169
10700.956625	83.733337	1.499592	-0.083559	171
10703.047539	83.566673	1.499839	-0.083993	173
10705.138342	83.503830	1.497762	-0.084522	175
10707.229442	83.415581	1.496261	-0.084944	177
10709.320475	83.365143	1.493779	-0.085466	179
10711.411535	83.272484	1.493498	-0.085991	181
10713.502610	83.161606	1.492244	-0.086117	183
10715.593572	83.145950	1.489221	-0.086489	185
10717.684991	83.026505	1.486961	-0.086761	187
10719.776043	82.996284	1.485481	-0.087211	189
10721.867050	82.943306	1.484141	-0.087542	191
10723.958153	82.916801	1.483372	-0.087992	193
10726.049705	82.964607	1.479036	-0.088056	195
10728.141168	82.965210	1.476302	-0.088051	197
10730.232468	82.961990	1.473505	-0.088251	199
10732.323858	82.987282	1.470850	-0.088467	201
10734.415611	83.023689	1.468156	-0.088599	203
10736.506785	83.026825	1.462782	-0.088757	205
10738.599099	83.092239	1.463204	-0.088735	207
10740.690396	83.095177	1.461468	-0.089104	209
10742.781870	83.124992	1.460990	-0.089327	211
10744.873205	82.992889	1.457619	-0.089773	213
