time (s)	coil I (A)	last det (V)	int current (uC)
3679.024178	1.566376	0.956796	812.948975
3679.025136	1.885770	0.956796	2619.516846
3679.026008	1.837837	0.956796	4222.110352
3679.027046	1.771802	0.956796	6061.240234
3679.028085	1.709912	0.956796	7837.838867
3679.028979	1.658456	0.956796	9320.498047
3679.029921	1.608666	0.956796	10835.861328
3679.030989	0.599930	0.956796	11476.586914
3679.031927	0.090289	0.956796	11561.278320
3679.032791	0.090516	0.956796	11639.484375
3679.033865	0.090608	0.956796	11736.796875
3679.034870	0.090494	0.956796	11827.744141
3679.035761	0.090516	0.956796	11908.394531
3679.036719	0.090579	0.956796	11995.168945
3679.037766	0.090575	0.956796	12090.000977
3679.038697	0.090439	0.956796	12174.200195
3679.039559	0.090560	0.956796	12252.262695
3679.040633	0.090549	0.956796	12349.512695
3680.078553	1.475603	0.905705	647.789734
3680.079430	1.890154	0.905705	2305.454590
3680.080411	1.842719	0.905705	4113.161621
3680.081430	1.777258	0.905705	5924.187988
3680.082313	1.723561	0.905705	7446.091797
3680.083174	1.672632	0.905705	8886.227539
3680.084246	1.614540	0.905705	10617.014648
3680.085177	1.017004	0.905705	11563.845703
3680.086050	0.095087	0.905705	11646.856445
3680.087017	0.090428	0.905705	11734.300781
3680.088047	0.090546	0.905705	11827.562500
3680.088942	0.090502	0.905705	11908.561523
3680.089805	0.090425	0.905705	11986.597656
3680.090873	0.090637	0.905705	12083.398437
3680.091819	0.090450	0.905705	12168.964844
3680.092680	0.090513	0.905705	12246.896484
3680.093731	0.090590	0.905705	12342.106445
3680.094735	0.090553	0.905705	12433.021484
3681.111296	1.528455	0.928437	738.243530
3681.112180	1.889359	0.928437	2408.437012
3681.113149	1.840239	0.928437	4191.628906
3681.114203	1.772673	0.928437	6060.026367
3681.115125	1.716757	0.928437	7642.875977
3681.115987	1.665655	0.928437	9078.670898
3681.117056	1.608098	0.928437	10797.727539
3681.118054	0.732356	0.928437	11528.619141
3681.118924	0.090875	0.928437	11607.680664
3681.119907	0.090557	0.928437	11696.698242
3681.120967	0.090516	0.928437	11792.645508
3681.121868	0.090538	0.928437	11874.220703
3681.122734	0.090443	0.928437	11952.544922
3681.123807	0.090601	0.928437	12049.759766
3681.124795	0.090542	0.928437	12139.214844
3681.125694	0.090425	0.928437	12220.506836
3681.126670	0.090634	0.928437	12308.964844
3681.127713	0.090564	0.928437	12403.422852
3682.172853	1.436865	0.924493	604.920227
3682.173899	1.885342	0.924493	2576.987793
3682.174858	1.833937	0.924493	4335.732910
3682.175743	1.777635	0.924493	5908.940430
3682.176675	1.721287	0.924493	7513.179687
3682.177739	1.660660	0.924493	9280.122070
3682.178639	1.610266	0.924493	10729.361328
3682.179514	1.007878	0.924493	11611.254883
3682.180560	0.091970	0.924493	11707.456055
3682.181527	0.090461	0.924493	11794.932617
3682.182388	0.090461	0.924493	11872.820312
3682.183421	0.090688	0.924493	11966.501953
3682.184456	0.090513	0.924493	12060.182617
3682.185338	0.090447	0.924493	12139.957031
3682.186269	0.090483	0.924493	12224.197266
3682.187316	0.090590	0.924493	12319.044922
3682.188257	0.090421	0.924493	12404.130859
3682.189118	0.090553	0.924493	12482.096680
3683.201480	1.456556	0.980721	633.602051
3683.202355	1.890674	0.980721	2287.941650
3683.203223	1.849581	0.980721	3893.378418
3683.204284	1.783400	0.980721	5785.565430
3683.205177	1.728219	0.980721	7328.865234
3683.206044	1.677371	0.980721	8783.145508
3683.207079	1.619747	0.980721	10459.583984
3683.208047	1.138462	0.980721	11561.615234
3683.208925	0.100851	0.980721	11650.162109
3683.209808	0.090403	0.980721	11729.988281
3683.210899	0.090502	0.980721	11828.725586
3683.211775	0.090538	0.980721	11908.037109
3683.212639	0.090494	0.980721	11986.224609
