time (s)	magX	magY	magZ
6463.469967	38.942142	405.715973	-555.308594
6463.473251	39.351257	404.547058	-571.907043
6463.476580	40.227940	401.566345	-589.440613
6463.479913	41.981300	397.825836	-606.214478
6463.483249	42.974869	392.974884	-623.748047
6463.486611	43.442432	388.649933	-641.164795
6463.489910	44.669785	382.454712	-659.808899
6463.493264	46.014027	377.253082	-678.043823
6463.496576	47.007599	369.187622	-695.694336
6463.499907	48.819405	361.706604	-713.753967
6463.503240	49.696087	352.355347	-732.047302
6463.506580	51.040325	342.887207	-749.580933
6463.509906	51.975456	331.957916	-766.822266
6463.513248	53.261253	321.145538	-785.349487
6463.516573	54.079491	309.865570	-801.947998
6463.519909	55.540619	296.890717	-819.423096
6463.523242	56.417301	283.623627	-836.080017
6463.526575	57.586208	269.479858	-853.730530
6463.529932	58.345997	254.459381	-883.070129
6463.534160	60.508476	223.074219	-899.084167
6463.537429	60.683807	206.709534	-914.630554
6463.540761	61.969612	188.591476	-928.073059
6463.544082	62.729401	171.116302	-940.288086
6463.546992	63.722969	152.180023	-952.795471
6463.550338	63.839859	132.893051	-964.659851
6463.553686	64.424316	112.846291	-975.121521
6463.557017	64.716537	93.033318	-985.466309
6463.559910	64.950317	72.343658	-993.590332
6463.563242	65.242554	52.004677	-1000.545288
6463.566613	65.593224	31.899471	-1007.500244
6463.569907	65.827003	10.625365	-1010.714783
6463.573258	65.768555	-10.882524	-1015.331970
6463.576572	65.593224	-31.747517	-1017.903564
6463.579901	65.184105	-52.729401	-1020.650452
6463.583242	64.482758	-72.834595	-1019.423157
6463.586572	64.541206	-93.232025	-1017.552917
6463.589898	63.898308	-112.869667	-1017.319092
6463.593238	62.963181	-132.390411	-1013.520081
6463.596565	62.495613	-151.794266	-1010.130249
6463.599895	61.385155	-171.315018	-1003.350708
6463.603232	61.151379	-188.497940	-998.441284
6463.606570	60.099354	-207.434250	-988.622437
6463.609903	59.865574	-223.915833	-979.621826
6463.613234	58.229103	-240.455856	-971.030396
6463.616587	57.293980	-256.353027	-958.347778
6463.619901	55.774399	-270.905884	-945.022156
6463.623231	54.780834	-285.108124	-931.462891
6463.626566	53.553478	-299.251892	-900.603699
6463.630818	51.566338	-324.558746	-885.641724
6463.634085	50.105202	-335.546478	-868.283447
6463.637416	48.819405	-346.534180	-851.042053
6463.640747	48.001167	-356.119232	-831.872009
6463.643656	46.364700	-365.002930	-814.104614
6463.647008	44.845119	-373.068390	-794.642334
6463.650319	43.676212	-380.549377	-775.647522
6463.653681	41.922852	-387.796600	-756.535889
6463.656565	41.338402	-392.180023	-735.612488
6463.659895	39.935711	-399.719452	-716.968384
6463.663275	39.175922	-402.291046	-697.389221
