time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6462.538865	90.312988	1.378871	-0.048766	29
6464.630058	90.294815	1.376812	-0.048972	31
6466.720967	90.261131	1.374126	-0.049392	33
6468.811748	90.186989	1.373113	-0.049636	35
6470.902382	90.126511	1.371903	-0.049703	37
6472.993120	90.109383	1.370916	-0.050037	39
6475.083083	90.028282	1.368887	-0.050407	41
6477.173214	89.947868	1.367735	-0.050745	43
6479.263448	89.933662	1.365641	-0.051094	45
6481.353345	89.806648	1.364121	-0.051255	47
6483.443489	89.732246	1.364575	-0.051816	49
6485.533086	89.626144	1.361881	-0.052085	51
6487.623778	89.497475	1.358557	-0.052490	53
6489.714244	89.402527	1.356348	-0.052862	55
6491.804410	89.321114	1.354081	-0.052982	57
6493.895086	89.240067	1.352655	-0.053419	59
6495.986026	89.114044	1.351245	-0.053797	61
6498.076821	89.067284	1.350322	-0.053957	63
6500.167547	89.002647	1.348763	-0.054512	65
6502.259034	88.947136	1.345934	-0.054717	67
6504.349308	88.908897	1.342482	-0.054898	69
6506.440582	88.788414	1.338057	-0.054866	71
6508.531430	88.746002	1.336040	-0.055160	73
6510.622113	88.713997	1.335137	-0.055518	75
6512.713102	88.682755	1.333439	-0.056113	77
6514.803992	88.637604	1.332904	-0.056455	79
6516.895494	88.658150	1.330691	-0.056903	81
6518.986958	88.719139	1.329628	-0.057074	83
6521.078451	88.739838	1.326776	-0.057435	85
6523.169824	88.799072	1.326006	-0.057732	87
6525.261625	88.824745	1.322268	-0.058084	89
6527.353139	88.871452	1.319302	-0.058436	91
6529.444852	88.907028	1.315521	-0.058693	93
6531.536423	88.897743	1.313566	-0.059146	95
6533.627676	88.873611	1.310679	-0.059214	97
6535.718877	88.867996	1.308876	-0.059507	99
6537.810160	88.855469	1.305917	-0.059705	101
6539.900972	88.803329	1.304410	-0.060186	103
6541.991787	88.736809	1.304192	-0.060391	105
6544.082232	88.689529	1.302759	-0.060641	107
6546.172551	88.615173	1.301509	-0.060990	109
6548.263308	88.530281	1.299358	-0.061359	111
6550.353380	88.456902	1.298111	-0.061492	113
6552.443338	88.392258	1.296823	-0.061764	115
6554.533412	88.300537	1.296506	-0.062180	117
6556.623494	88.209076	1.296852	-0.062507	119
6558.713627	88.139107	1.296924	-0.063018	121
6560.803934	87.987251	1.294543	-0.063243	123
6562.893845	87.883743	1.292175	-0.063388	125
6564.984523	87.746109	1.291725	-0.063227	127
6567.075064	87.689407	1.290425	-0.063677	129
6569.165725	87.582047	1.290434	-0.064042	131
6571.256364	87.529655	1.288773	-0.064462	133
6573.347261	87.449356	1.286596	-0.064670	135
6575.438050	87.385765	1.284273	-0.065007	137
6577.528746	87.284889	1.283112	-0.065297	139
6579.619358	87.212471	1.283454	-0.065656	141
6581.710293	87.162903	1.281589	-0.065983	143
6583.801119	87.158180	1.277946	-0.066193	145
6585.892561	87.096375	1.275368	-0.066399	147
6587.983355	87.110420	1.273265	-0.066718	149
6590.074379	87.101990	1.271878	-0.066858	151
6592.165548	87.086342	1.269227	-0.067262	153
6594.257141	87.126640	1.267934	-0.067336	155
6596.348598	87.172638	1.265341	-0.067595	157
6598.439833	87.232544	1.262921	-0.068058	159
6600.531078	87.288734	1.260840	-0.067961	161
6602.623174	87.298874	1.258396	-0.068487	163
6604.714393	87.283730	1.257594	-0.068539	165
6606.805801	87.326859	1.255638	-0.068861	167
6608.896864	87.264275	1.253079	-0.069163	169
6610.988123	87.195343	1.251101	-0.069435	171
6613.079189	87.159988	1.248582	-0.069469	173
6615.169346	87.138329	1.246481	-0.069821	175
6617.260149	87.060196	1.245964	-0.070306	177
6619.350451	87.006165	1.245843	-0.070538	179
6621.440981	86.913445	1.246912	-0.070860	181
6623.530932	86.813591	1.243788	-0.071078	183
6625.621192	86.725128	1.240722	-0.071175	185
6627.711255	86.627213	1.238197	-0.071297	187
6629.801530	86.488342	1.236153	-0.071579	189
6631.891412	86.383095	1.235735	-0.071861	191
6633.981450	86.285484	1.234484	-0.072381	193
6636.071951	86.153328	1.233083	-0.072698	195
6638.162367	86.024574	1.231706	-0.072874	197
6640.253019	85.917130	1.230996	-0.073162	199
6642.344070	85.811211	1.229845	-0.073496	201
6644.434371	85.717712	1.228034	-0.073577	203
6646.525183	85.676949	1.226292	-0.073952	205
6648.615999	85.619461	1.224106	-0.073989	207
6650.706912	85.541245	1.222837	-0.074414	209
6652.797743	85.494461	1.223036	-0.074609	211
6654.888439	85.436737	1.221862	-0.075079	213
6656.979354	85.325851	1.220161	-0.075225	215
6659.070137	85.347527	1.218874	-0.075521	217
6661.161108	85.317513	1.216859	-0.075712	219
6663.252300	85.311295	1.213865	-0.076040	221
6665.343414	85.321899	1.211419	-0.076169	223
6667.434931	85.334389	1.210493	-0.076447	225
6669.526531	85.366577	1.209805	-0.076877	227
