time (s)	coil I (A)	last det (V)	int current (uC)
6556.967914	1.495854	0.002193	662.663513
6556.968786	1.889180	0.002193	2310.028076
6556.969864	1.835171	0.002193	4288.342285
6556.970796	1.775054	0.002193	5942.692383
6556.971665	1.721572	0.002193	7438.738770
6556.972623	1.666688	0.002193	9035.425781
6556.973656	1.609969	0.002193	10698.524414
6556.974554	1.562227	0.002193	12101.404297
6556.975421	1.516234	0.002193	13415.979492
6556.976489	1.462566	0.002193	14978.000000
6556.977440	1.415123	0.002193	16323.782227
6556.978321	1.370281	0.002193	17531.000000
6556.979270	1.327969	0.002193	18791.242187
6556.980315	1.283478	0.002193	20132.476562
6556.981220	1.158131	0.002193	21180.585937
6556.982185	0.149546	0.002193	21324.898437
6556.983226	0.090487	0.002193	21419.095703
6556.984147	0.090652	0.002193	21502.585937
6556.985010	0.090593	0.002193	21580.767578
6556.986070	0.090696	0.002193	21676.904297
6556.987084	0.090564	0.002193	21768.736328
6556.987961	0.090623	0.002193	21848.212891
6556.988945	0.090707	0.002193	21937.468750
6556.989992	0.090582	0.002193	22032.308594
6556.990907	0.090527	0.002193	22115.140625
6558.003213	1.524239	0.000614	765.168213
6558.004130	1.886829	0.000614	2495.390137
6558.004997	1.839792	0.000614	4090.490234
6558.006088	1.771809	0.000614	6023.534180
6558.007081	1.710945	0.000614	7722.502441
6558.007976	1.659840	0.000614	9208.059570
6558.008984	1.602909	0.000614	10823.791992
6558.010042	1.547523	0.000614	12461.071289
6558.010926	1.499429	0.000614	13786.566406
6558.011795	1.453081	0.000614	15049.293945
6558.012902	1.402394	0.000614	16601.744141
6558.013866	1.357954	0.000614	17910.812500
6558.014731	1.318997	0.000614	19051.744141
6558.015758	1.276165	0.000614	20362.365234
6558.016800	0.779370	0.000614	21174.468750
6558.017668	0.092468	0.000614	21254.730469
6558.018590	0.090615	0.000614	21338.277344
6558.019661	0.090681	0.000614	21435.396484
6558.020602	0.090597	0.000614	21520.648437
6558.021509	0.090549	0.000614	21602.777344
6558.022383	0.090604	0.000614	21681.964844
6558.023408	0.090568	0.000614	21774.796875
6558.024302	0.090538	0.000614	21855.738281
6558.025176	0.090546	0.000614	21934.875000
6558.026067	0.090560	0.000614	22015.564453
6559.057350	1.455883	0.001521	631.853027
6559.058217	1.887869	0.001521	2268.635010
6559.059309	1.834457	0.001521	4271.861816
6559.060304	1.770458	0.001521	6033.467285
6559.061199	1.716595	0.001521	7569.820312
6559.062179	1.660975	0.001521	9197.576172
6559.063246	1.603253	0.001521	10908.247070
6559.064148	1.552126	0.001521	12308.265625
6559.065018	1.502673	0.001521	13615.591797
6559.066133	1.448785	0.001521	15230.987305
6559.067112	1.402119	0.001521	16603.662109
6559.067975	1.362334	0.001521	17779.355469
6559.069032	1.314262	0.001521	19168.529297
6559.070071	1.271257	0.001521	20489.365234
6559.070956	0.845186	0.001521	21237.353516
6559.071890	0.094720	0.001521	21325.822266
6559.072959	0.090590	0.001521	21422.662109
6559.073890	0.090538	0.001521	21506.953125
6559.074752	0.090564	0.001521	21585.019531
6559.075801	0.090670	0.001521	21680.132812
6559.076820	0.090557	0.001521	21772.410156
6559.077701	0.090520	0.001521	21852.158203
6559.078609	0.090582	0.001521	21934.406250
6559.079485	0.090663	0.001521	22013.826172
6559.080442	0.090641	0.001521	22100.570312
6560.093651	1.452459	0.007970	639.081726
6560.094521	1.888748	0.007970	2282.292236
6560.095545	1.838767	0.007970	4165.189453
6560.096596	1.772172	0.007970	6027.741699
6560.097479	1.717350	0.007970	7544.161621
6560.098412	1.663663	0.007970	9096.359375
6560.099488	1.605209	0.007970	10823.563477
6560.100427	1.554225	0.007970	12282.980469
6560.101300	1.505501	0.007970	13597.282227
6560.102343	1.452737	0.007970	15112.486328
6560.103364	1.403646	0.007970	16545.609375
6560.104253	1.361873	0.007970	17756.314453
6560.105213	1.319615	0.007970	19023.144531
6560.106276	1.274641	0.007970	20378.087891
6560.107218	0.882795	0.007970	21209.681641
6560.108079	0.095914	0.007970	21292.263672
6560.109155	0.090670	0.007970	21389.824219
6560.110149	0.090524	0.007970	21479.804687
6560.111047	0.090575	0.007970	21561.140625
6560.112013	0.090597	0.007970	21648.658203
6560.113057	0.090626	0.007970	21743.271484
6560.113965	0.090575	0.007970	21825.513672
6560.114829	0.090623	0.007970	21903.812500
6560.115904	0.090656	0.007970	22001.267578
6560.116897	0.090546	0.007970	22091.179687
6561.146382	1.520164	0.001984	760.081787
6561.147273	1.887151	0.001984	2441.533203
6561.148144	1.839459	0.001984	4043.702148
6561.149261	1.770700	0.001984	6021.573242
6561.150229	1.712622	0.001984	7679.391602
6561.151103	1.662228	0.001984	9132.178711
6561.152131	1.606750	0.001984	10783.917969
6561.153169	1.552269	0.001984	12395.173828
6561.154063	1.505171	0.001984	13740.796875
6561.154998	1.457021	0.001984	15103.112305
6561.156072	1.402255	0.001984	16609.134766
6561.157019	1.358302	0.001984	17895.447266
6561.157888	1.318407	0.001984	19041.142578
6561.158946	1.274172	0.001984	20389.216797
6561.159961	0.781736	0.001984	21182.677734
6561.160853	0.092395	0.001984	21265.093750
6561.161841	0.090549	0.001984	21354.556641
6561.162892	0.090557	0.001984	21449.732422
6561.163803	0.090571	0.001984	21532.242187
6561.164660	0.090619	0.001984	21609.902344
6561.165735	0.090670	0.001984	21707.373047
6561.166732	0.090498	0.001984	21797.599609
6561.167606	0.090553	0.001984	21876.742187
6561.168584	0.090703	0.001984	21965.449219
6561.169650	0.090626	0.001984	22062.056641
6562.186715	1.484136	0.003676	653.019714
6562.187607	1.887817	0.003676	2336.952881
6562.188479	1.846091	0.003676	3946.744629
6562.189493	1.782122	0.003676	5753.815918
6562.190410	1.724498	0.003676	7335.180664
6562.191284	1.673236	0.003676	8797.588867
6562.192272	1.617253	0.003676	10395.435547
6562.193276	1.562055	0.003676	11963.738281
6562.194169	1.515743	0.003676	13317.296875
6562.195036	1.468989	0.003676	14590.910156
6562.196126	1.418086	0.003676	16136.624023
6562.197055	1.374210	0.003676	17413.265625
6562.197941	1.333945	0.003676	18595.140625
6562.198920	1.291974	0.003676	19859.982422
6562.199934	1.224287	0.003676	21101.410156
6562.200830	0.191726	0.003676	21273.197266
6562.201691	0.090557	0.003676	21351.166016
6562.202773	0.090681	0.003676	21449.283203
6562.203685	0.090593	0.003676	21531.904297
6562.204544	0.090549	0.003676	21609.685547
6562.205607	0.090630	0.003676	21706.025391
6562.206607	0.090652	0.003676	21796.677734
6562.207480	0.090494	0.003676	21875.679687
6562.208451	0.090721	0.003676	21963.769531
6562.209503	0.090641	0.003676	22059.123047
6563.235366	1.527125	-0.003950	787.996643
6563.236396	1.881394	-0.003950	2725.832275
6563.237274	1.831611	-0.003950	4333.986816
6563.238235	1.770450	-0.003950	6035.389648
6563.239297	1.706349	-0.003950	7847.532227
6563.240211	1.653241	-0.003950	9358.594727
6563.241087	1.603524	-0.003950	10763.282227
6563.242155	1.545769	-0.003950	12414.164062
6563.243162	1.492932	-0.003950	13917.546875
6563.244058	1.447925	-0.003950	15214.887695
6563.244976	1.404360	-0.003950	16504.089844
6563.245844	1.362902	-0.003950	17687.087891
6563.246843	1.319374	-0.003950	19005.142578
6563.247761	1.280760	-0.003950	20180.880859
6563.248630	1.099149	-0.003950	21136.041016
6563.249671	0.107076	-0.003950	21247.507812
6563.250543	0.090355	-0.003950	21326.296875
6563.251412	0.090509	-0.003950	21404.949219
6563.252331	0.090582	-0.003950	21488.193359
6563.253318	0.090472	-0.003950	21577.490234
6563.254237	0.090546	-0.003950	21660.701172
6563.255115	0.090535	-0.003950	21740.191406
6563.256165	0.090656	-0.003950	21835.378906
6563.257081	0.090498	-0.003950	21918.275391
6563.257958	0.090487	-0.003950	21997.632812
6564.278337	1.531663	0.003897	856.199402
6564.279390	1.879101	0.003897	2834.893066
6564.280273	1.827089	0.003897	4448.212402
6564.281142	1.768733	0.003897	5985.241211
6564.282254	1.703990	0.003897	7880.078613
6564.283229	1.649015	0.003897	9487.868164
6564.284100	1.601235	0.003897	10882.543945
6564.285113	1.545784	0.003897	12448.422852
6564.286172	1.489688	0.003897	14026.001953
6564.287064	1.444772	0.003897	15314.738281
6564.288002	1.400098	0.003897	16628.029297
