crossing time (s)	slope (V/s)	crossing number
6462.539340	24.403378	3613
6463.571871	24.492340	3614
6464.630383	24.321395	3615
6465.663811	24.128787	3616
6466.719696	24.829054	3617
6467.752536	24.467294	3618
6468.810481	24.507416	3619
6469.848043	24.191245	3620
6470.899586	24.834632	3621
6471.936892	24.081401	3622
6472.996752	24.475848	3623
6474.026538	23.724377	3624
6475.076855	24.132266	3625
6476.116864	23.920653	3626
6477.170289	23.794072	3627
6478.213496	24.114315	3628
6479.261717	23.865864	3629
6480.294279	23.683246	3630
6481.353120	24.699456	3631
6482.390203	23.413785	3632
6483.445406	22.970273	3633
6484.482458	23.639393	3634
6485.528911	23.669147	3635
6486.576203	23.961864	3636
6487.628493	23.608872	3637
6488.664565	23.403268	3638
6489.717772	23.707211	3639
6490.761679	23.657482	3640
6491.801810	23.628158	3641
6492.849648	23.385312	3642
6493.891664	23.426516	3643
6494.938355	23.489178	3644
6495.988359	23.573260	3645
6497.033693	23.173408	3646
6498.076959	23.047388	3647
6499.123636	23.092495	3648
6500.162073	23.421903	3649
6501.216891	23.232148	3650
6502.266518	23.409230	3651
6503.304523	23.062025	3652
6504.343476	23.379748	3653
6505.393663	23.285704	3654
6506.442502	23.179827	3655
6507.490809	23.135393	3656
6508.534741	22.764513	3657
6509.574814	23.420969	3658
6510.619847	23.444241	3659
6511.661352	22.928870	3660
6512.712295	23.071943	3661
6513.769637	22.996247	3662
6514.802237	22.845524	3663
6515.850652	22.733442	3664
6516.894723	22.552388	3665
6517.938680	22.397947	3666
6518.988109	22.719716	3667
6520.031244	22.619966	3668
6521.080151	22.877873	3669
6522.122482	22.796585	3670
6523.168532	22.912400	3671
6524.210482	22.235879	3672
6525.261798	22.644581	3673
6526.297956	22.397396	3674
6527.351451	22.576830	3675
6528.394741	22.295730	3676
6529.443287	22.335228	3677
6530.478781	22.197929	3678
6531.534927	22.538778	3679
6532.570921	22.264064	3680
6533.625870	22.538237	3681
6534.662818	22.248220	3682
6535.717721	22.299480	3683
6536.747523	22.117730	3684
6537.813567	22.124520	3685
6538.842695	21.844562	3686
6539.900930	22.182156	3687
6540.931452	21.907705	3688
6541.993293	22.259895	3689
6543.022665	21.838493	3690
6544.081020	22.429864	3691
6545.116553	22.018088	3692
6546.169852	21.955250	3693
6547.206030	21.721529	3694
6548.267673	21.986428	3695
6549.297806	21.722336	3696
6550.353882	21.737923	3697
6551.387264	21.530510	3698
6552.443685	22.016785	3699
6553.482880	21.520495	3700
6554.534240	21.864813	3701
6555.567339	21.594804	3702
6556.624089	21.625190	3703
6557.666711	21.592344	3704
6558.715451	21.683940	3705
6559.754268	21.218866	3706
6560.808835	21.431457	3707
6561.844794	21.240590	3708
6562.891334	20.871433	3709
6563.943399	21.279836	3710
6564.983780	21.649297	3711
6566.026891	21.253262	3712
6567.075728	21.564286	3713
6568.120327	21.303375	3714
6569.167246	21.394436	3715
6570.211583	21.169735	3716
6571.254551	21.077487	3717
6572.299926	21.134562	3718
6573.347997	21.089619	3719
6574.391989	20.835459	3720
6575.438414	21.382127	3721
6576.478169	21.075779	3722
6577.530293	21.149930	3723
6578.573349	20.869959	3724
6579.617644	21.279825	3725
6580.666693	20.910244	3726
6581.709997	20.910950	3727
6582.755435	20.830874	3728
6583.797843	20.775314	3729
6584.846098	19.944544	3730
6585.897206	20.508603	3731
6586.932676	20.782315	3732
6587.986627	20.872338	3733
6589.030438	20.782802	3734
6590.074006	20.861035	3735
6591.120079	20.536892	3736
6592.161038	20.439171	3737
6593.207092	20.259365	3738
6594.259242	20.679807	3739
6595.301869	20.407555	3740
6596.352743	21.186123	3741
6597.388460	20.491115	3742
6598.437550	20.930521	3743
6599.475289	20.198348	3744
6600.529011	20.178374	3745
6601.565126	20.243483	3746
6602.623775	19.868877	3747
6603.656187	19.425355	3748
6604.713805	20.156435	3749
6605.748988	20.023143	3750
6606.806179	20.396415	3751
6607.837615	19.833017	3752
6608.898324	19.711608	3753
6609.934045	19.888194	3754
6610.989032	19.653656	3755
6612.028151	19.790980	3756
6613.078490	20.372817	3757
6614.109875	20.144172	3758
6615.167871	19.938136	3759
6616.200817	19.697467	3760
6617.260962	20.402497	3761
6618.292283	19.845448	3762
6619.348651	19.670117	3763
6620.387123	19.688414	3764
6621.444069	19.958871	3765
6622.478574	19.932860	3766
6623.528887	19.839921	3767
6624.567667	19.978447	3768
6625.620290	19.659187	3769
6626.658148	19.692978	3770
6627.710565	19.571791	3771
6628.752704	19.551280	3772
6629.802980	19.970595	3773
6630.841331	19.326991	3774
6631.890142	19.631364	3775
6632.933455	19.766643	3776
6633.975763	19.795923	3777
6635.023385	19.690990	3778
6636.067492	19.591638	3779
6637.118112	19.194427	3780
6638.161656	19.555716	3781
6639.209371	19.191272	3782
6640.251195	19.103509	3783
6641.294813	19.524862	3784
6642.350256	19.344281	3785
6643.389732	19.395395	3786
6644.437219	19.447952	3787
6645.483736	19.303864	3788
6646.523978	19.673490	3789
6647.570780	18.802319	3790
6648.614571	18.359166	3791
6649.661968	19.167323	3792
6650.708503	19.356014	3793
6651.752253	19.285860	3794
6652.802238	19.077617	3795
6653.840598	18.853258	3796
6654.892423	19.027099	3797
6655.932896	18.984576	3798
6656.981368	19.065863	3799
6658.028645	18.719701	3800
6659.070119	19.075431	3801
6660.113524	18.864170	3802
6661.160887	18.936788	3803
6662.203935	18.796976	3804
6663.253428	18.862391	3805
6664.296282	18.581383	3806
6665.341483	18.978171	3807
6666.384816	18.310994	3808
6667.433721	18.802225	3809
6668.482045	19.025658	3810
6669.529998	18.679756	3811
