time (s)	det(V)
6463.466935	-1.357429	
6463.468563	-1.371109	
6463.470231	-1.384769	
6463.471811	-1.399167	
6463.473487	-1.413721	
6463.475068	-1.420807	
6463.476740	-1.430942	
6463.478336	-1.438805	
6463.480029	-1.444824	
6463.481598	-1.442713	
6463.483309	-1.448920	
6463.484856	-1.447837	
6463.486567	-1.447639	
6463.488108	-1.446092	
6463.489825	-1.446979	
6463.491349	-1.437911	
6463.493079	-1.431836	
6463.494574	-1.423711	
6463.496347	-1.416867	
6463.497830	-1.394103	
6463.499610	-1.386747	
6463.501091	-1.373180	
6463.502867	-1.356112	
6463.504349	-1.335930	
6463.506105	-1.327934	
6463.507604	-1.301996	
6463.509388	-1.279268	
6463.510894	-1.258731	
6463.512616	-1.241381	
6463.514130	-1.206718	
6463.515852	-1.187644	
6463.517379	-1.162386	
6463.519068	-1.132701	
6463.520625	-1.103343	
6463.522303	-1.079785	
6463.523864	-1.048993	
6463.525532	-1.015074	
6463.527109	-0.985909	
6463.528749	-0.953002	
6463.530342	-0.918177	
6463.531968	-0.881926	
6463.533576	-0.849651	
6463.535095	-0.815556	
6463.536735	-0.780066	
6463.538211	-0.747658	
6463.539852	-0.715597	
6463.541336	-0.677924	
6463.542978	-0.642495	
6463.544456	-0.608029	
6463.546083	-0.577583	
6463.547580	-0.524256	
6463.549243	-0.494805	
6463.550769	-0.458489	
6463.552395	-0.419531	
6463.553954	-0.386169	
6463.555559	-0.354555	
6463.557149	-0.314844	
6463.558732	-0.275519	
6463.560334	-0.238467	
6463.561970	-0.199823	
6463.563590	-0.158178	
6463.565209	-0.115550	
6463.566875	-0.079050	
6463.568453	-0.037900	
6463.570111	0.003490	
6463.571679	0.043463	
6463.573365	0.080166	
6463.574951	0.121001	
6463.576634	0.161626	
6463.578189	0.200906	
6463.579884	0.237443	
6463.581435	0.284236	
6463.583158	0.319109	
6463.584684	0.358905	
6463.586413	0.398355	
6463.587908	0.433743	
6463.589656	0.460322	
6463.591140	0.503985	
6463.592933	0.545582	
6463.594423	0.579427	
6463.596216	0.615006	
6463.597692	0.666995	
6463.599473	0.699198	
6463.600962	0.734703	
6463.602712	0.776022	
6463.604212	0.814440	
6463.605961	0.837103	
6463.607485	0.880440	
6463.609227	0.919941	
6463.610760	0.952760	
6463.612466	0.983903	
6463.614003	1.027594	
6463.615708	1.057380	
6463.617265	1.088740	
6463.618945	1.121925	
6463.620514	1.153463	
6463.622162	1.180920	
6463.623756	1.207511	
6463.625415	1.236229	
6463.626999	1.255456	
6463.628643	1.279340	
6463.630246	1.304964	
6463.631766	1.329271	
6463.633412	1.347858	
6463.634893	1.367927	
6463.636536	1.388661	
6463.638014	1.408665	
6463.639656	1.413439	
6463.641135	1.433604	
6463.642759	1.445532	
6463.644254	1.457762	
6463.645934	1.460917	
6463.647458	1.487113	
6463.649087	1.484365	
6463.650643	1.489018	
6463.652257	1.494988	
6463.653847	1.497163	
6463.655421	1.495101	
6463.657025	1.493767	
6463.658658	1.492059	
6463.660252	1.486174	
6463.661881	1.478134	
6463.663544	1.474339	
6463.665127	1.466850	
6463.666792	1.452807	
6463.668379	1.444892	
6463.670058	1.430946	
6463.671644	1.415058	
6463.673300	1.393398	
6463.674866	1.380532	
6463.676548	1.358565	
6463.678111	1.340027	
6463.679829	1.316380	
6463.681341	1.304960	
6463.683090	1.274861	
6463.684581	1.254091	
6463.686344	1.236797	
6463.687828	1.216817	
6463.689612	1.180392	
6463.691098	1.160404	
6463.692891	1.133402	
6463.694365	1.107343	
6463.696131	1.073573	
6463.697614	1.066210	
6463.699356	1.029278	
6463.700852	1.002880	
6463.702596	0.975423	
6463.704118	0.956442	
6463.705854	0.913601	
6463.707378	0.894241	
6463.709087	0.868004	
6463.710635	0.840934	
6463.712320	0.809602	
6463.713868	0.799056	
6463.715539	0.766829	
6463.717119	0.742655	
6463.718759	0.717430	
6463.720361	0.695918	
6463.722013	0.669440	
6463.723624	0.645158	
6463.725147	0.626990	
6463.726781	0.602353	
6463.728267	0.583049	
6463.729914	0.562557	
6463.731404	0.550194	
6463.733054	0.526028	
6463.734531	0.509298	
6463.736173	0.489656	
6463.737654	0.479634	
6463.739251	0.447081	
6463.740759	0.438271	
6463.742407	0.425219	
6463.743946	0.409485	
6463.745548	0.395873	
6463.747139	0.384416	
6463.748711	0.371478	
6463.750323	0.351408	
6463.751947	0.340814	
6463.753575	0.328028	
6463.755210	0.315262	
6463.756857	0.295878	
6463.758468	0.288414	
6463.760099	0.274858	
6463.761689	0.266596	
6463.763375	0.254072	
6463.764934	0.250358	
6463.766642	0.235824	
6463.768195	0.227256	
6463.769902	0.218321	
6463.771443	0.208290	
6463.773136	0.192954	
6463.774673	0.189136	
6463.776408	0.182573	
6463.777891	0.172088	
6463.779660	0.161626	
6463.781141	0.167427	
6463.782915	0.152800	
6463.784396	0.147144	
6463.786168	0.139688	
6463.787647	0.138870	
6463.789394	0.120856	
6463.790898	0.120485	
6463.792662	0.116626	
6463.794168	0.110418	
6463.795901	0.100662	
6463.797419	0.106462	
6463.799140	0.096017	
6463.800667	0.090941	
6463.802385	0.089568	
6463.803943	0.082736	
6463.805643	0.077781	
6463.807200	0.072649	
6463.808884	0.072653	
6463.810465	0.066634	
6463.812125	0.062610	
6463.813708	0.064415	
6463.815346	0.061007	
6463.816947	0.055411	
6463.818569	0.054163	
6463.820207	0.051935	
6463.821732	0.049703	
6463.823353	0.043093	
6463.824835	0.044471	
6463.826458	0.041474	
6463.827950	0.039105	
6463.829572	0.033131	
6463.831070	0.045421	
6463.832665	0.033570	
6463.834184	0.034521	
6463.835840	0.031306	
6463.837369	0.031185	
6463.838997	0.022931	
6463.840548	0.026718	
6463.842152	0.024333	
6463.843750	0.019970	
6463.845300	0.020748	
6463.846918	0.020365	
6463.848524	0.022198	
6463.850197	0.017074	
6463.851797	0.018903	
6463.853464	0.018266	
6463.855067	0.013670	
6463.856715	0.011664	
6463.858296	0.012075	
6463.859962	0.009803	
6463.861507	0.006004	
6463.863207	0.004348	
6463.864739	0.011011	
6463.866462	0.005569	
6463.867994	0.005307	
6463.869720	0.005988	
6463.871201	0.006149	
6463.872971	-0.001545	
6463.874462	0.000832	
6463.876257	0.000167	
6463.877743	-0.000405	
6463.879527	-0.005755	
6463.881003	0.007748	
6463.882749	0.000852	
6463.884240	-0.000042	
6463.885986	-0.001291	
6463.887502	0.003672	
6463.889240	-0.007938	
6463.890755	-0.002665	
6463.892457	-0.003410	
6463.893996	-0.003257	
6463.895690	-0.005279	
6463.897240	-0.000647	
6463.898918	-0.002524	
6463.900479	-0.003893	
6463.902136	-0.002979	
6463.903724	-0.004183	
6463.905380	-0.004647	
6463.906985	-0.005795	
6463.908619	-0.004502	
6463.910214	-0.006214	
6463.911832	-0.005380	
6463.913496	-0.005626	
6463.915070	-0.002044	
6463.916741	-0.005094	
6463.918217	-0.004941	
6463.919846	-0.004087	
