time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5393.306395	89.500305	1.891261	-0.069269	207
5395.397976	89.486572	1.890536	-0.069820	209
5397.489801	89.575005	1.886743	-0.070239	211
5399.582099	89.662750	1.880538	-0.071030	213
5401.674468	89.872063	1.876469	-0.071289	215
5403.767193	90.056175	1.871817	-0.072288	217
5405.859530	90.136047	1.866385	-0.072921	219
5407.951984	90.258003	1.864536	-0.073758	221
5410.044128	90.296074	1.860824	-0.074819	223
5412.136020	90.257408	1.857688	-0.075370	225
5414.227507	90.216393	1.855869	-0.076122	227
5416.319242	90.187096	1.852142	-0.076744	229
5418.410532	90.062057	1.852239	-0.077162	231
5420.502272	90.000595	1.849160	-0.077904	233
5422.593615	89.900314	1.848465	-0.078633	235
5424.684999	89.811485	1.845570	-0.078928	237
5426.776490	89.669113	1.845130	-0.079325	239
5428.867498	89.597855	1.844320	-0.079859	241
5430.958419	89.501686	1.845324	-0.080470	243
5433.049054	89.351547	1.845248	-0.080851	245
5435.139631	89.256920	1.845594	-0.081443	247
5437.230028	89.078674	1.843798	-0.081690	249
5439.320468	88.894623	1.841535	-0.082726	251
5441.411061	88.685715	1.838508	-0.083442	253
5443.502032	88.454903	1.833614	-0.084259	255
5445.593177	88.339958	1.834308	-0.084936	1
5447.684490	88.206337	1.832107	-0.085351	3
5449.776233	88.147774	1.828960	-0.086085	5
5451.867601	88.025909	1.826829	-0.086259	7
5453.959274	87.956352	1.825043	-0.087162	9
5456.050553	87.931313	1.821888	-0.087417	11
5458.142164	87.795074	1.818318	-0.087778	13
5460.233407	87.665031	1.816817	-0.088421	15
5462.324703	87.557739	1.811184	-0.088903	17
5464.416152	87.429115	1.810005	-0.089288	19
5466.507429	87.383034	1.806096	-0.089764	21
5468.599073	87.369370	1.802814	-0.090272	23
5470.690775	87.443954	1.798683	-0.090762	25
5472.782982	87.520790	1.795996	-0.091123	27
5474.875262	87.678741	1.792104	-0.091681	29
5476.967613	87.834885	1.788211	-0.092119	31
5479.059920	87.930717	1.783999	-0.092871	33
5481.152255	88.042908	1.779743	-0.093587	35
5483.244055	87.748085	1.781569	-0.096972	37
5485.336155	87.674721	1.790530	-0.096898	39
5487.427899	88.271317	1.799570	-0.099396	41
5490.551763	NaN	1.000000	0.000000	45
5489.519378	NaN	1.000000	0.000000	45
5490.556710	267.363739	1.482409	-0.100000	47
5491.615772	89.033981	1.477259	-0.100000	49
5493.702488	88.453743	1.816929	-0.100000	51
5495.793768	88.722366	1.816355	-0.100000	53
5497.885444	88.788734	1.826304	-0.100000	55
5499.976433	88.862518	1.831938	-0.100000	57
5502.067931	88.911636	1.834520	-0.100000	59
5504.158548	88.355423	1.837029	-0.098406	61
5506.249560	88.605362	1.854541	-0.100000	63
5508.340141	88.215172	1.843830	-0.096908	65
5509.384216	267.513000	1.850453	-0.095059	67
5511.471390	NaN	1.000000	0.000000	71
5510.435773	4.087845	-0.199288	0.000002	71
5512.521736	88.375763	1.865886	-0.098471	73
5513.563732	267.887085	1.859947	-0.097198	75
5514.617991	89.800514	1.522577	-0.100000	77
5515.655962	267.684235	1.876348	-0.096057	79
5516.708512	89.798744	1.530544	-0.100000	81
5518.794627	88.506706	1.883072	-0.098629	83
5520.886194	88.618805	1.891655	-0.098862	85
5522.977730	88.583542	1.896199	-0.099017	87
5525.074413	88.638252	1.904299	-0.099142	89
5526.114697	268.164795	1.913589	-0.097621	91
5527.166597	89.881012	1.556495	-0.100000	93
5529.258473	88.694305	1.912032	-0.099287	95
5531.344398	88.739655	1.916334	-0.099508	97
5533.435889	88.765343	1.921640	-0.099811	99
5535.527722	88.797707	1.925182	-0.100000	101
5537.619302	88.905571	1.934689	-0.100000	103
5539.711011	88.271484	1.925573	-0.097965	105
5541.803099	88.729820	1.950993	-0.100000	107
5543.895071	89.236130	1.947342	-0.100000	109
5545.987448	89.429001	1.953617	-0.100000	111
5548.079727	89.645500	1.963734	-0.100000	113
5550.172226	89.911484	1.972149	-0.100000	115
5552.264697	90.003548	1.979510	-0.100000	117
5554.357004	90.196396	1.987629	-0.100000	119
5556.449370	90.348335	1.993064	-0.100000	121
5558.541494	90.406548	1.942551	-0.100000	123
5560.633529	90.583969	2.003660	-0.100000	125
5562.725484	90.569000	2.010823	-0.100000	127
5564.824569	90.561371	2.018726	-0.100000	129
5566.909070	90.710403	2.023927	-0.100000	131
5569.000659	90.655266	2.031033	-0.100000	133
5571.092493	90.689598	2.036692	-0.100000	135
5573.183708	90.669739	2.044497	-0.100000	137
5575.275200	90.690941	2.044881	-0.100000	139
5577.366553	90.726280	2.049243	-0.100000	141
