crossing time (s)	slope (V/s)	crossing number
5394.360971	45.704179	2512
5395.399521	46.242276	2513
5396.437204	45.322790	2514
5397.488860	44.973377	2515
5398.541729	45.111855	2516
5399.581644	45.603259	2517
5400.627562	45.792385	2518
5401.668629	45.675506	2519
5402.713504	45.092971	2520
5403.770487	45.244405	2521
5404.804887	45.051652	2522
5405.855477	45.266968	2523
5406.898582	45.008290	2524
5407.952626	45.131860	2525
5408.985619	44.773170	2526
5410.044732	44.716657	2527
5411.077955	44.273098	2528
5412.138783	44.959854	2529
5413.174450	44.641330	2530
5414.224573	44.543704	2531
5415.258738	43.888122	2532
5416.320606	44.296961	2533
5417.354503	44.380760	2534
5418.406466	44.281437	2535
5419.439360	44.113518	2536
5420.507993	43.469598	2537
5421.542818	43.663912	2538
5422.592821	44.032031	2539
5423.626850	43.991258	2540
5424.688630	43.550703	2541
5425.717882	43.094390	2542
5426.780312	43.876335	2543
5427.810650	43.476280	2544
5428.867979	44.191404	2545
5429.906656	43.273310	2546
5430.956669	43.731427	2547
5431.996430	43.365969	2548
5433.048658	43.826717	2549
5434.088100	42.876245	2550
5435.140189	43.336145	2551
5436.178948	43.092449	2552
5437.233157	43.407963	2553
5438.270597	42.639039	2554
5439.322845	43.196653	2555
5440.369581	42.905098	2556
5441.410933	43.353745	2557
5442.452864	42.572055	2558
5443.504191	42.646793	2559
5444.548705	42.478032	2560
5445.593650	42.734115	2561
5446.638740	42.403815	2562
5447.682931	42.432768	2563
5448.731435	42.193777	2564
5449.778905	42.311813	2565
5450.823828	42.515882	2566
5451.866056	42.655659	2567
5452.916590	42.091225	2568
5453.962516	42.077193	2569
5455.004855	41.993991	2570
5456.046156	42.130290	2571
5457.097264	41.710638	2572
5458.144893	41.806459	2573
5459.192809	41.855538	2574
5460.231980	41.766407	2575
5461.275925	41.995580	2576
5462.322551	41.501418	2577
5463.376381	41.508476	2578
5464.420494	41.959621	2579
5465.460427	41.789448	2580
5466.506936	41.501566	2581
5467.556357	41.108606	2582
5468.599142	41.165444	2583
5469.645277	40.982301	2584
5470.686947	41.303571	2585
5471.734895	40.965496	2586
5472.784064	41.176362	2587
5473.828801	40.740315	2588
5474.875192	41.327344	2589
5475.917272	40.655318	2590
5476.968182	41.339193	2591
5478.006636	40.567858	2592
5479.060554	40.963575	2593
5480.098299	40.537948	2594
5481.155264	40.839421	2595
5482.192451	40.082734	2596
5483.242158	40.855704	2597
5484.454043	41.253605	2598
5485.338129	40.599654	2599
5486.530346	41.149487	2600
5487.425861	41.096301	2601
5488.460993	42.259180	2602
5489.518999	41.257584	2603
5490.551209	42.024074	2604
5489.518999	41.257584	2605
5490.761184	41.641333	2606
5491.609460	41.342786	2607
5490.761184	41.641333	2608
5491.807435	41.332705	2609
5492.818547	42.222805	2610
5493.702530	42.144364	2611
5494.735831	43.017000	2612
5495.790431	41.889993	2613
5496.824758	42.375101	2614
5497.888219	42.407813	2615
5498.920442	43.290335	2616
5499.972032	42.642790	2617
5501.004769	43.168891	2618
5502.072852	42.733095	2619
5503.099561	43.332126	2620
5504.152897	43.344896	2621
5505.375881	43.254004	2622
5506.250692	42.932378	2623
5507.286577	43.555741	2624
5508.337949	43.491736	2625
5509.614081	43.377020	2626
5510.432030	43.699353	2627
5509.614081	43.377020	2628
5510.648366	43.286558	2629
5511.468301	43.586167	2630
5510.648366	43.286558	2631
5511.679890	43.554604	2632
5512.523356	44.221607	2633
5513.563462	43.925470	2634
5514.614464	44.112861	2635
5513.563462	43.925470	2636
5514.857892	43.736994	2637
5515.655105	44.466770	2638
5516.699578	44.910769	2639
5515.655105	44.466770	2640
5516.931366	44.486600	2641
5517.745011	44.576593	2642
5518.791942	45.114541	2643
5519.840373	45.061460	2644
5520.880065	45.448786	2645
5521.932541	45.730602	2646
5522.976234	45.727982	2647
5524.023059	45.732156	2648
5525.298360	45.164569	2649
5526.110325	46.070237	2650
5527.155855	46.143005	2651
5526.110325	46.070237	2652
5527.419634	45.546823	2653
5528.206337	47.021317	2654
5529.518822	45.502615	2655
5530.298761	46.391029	2656
5531.341640	46.804361	2657
5532.388188	47.127764	2658
5533.430667	46.978479	2659
5534.480727	47.051895	2660
5535.526799	46.966184	2661
5536.572202	47.472279	2662
5537.615827	47.510315	2663
5538.662919	47.462422	2664
5539.704562	47.567060	2665
5541.061441	47.709074	2666
5541.802772	48.079216	2667
5542.845894	48.270815	2668
5543.891480	47.986440	2669
5544.940154	48.029681	2670
5545.985717	48.267393	2671
5547.030151	48.394558	2672
5548.075469	48.898582	2673
5549.120205	48.807893	2674
5550.168801	48.955479	2675
5551.212499	49.155890	2676
5552.261331	49.172028	2677
5553.304848	49.447583	2678
5554.353025	49.572182	2679
5555.390436	49.755020	2680
5556.449002	49.537549	2681
5557.489512	50.379390	2682
5558.541781	50.139040	2683
5559.574645	50.976841	2684
5560.635435	50.865741	2685
5561.671818	50.585642	2686
5562.725631	50.955952	2687
5563.760863	51.488310	2688
5565.194844	50.496256	2689
5565.859219	51.476870	2690
5566.910269	51.171379	2691
5567.947847	52.191128	2692
5568.999820	51.568103	2693
5570.035571	52.554209	2694
5571.099275	51.647463	2695
5572.130462	52.263585	2696
5573.179971	52.364337	2697
5574.221649	52.574122	2698
5575.274631	52.680076	2699
5576.312541	52.835126	2700
5577.365417	52.662490	2701
5578.404623	53.049007	2702
5579.450257	53.204600	2703
