time (s)	coil I (A)	last det (V)	int current (uC)
5482.209239	1.474109	0.792413	635.340942
5482.210334	1.873982	0.792413	2687.351074
5482.211330	1.817527	0.792413	4497.607910
5482.212207	1.761456	0.792413	6042.405273
5482.213204	1.702427	0.792413	7739.724609
5482.214260	1.642797	0.792413	9474.517578
5482.215159	1.593318	0.792413	10906.910156
5482.216027	1.545798	0.792413	12248.663086
5482.217127	1.491390	0.792413	13889.192383
5482.218100	1.444332	0.792413	15294.527344
5482.219013	1.401075	0.792413	16573.708984
5482.219899	1.361195	0.792413	17779.728516
5482.220969	1.316356	0.792413	19188.230469
5482.221868	1.278153	0.792413	20337.289062
5482.222746	0.963076	0.792413	21182.869141
5482.223634	0.102195	0.792413	21273.617187
5482.224674	0.090472	0.792413	21367.708984
5482.225552	0.090439	0.792413	21447.115234
5482.226413	0.090443	0.792413	21524.986328
5482.227419	0.090542	0.792413	21616.072266
5482.228323	0.090472	0.792413	21697.859375
5482.229245	0.090465	0.792413	21781.267578
5482.230121	0.090520	0.792413	21860.562500
5482.231165	0.090527	0.792413	21955.072266
5482.232055	0.090450	0.792413	22035.572266
5483.265974	1.427593	0.805590	602.444153
5483.267005	1.873469	0.805590	2533.990723
5483.267984	1.822493	0.805590	4318.210937
5483.268863	1.767169	0.805590	5871.552734
5483.269740	1.712135	0.805590	7373.095215
5483.270867	1.651315	0.805590	9234.126953
5483.271767	1.601550	0.805590	10675.522461
5483.272643	1.553833	0.805590	12036.679687
5483.273744	1.498784	0.805590	13686.840820
5483.274704	1.451473	0.805590	15080.254883
5483.275572	1.409971	0.805590	16304.109375
5483.276589	1.364224	0.805590	17691.525391
5483.277632	1.319963	0.805590	19068.248047
5483.278514	1.283401	0.805590	20200.207031
5483.279458	0.951929	0.805590	21098.828125
5483.280532	0.095068	0.805590	21200.931641
5483.281469	0.090472	0.805590	21285.705078
5483.282325	0.090428	0.805590	21363.111328
5483.283388	0.090593	0.805590	21459.412109
5483.284397	0.090535	0.805590	21550.761719
5483.285268	0.090557	0.805590	21629.636719
5483.286220	0.090564	0.805590	21715.853516
5483.287258	0.090516	0.805590	21809.808594
5483.288192	0.090443	0.805590	21894.283203
5483.289060	0.090527	0.805590	21972.861328
5484.299844	1.551815	0.817445	836.428345
5484.300882	1.869979	0.817445	2777.466797
5484.301780	1.818285	0.817445	4410.286621
5484.302730	1.759010	0.817445	6081.346191
5484.303796	1.695718	0.817445	7888.981445
5484.304731	1.643090	0.817445	9425.270508
5484.305608	1.594893	0.817445	10823.991211
5484.306666	1.540781	0.817445	12454.137695
5484.307673	1.489124	0.817445	13953.685547
5484.308566	1.445186	0.817445	15244.236328
5484.309548	1.399124	0.817445	16618.175781
5484.310615	1.351432	0.817445	18060.154297
5484.311536	1.312090	0.817445	19268.589844
5484.312403	1.276179	0.817445	20375.037109
5484.313498	0.645494	0.817445	21081.853516
5484.314482	0.090410	0.817445	21170.816406
5484.315369	0.090494	0.817445	21251.083984
5484.316360	0.090571	0.817445	21340.839844
5484.317400	0.090494	0.817445	21434.953125
5484.318288	0.090531	0.817445	21515.343750
5484.319145	0.090520	0.817445	21592.919922
5484.320246	0.090615	0.817445	21692.687500
5484.321207	0.090406	0.817445	21779.568359
5484.322064	0.090575	0.817445	21857.191406
5484.323127	0.090623	0.817445	21953.523437
5485.358523	1.433016	0.813308	607.598938
5485.359499	1.873938	0.813308	2436.562500
5485.360562	1.818391	0.813308	4369.512207
5485.361473	1.760468	0.813308	5973.297852
5485.362344	1.706320	0.813308	7459.501953
5485.363437	1.645682	0.813308	9258.232422
5485.364405	1.593314	0.813308	10800.560547
5485.365282	1.548842	0.813308	12158.894531
5485.366303	1.497484	0.813308	13687.826172
5485.367351	1.446724	0.813308	15203.992187
5485.368239	1.403676	0.813308	16450.457031
5485.369131	1.362012	0.813308	17665.371094
5485.370212	1.316602	0.813308	19088.617187
5485.371173	1.277875	0.813308	20316.654297
5485.372036	0.970488	0.813308	21154.185547
5485.373076	0.095339	0.813308	21253.337891
5485.374117	0.090601	0.813308	21347.652344
5485.374987	0.090553	0.813308	21426.433594
5485.375926	0.090604	0.813308	21511.511719
5485.376983	0.090626	0.813308	21607.302734
5485.377919	0.090461	0.813308	21691.974609
5485.378783	0.090469	0.813308	21770.138672
5485.379814	0.090659	0.813308	21863.607422
5485.380830	0.090450	0.813308	21955.505859
5485.381730	0.090476	0.813308	22036.933594
5486.391242	1.443604	0.836619	633.741943
5486.392116	1.874612	0.836619	2272.152832
5486.392980	1.831805	0.836619	3854.832764
5486.394031	1.768206	0.836619	5713.216797
5486.394910	1.715039	0.836619	7220.736328
5486.395780	1.665044	0.836619	8669.324219
5486.396722	1.614012	0.836619	10189.723633
5486.397701	1.563468	0.836619	11720.358398
5486.398586	1.518527	0.836619	13064.254883
5486.399490	1.471813	0.836619	14394.773437
5486.400597	1.420972	0.836619	15967.789062
5486.401497	1.378055	0.836619	17208.039062
5486.402364	1.339911	0.836619	18369.742187
5486.403419	1.296647	0.836619	19737.705078
5486.404383	1.259073	0.836619	20951.451172
5486.405272	0.277910	0.836619	21198.513672
5486.406163	0.090417	0.836619	21279.076172
5486.407246	0.090601	0.836619	21377.197266
5486.408126	0.090502	0.836619	21456.837891
5486.408986	0.090586	0.836619	21534.742187
5486.410011	0.090674	0.836619	21627.683594
5486.410987	0.090502	0.836619	21716.013672
5486.411844	0.090502	0.836619	21793.574219
5486.412896	0.090721	0.836619	21889.013672
5486.413955	0.090608	0.836619	21984.966797
5487.450610	1.494668	0.848140	714.451294
5487.451488	1.873850	0.848140	2359.691895
5487.452444	1.826411	0.848140	4105.741211
5487.453502	1.760651	0.848140	5968.509766
5487.454437	1.705247	0.848140	7562.915039
5487.455303	1.654384	0.848140	8995.611328
5487.456360	1.598119	0.848140	10684.823242
5487.457381	1.545762	0.848140	12263.045898
5487.458275	1.500370	0.848140	13604.376953
5487.459255	1.452473	0.848140	15027.800781
5487.460314	1.401848	0.848140	16512.357422
