time (s)	det(V)
5394.873085	-0.006576	
5394.874574	0.009424	
5394.876361	0.000667	
5394.877837	0.000473	
5394.879598	0.001754	
5394.881105	0.005170	
5394.882665	-0.003321	
5394.884234	0.000058	
5394.885733	-0.000123	
5394.887385	0.000340	
5394.888868	-0.000921	
5394.890490	-0.000518	
5394.892011	0.003966	
5394.893648	0.000526	
5394.895120	0.003011	
5394.896837	0.003253	
5394.898313	0.003498	
5394.900011	-0.001891	
5394.901497	0.001549	
5394.903205	0.000485	
5394.904701	-0.000171	
5394.906393	-0.004973	
5394.907878	0.010270	
5394.909658	0.002975	
5394.911143	0.002850	
5394.912879	0.003656	
5394.914391	0.007587	
5394.916125	-0.003519	
5394.917653	0.000429	
5394.919369	0.003100	
5394.920910	0.001678	
5394.922589	0.001291	
5394.924144	0.006544	
5394.925818	0.004191	
5394.927388	0.003583	
5394.929052	0.004332	
5394.930631	0.005940	
5394.932288	0.002874	
5394.933882	0.001561	
5394.935492	0.004175	
5394.937124	0.002568	
5394.938755	0.002600	
5394.940388	0.002624	
5394.941988	0.007249	
5394.943645	0.002850	
5394.945229	0.005565	
5394.946915	0.006508	
5394.948465	0.005585	
5394.950175	-0.000115	
5394.951727	0.003112	
5394.953408	0.003410	
5394.954950	0.002278	
5394.956654	0.000570	
5394.958156	0.011044	
5394.959916	0.004200	
5394.961395	0.005094	
5394.963174	0.006435	
5394.964658	0.009324	
5394.966445	-0.001924	
5394.967921	0.003692	
5394.969674	0.005114	
5394.971165	0.003877	
5394.972897	0.000074	
5394.974412	0.013650	
5394.976160	0.007313	
5394.977686	0.005388	
5394.979184	0.006971	
5394.980772	0.006939	
5394.982262	0.005948	
5394.983890	0.004208	
5394.985410	0.006339	
5394.987048	0.005666	
5394.988526	0.005086	
5394.990185	0.004449	
5394.991660	0.012554	
5394.993296	0.007672	
5394.994778	0.007603	
5394.996476	0.007962	
5394.997957	0.009751	
5394.999640	0.000828	
5395.001128	0.005835	
5395.002785	0.007692	
5395.004309	0.006443	
5395.006006	0.004663	
5395.007563	0.011636	
