time (s)	det(V)
4640.321886	0.004139	
4640.323362	0.006907	
4640.325113	-0.001750	
4640.326606	0.001440	
4640.328338	0.000542	
4640.329856	-0.000808	
4640.331581	0.000264	
4640.333117	0.005831	
4640.334837	0.000832	
4640.336372	0.002548	
4640.338064	0.002669	
4640.339606	0.007096	
4640.341278	-0.004868	
4640.342854	-0.001339	
4640.344497	-0.000546	
4640.346084	-0.002991	
4640.347718	-0.008163	
4640.349324	0.005936	
4640.350946	-0.001823	
4640.352575	-0.003491	
4640.354180	-0.002302	
4640.355797	0.000385	
4640.357388	-0.010178	
4640.359073	-0.006842	
4640.360635	-0.007052	
4640.362330	-0.008155	
4640.363907	-0.012006	
4640.365604	-0.003197	
4640.367144	-0.006955	
4640.368842	-0.010911	
4640.370384	-0.010552	
4640.372102	-0.011028	
4640.373590	-0.009610	
4640.375353	-0.015757	
4640.376832	-0.013054	
4640.378586	-0.015568	
4640.380069	-0.017308	
4640.381548	-0.019858	
4640.383133	-0.010850	
4640.384669	-0.017457	
4640.386276	-0.018162	
4640.387759	-0.018822	
4640.389401	-0.013227	
4640.390892	-0.029062	
4640.392553	-0.022726	
4640.394027	-0.022166	
4640.395734	-0.024160	
4640.397210	-0.026400	
4640.398909	-0.019624	
4640.400388	-0.022855	
4640.402095	-0.026428	
4640.403591	-0.024607	
4640.405287	-0.025836	
4640.406770	-0.025010	
4640.408545	-0.031854	
4640.410019	-0.028128	
4640.411768	-0.029743	
4640.413265	-0.031782	
4640.414989	-0.033042	
4640.416497	-0.024901	
4640.418224	-0.030609	
4640.419760	-0.031052	
4640.421475	-0.030376	
4640.423011	-0.027330	
4640.424706	-0.038521	
4640.426253	-0.033401	
4640.427928	-0.033502	
4640.429489	-0.034920	
4640.431155	-0.039536	
4640.432745	-0.026508	
4640.434362	-0.034311	
4640.435968	-0.035258	
4640.437592	-0.034823	
4640.439218	-0.031334	
4640.440827	-0.040934	
4640.442459	-0.037167	
4640.444034	-0.037570	
4640.445704	-0.038581	
4640.447261	-0.039439	
4640.448971	-0.035632	
4640.450510	-0.037304	
4640.452204	-0.039983	
4640.453749	-0.040430	
4640.455462	-0.039077	
4640.456970	-0.042380	
4640.458718	-0.045212	
4640.460191	-0.044205	
4640.461957	-0.045441	
4640.463436	-0.047991	
4640.465209	-0.046996	
4640.466686	-0.044217	
4640.468444	-0.050046	
4640.469931	-0.049285	
4640.471674	-0.049635	
4640.473189	-0.049579	
4640.474894	-0.059102	
4640.476424	-0.055524	
4640.478133	-0.057889	
4640.479671	-0.060951	
4640.481174	-0.065773	
4640.482827	-0.056169	
4640.484311	-0.064419	
4640.485935	-0.067489	
4640.487455	-0.068959	
4640.489094	-0.068758	
4640.490571	-0.079030	
4640.492208	-0.077579	
4640.493691	-0.079485	
4640.495381	-0.082591	
4640.496864	-0.085568	
4640.498580	-0.087324	
4640.500061	-0.085628	
4640.501751	-0.092835	
4640.503255	-0.094905	
4640.504905	-0.098704	
4640.506433	-0.098188	
4640.508156	-0.110757	
4640.509695	-0.109540	
4640.511404	-0.113448	
4640.512945	-0.118044	
4640.514611	-0.124256	
4640.516169	-0.116195	
4640.517832	-0.126608	
4640.519421	-0.130266	
4640.521075	-0.132614	
4640.522673	-0.131672	
4640.524306	-0.149163	
4640.525926	-0.146899	
4640.527561	-0.150975	
4640.529202	-0.157159	
4640.530791	-0.165058	
4640.532467	-0.155165	
4640.534054	-0.165590	
4640.535733	-0.170855	
4640.537320	-0.173776	
4640.538994	-0.176100	
4640.540565	-0.185833	
4640.542272	-0.190131	
4640.543817	-0.191863	
4640.545519	-0.197241	
4640.547067	-0.202570	
4640.548804	-0.202212	
4640.550319	-0.206824	
4640.552069	-0.214929	
4640.553567	-0.217024	
4640.555331	-0.220661	
4640.556814	-0.225685	
4640.558600	-0.234048	
4640.560085	-0.235582	
4640.561878	-0.240642	
4640.563362	-0.245979	
4640.565134	-0.249339	
4640.566628	-0.248433	
4640.568394	-0.258805	
4640.569893	-0.260961	
4640.571650	-0.266270	
4640.573161	-0.268598	
4640.574880	-0.282782	
4640.576407	-0.282142	
4640.577950	-0.287286	
4640.579587	-0.292905	
4640.581070	-0.302090	
4640.582726	-0.293630	
4640.584222	-0.307367	
4640.585873	-0.314143	
4640.587364	-0.317760	
4640.588997	-0.323081	
4640.590475	-0.332830	
4640.592118	-0.337853	
4640.593600	-0.343775	
4640.595302	-0.351123	
4640.596789	-0.357656	
4640.598489	-0.364638	
4640.599988	-0.366507	
4640.601683	-0.378608	
4640.603191	-0.384824	
4640.604857	-0.392933	
4640.606389	-0.396832	
4640.608087	-0.410053	
4640.609626	-0.412845	
4640.611320	-0.422440	
4640.612883	-0.432587	
4640.614563	-0.445518	
4640.616137	-0.444475	
4640.617795	-0.460673	
4640.619387	-0.470727	
4640.621036	-0.481354	
4640.622639	-0.486398	
4640.624271	-0.511941	
4640.625877	-0.517520	
4640.627484	-0.528059	
4640.629158	-0.541755	
4640.630744	-0.556446	
4640.632415	-0.557880	
4640.634006	-0.576362	
4640.635682	-0.590421	
4640.637281	-0.602031	
4640.638970	-0.614615	
4640.640530	-0.629907	
4640.642211	-0.643043	
4640.643761	-0.655051	
4640.645471	-0.669461	
4640.646989	-0.681932	
4640.648711	-0.693788	
4640.650191	-0.703806	
4640.651955	-0.720822	
4640.653448	-0.729664	
4640.655234	-0.743618	
4640.656713	-0.754712	
4640.658487	-0.773194	
4640.659966	-0.779639	
4640.661721	-0.793464	
4640.663220	-0.803644	
4640.664960	-0.815830	
4640.666476	-0.818919	
4640.668221	-0.834992	
4640.669744	-0.842735	
4640.671470	-0.852137	
4640.673001	-0.856818	
4640.674516	-0.877294	
4640.676160	-0.878744	
4640.677653	-0.884847	
4640.679295	-0.892924	
4640.680815	-0.904179	
4640.682453	-0.894039	
4640.683935	-0.906862	
4640.685588	-0.913198	
4640.687058	-0.915244	
4640.688765	-0.918967	
4640.690246	-0.922677	
4640.691957	-0.929771	
4640.693436	-0.928780	
4640.695127	-0.932619	
4640.696612	-0.933255	
4640.698302	-0.934762	
4640.699829	-0.928663	
4640.701569	-0.934669	
4640.703081	-0.932002	
4640.704789	-0.930403	
4640.706328	-0.926818	
4640.708037	-0.935551	
4640.709591	-0.927180	
4640.711259	-0.925186	
4640.712823	-0.923527	
4640.714467	-0.923700	
4640.716058	-0.908316	
4640.717727	-0.912074	
4640.719310	-0.908618	
4640.720950	-0.903655	
4640.722572	-0.896690	
4640.724189	-0.904078	
4640.725853	-0.894370	
4640.727436	-0.887981	
4640.729116	-0.884629	
4640.730708	-0.883562	
4640.732358	-0.866405	
4640.733945	-0.866131	
4640.735632	-0.861305	
4640.737196	-0.854207	
4640.738912	-0.847770	
4640.740457	-0.842904	
4640.742153	-0.836716	
4640.743685	-0.830601	
4640.745407	-0.824978	
4640.746917	-0.819238	
4640.748665	-0.809686	
4640.750153	-0.800679	
4640.751944	-0.796163	
4640.753422	-0.786137	
4640.755205	-0.776348	
4640.756687	-0.769379	
4640.758463	-0.765572	
4640.759948	-0.754200	
4640.761695	-0.744395	
4640.763204	-0.733007	
4640.764947	-0.723339	
4640.766466	-0.705502	
4640.768198	-0.699435	
4640.769712	-0.686879	
4640.771247	-0.676349	
4640.772855	-0.660538	
4640.774344	-0.661948	
4640.775979	-0.643482	
4640.777501	-0.629858	
4640.779149	-0.618253	
4640.780631	-0.607022	
4640.782284	-0.582904	
4640.783761	-0.573160	
4640.785471	-0.560301	
4640.786960	-0.544530	
4640.788685	-0.527889	
4640.790166	-0.513746	
4640.791879	-0.500670	
4640.793378	-0.482409	
4640.795051	-0.467215	
4640.796558	-0.452072	
4640.798304	-0.433679	
4640.799816	-0.412180	
4640.801537	-0.402830	
4640.803055	-0.387865	
4640.804773	-0.369141	
4640.806312	-0.348142	
4640.808018	-0.338542	
4640.809576	-0.314469	
4640.811270	-0.294911	
4640.812831	-0.277259	
4640.814492	-0.259672	
4640.816068	-0.230676	
4640.817711	-0.218043	
4640.819313	-0.200387	
4640.820951	-0.180463	
4640.822563	-0.158118	
4640.824181	-0.152784	
4640.825851	-0.128530	
4640.827461	-0.110092	
4640.829105	-0.093366	
4640.830721	-0.079980	
4640.832392	-0.046904	
4640.833959	-0.037022	
4640.835639	-0.019451	
4640.837192	-0.002089	
4640.838899	0.021312	
4640.840463	0.029090	
4640.842142	0.048906	
4640.843674	0.067948	
4640.845392	0.082679	
4640.846904	0.097785	
4640.848664	0.117713	
4640.850141	0.133380	
4640.851936	0.146701	
4640.853416	0.163221	
4640.855198	0.180692	
4640.856679	0.193792	
4640.858444	0.206606	
4640.859942	0.224106	
4640.861711	0.238148	
4640.863231	0.252972	
4640.864728	0.266415	
4640.866316	0.291354	
4640.867815	0.298996	
4640.869483	0.314847	
4640.870976	0.329502	
4640.872600	0.349221	
4640.874128	0.348826	
4640.875768	0.372416	
4640.877256	0.388034	
4640.878905	0.399035	
4640.880377	0.414290	
4640.882075	0.431636	
4640.883553	0.442759	
4640.885258	0.457132	
