time (s)	magX	magY	magZ
4640.322248	-4.716540	-258.690826	-114.279953
4640.325576	-4.950321	-259.684387	-114.046173
4640.328914	-4.599649	-258.398590	-114.513733
4640.332245	-4.482759	-258.807709	-114.805969
4640.335581	-4.424313	-259.976624	-114.689072
4640.338912	-4.190532	-259.742828	-114.922852
4640.342245	-4.015196	-260.619507	-114.630630
4640.345577	-4.307423	-259.333740	-114.981293
4640.348914	-4.716540	-260.268860	-115.273529
4640.352257	-4.132086	-260.970184	-115.156639
4640.355579	-4.658094	-260.619507	-115.565750
4640.358907	-4.307423	-261.554657	-116.150208
4640.362248	-4.716540	-261.788422	-116.208649
4640.365577	-5.067212	-263.074219	-117.377563
4640.368904	-4.716540	-263.074219	-118.137344
4640.372241	-4.541204	-263.658691	-118.897141
4640.375574	-5.008767	-264.418457	-119.306259
4640.380199	-4.658094	-265.178253	-120.884277
4640.383113	-4.833431	-266.113373	-123.222092
4640.386547	-4.541204	-267.808289	-123.806549
4640.389832	-4.541204	-268.860321	-124.157227
4640.392709	-4.833431	-269.620117	-125.852142
4640.396015	-4.950321	-270.555237	-127.547043
4640.399327	-4.774985	-270.672119	-129.358856
4640.402670	-5.125657	-272.425476	-131.229111
4640.405574	-5.067212	-274.237305	-132.164230
4640.408907	-4.658094	-274.471069	-133.333145
4640.412235	-4.658094	-276.516663	-136.021622
4640.415572	-5.184103	-277.159546	-136.781418
4640.418904	-4.424313	-278.503784	-138.534775
4640.422239	-4.541204	-279.497345	-141.164825
4640.425594	-4.891876	-281.016937	-142.509064
4640.428901	-5.008767	-282.887207	-144.262421
4640.432237	-4.190532	-283.939209	-147.009354
4640.435566	-4.599649	-284.406769	-148.470490
4640.438906	-4.716540	-287.738159	-150.983643
4640.442239	-5.067212	-289.023956	-152.444778
4640.445571	-4.891876	-289.783722	-153.964355
4640.448904	-4.774985	-291.127991	-156.945068
4640.452232	-3.956750	-293.407379	-158.172424
4640.455563	-4.190532	-293.874939	-160.334885
4640.458899	-3.430742	-295.102295	-162.964935
